,Proximity_to_Hole_from_Other_Locations_RANK THIS WEEK,Proximity_to_Hole_from_Other_Locations_RANK LAST WEEK,Proximity_to_Hole_from_Other_Locations_PLAYER NAME,Proximity_to_Hole_from_Other_Locations_ROUNDS,Proximity_to_Hole_from_Other_Locations_AVG DTP,Proximity_to_Hole_from_Other_Locations_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Other_Locations_# OF SHOTS,Proximity_to_Hole_from_Other_Locations_SCRAMBLING RANK
0,1,1,Luke Donald,79,"4' 11""",5.269,90,20
1,T2,T2,Bob Estes,78,"5' 2""",7.2,116,28
2,T2,T2,Ian Poulter,59,"5' 2""",6.185,100,4
3,T4,T4,Matt Jones,56,"5' 5""",4.845,75,22
4,T4,T4,Steve Stricker,81,"5' 5""",5.76,88,2
5,T4,T4,Jimmy Walker,74,"5' 5""",7.14,110,27
6,7,7,Tiger Woods,64,"5' 6""",4.046,61,1
7,8,8,Jim Furyk,86,"5' 7""",7.245,108,8
8,9,9,Ben Crane,93,"5' 8""",9.195,136,32
9,T10,T10,Ernie Els,70,"5' 9""",6.307,91,59
10,T10,T10,Padraig Harrington,66,"5' 9""",5.127999999999999,74,11
11,T10,T10,Justin Leonard,95,"5' 9""",9.351,136,63
12,T13,T13,Brian Gay,96,"5' 10""",9.09,130,7
13,T13,T13,Matt Kuchar,82,"5' 10""",8.876,127,3
14,T13,T13,Geoff Ogilvy,78,"5' 10""",5.516,79,62
15,T13,T13,Rod Pampling,72,"5' 10""",7.002999999999999,100,74
16,T17,T17,Lucas Glover,93,"5' 11""",10.087,142,97
17,T17,T17,Bo Van Pelt,100,"5' 11""",10.485999999999999,147,57
18,T19,T19,Stuart Appleby,79,"6' 0""",7.455,103,160
19,T19,T19,Anthony Kim,76,"6' 0""",8.673,121,124
20,T21,T21,Chad Campbell,90,"6' 1""",8.076,110,67
21,T21,T21,Charles Howell III,99,"6' 1""",11.5,158,118
22,T21,T21,Spencer Levin,75,"6' 1""",9.908,135,15
23,T21,T21,Phil Mickelson,66,"6' 1""",5.5120000000000005,76,109
24,T21,T21,Brandt Snedeker,81,"6' 1""",8.062000000000001,110,25
25,T21,T21,Mark Wilson,99,"6' 1""",10.269,141,21
26,27,27,Robert Allenby,71,"6' 2""",6.765,91,56
27,T28,T28,K.J. Choi,65,"6' 3""",6.421,86,141
28,T28,T28,Sergio Garcia,59,"6' 3""",5.566,74,101
29,T28,T28,Charley Hoffman,97,"6' 3""",13.214,176,79
