,Scrambling_from_the_Fringe_RANK THIS WEEK,Scrambling_from_the_Fringe_RANK LAST WEEK,Scrambling_from_the_Fringe_PLAYER NAME,Scrambling_from_the_Fringe_ROUNDS,Scrambling_from_the_Fringe_%,Scrambling_from_the_Fringe_SUCCESSES,Scrambling_from_the_Fringe_ATTEMPTS
0,1,1,Tiger Woods,64,100.0,45,45
1,2,2,Phil Mickelson,66,97.73,43,44
2,3,3,Steve Stricker,81,96.77,60,62
3,4,4,Robert Garrigus,83,96.15,50,52
4,5,5,Tim Petrovic,97,95.88,93,97
5,6,6,Aaron Baddeley,66,95.35,41,43
6,7,7,Ian Poulter,59,95.12,39,41
7,8,8,Retief Goosen,74,94.74,54,57
8,9,9,Y.E. Yang,83,94.64,53,56
9,10,10,John Mallinger,90,94.44,68,72
10,11,11,Zach Johnson,94,94.29,66,70
11,12,12,Scott Sterling,51,94.12,32,34
12,13,13,Bill Haas,91,93.94,62,66
13,14,14,Carl Pettersson,86,93.55,58,62
14,15,15,Davis Love III,89,93.51,72,77
15,16,16,Charles Warren,63,93.48,43,46
16,17,17,Steve Marino,98,93.44,57,61
17,18,18,Hunter Mahan,94,93.42,71,76
18,19,19,Kevin Stadler,65,93.22,55,59
19,20,20,Camilo Villegas,76,93.18,41,44
20,21,21,Todd Hamilton,83,93.1,54,58
21,22,22,Kent Jones,73,92.98,53,57
22,T23,T23,Brad Adamonis,70,92.86,65,70
23,T23,T23,Matt Weibring,65,92.86,52,56
24,T23,T23,Mark Wilson,99,92.86,65,70
25,26,26,Jerry Kelly,90,92.75,64,69
26,27,27,Bryce Molder,69,92.73,51,55
27,28,28,Bob Heintz,59,92.68,38,41
28,29,29,Matt Kuchar,82,92.65,63,68
29,30,30,Greg Chalmers,85,92.59,50,54
30,31,31,Lucas Glover,93,92.41,73,79
31,32,32,Dean Wilson,81,92.31,60,65
32,T33,T33,Kevin Na,91,92.0,69,75
33,T33,T33,Geoff Ogilvy,78,92.0,46,50
