,Proximity_to_Hole_from__10_yards_RANK THIS WEEK,Proximity_to_Hole_from__10_yards_RANK LAST WEEK,Proximity_to_Hole_from__10_yards_PLAYER NAME,Proximity_to_Hole_from__10_yards_ROUNDS,Proximity_to_Hole_from__10_yards_AVG DTP,Proximity_to_Hole_from__10_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from__10_yards_# OF SHOTS,Proximity_to_Hole_from__10_yards_SCRAMBLING RANK
0,T1,T1,Chad Campbell,90,"2' 7""",259.75,101,67
1,T1,T1,Padraig Harrington,66,"2' 7""",228.75,88,11
2,T1,T1,Chris Riley,77,"2' 7""",211.0,81,9
3,T4,T4,Briny Baird,89,"2' 8""",237.75,90,126
4,T4,T4,K.J. Choi,65,"2' 8""",171.167,64,141
5,T6,T6,Stuart Appleby,79,"2' 9""",270.58299999999997,97,160
6,T6,T6,Jarrod Lyle,65,"2' 9""",188.417,69,65
7,T6,T6,Tim Petrovic,97,"2' 9""",315.83299999999997,116,5
8,T9,T9,Bob Estes,78,"2' 10""",334.833,119,28
9,T9,T9,Justin Leonard,95,"2' 10""",310.58299999999997,110,63
10,T9,T9,Rocco Mediate,79,"2' 10""",276.91700000000003,97,145
11,T12,T12,Eric Axley,71,"2' 11""",259.25,89,182
12,T12,T12,Mark Brooks,55,"2' 11""",232.583,80,10
13,T12,T12,Steve Elkington,70,"2' 11""",274.58299999999997,93,99
14,T12,T12,Bill Haas,91,"2' 11""",373.667,127,72
15,T12,T12,Bob Heintz,59,"2' 11""",232.583,79,26
16,T12,T12,J.J. Henry,97,"2' 11""",340.0,115,89
17,T12,T12,Parker McLachlin,71,"2' 11""",317.08299999999997,109,98
18,T12,T12,Geoff Ogilvy,78,"2' 11""",269.75,92,62
19,T12,T12,Kevin Stadler,65,"2' 11""",284.0,97,33
20,T12,T12,Kevin Sutherland,96,"2' 11""",287.25,98,81
21,T12,T12,Kirk Triplett,60,"2' 11""",307.33299999999997,106,24
22,T23,T23,Jerry Kelly,90,"3' 0""",428.333,143,45
23,T23,T23,Bryce Molder,69,"3' 0""",216.333,72,37
24,T23,T23,Jeff Quinney,78,"3' 0""",382.417,126,58
25,T23,T23,Tag Ridings,50,"3' 0""",193.333,65,140
26,T23,T23,Casey Wittenberg,71,"3' 0""",252.167,84,61
27,T28,T28,Brad Adamonis,70,"3' 1""",309.0,101,36
28,T28,T28,Luke Donald,79,"3' 1""",347.25,114,20
29,T28,T28,Ernie Els,70,"3' 1""",282.25,92,59
30,T28,T28,Jim Furyk,86,"3' 1""",356.75,115,8
31,T28,T28,Jason Gore,74,"3' 1""",330.667,106,127
32,T28,T28,Nathan Green,104,"3' 1""",446.333,143,40
33,T28,T28,Freddie Jacobson,83,"3' 1""",384.917,124,51
34,T28,T28,Greg Kraft,51,"3' 1""",194.0,63,177
35,T28,T28,Troy Matteson,95,"3' 1""",438.083,142,103
36,T28,T28,Phil Mickelson,66,"3' 1""",216.083,70,109
