,Scrambling_from_the_Sand_RANK THIS WEEK,Scrambling_from_the_Sand_RANK LAST WEEK,Scrambling_from_the_Sand_PLAYER NAME,Scrambling_from_the_Sand_ROUNDS,Scrambling_from_the_Sand_%,Scrambling_from_the_Sand_SUCCESSES,Scrambling_from_the_Sand_ATTEMPTS
0,1,1,Matt Kuchar,82,69.57,64,92
1,2,2,Tiger Woods,64,68.85,42,61
2,3,3,Brad Adamonis,70,63.75,51,80
3,4,4,Webb Simpson,94,63.19,91,144
4,T5,T5,Luke Donald,79,62.07,72,116
5,T5,T5,Matt Weibring,65,62.07,36,58
6,7,7,Rod Pampling,72,61.86,60,97
7,8,8,George McNeill,82,61.74,71,115
8,9,9,Kevin Na,91,61.59,85,138
9,T10,T10,Bob Heintz,59,61.54,40,65
10,T10,T10,David Mathis,82,61.54,64,104
11,12,12,Ian Poulter,59,61.02,36,59
12,13,13,Jason Day,61,60.66,37,61
13,14,14,Chris DiMarco,97,60.0,69,115
14,15,15,Zach Johnson,94,59.6,59,99
15,T16,T16,Jim Furyk,86,59.52,50,84
16,T16,T16,Brian Gay,96,59.52,75,126
17,18,18,Geoff Ogilvy,78,59.3,51,86
18,19,19,Jimmy Walker,74,59.14,55,93
19,20,20,Mike Weir,85,59.13,68,115
20,21,21,Cameron Beckman,87,59.04,49,83
21,22,22,Bryce Molder,69,59.02,36,61
22,23,23,Chris Riley,77,59.0,59,100
23,24,24,J.J. Henry,97,58.54,48,82
24,25,25,Charlie Wi,92,58.47,69,118
25,26,26,Steve Flesch,77,58.42,59,101
26,27,27,K.J. Choi,65,58.33,35,60
27,28,28,Lucas Glover,93,58.25,60,103
28,T29,T29,Padraig Harrington,66,58.11,43,74
29,T29,T29,Spencer Levin,75,58.11,43,74
30,31,31,Parker McLachlin,71,58.1,61,105
31,32,32,Cliff Kresge,78,58.06,54,93
32,33,33,Mark Wilson,99,58.02,76,131
33,34,34,Mark Calcavecchia,72,57.97,40,69
34,35,35,Nick O'Hern,90,57.94,62,107
35,T36,T36,Michael Letzig,96,57.89,66,114
36,T36,T36,Kevin Stadler,65,57.89,33,57
37,38,38,Joe Ogilvie,85,57.85,70,121
38,39,39,Ángel Cabrera,55,57.63,34,59
39,40,40,Kevin Sutherland,96,57.45,54,94
40,41,41,David Duval,56,57.41,31,54
41,42,42,Ken Duke,87,57.27,63,110
42,T43,T43,Nathan Green,104,57.14,80,140
43,T43,T43,Brandt Snedeker,81,57.14,56,98
44,45,45,Ryuji Imada,85,57.02,65,114
45,46,46,Glen Day,79,56.98,49,86
46,47,47,Tim Clark,81,56.76,42,74
47,48,48,Bill Haas,91,56.7,55,97
48,49,49,Briny Baird,89,56.57,56,99
49,50,50,Justin Rose,71,56.47,48,85
50,51,51,Hunter Mahan,94,56.44,57,101
51,52,52,Anthony Kim,76,56.32,49,87
52,53,53,Tom Pernice Jr.,82,56.14,64,114
53,54,54,Jerry Kelly,90,55.91,71,127
54,T55,T55,Retief Goosen,74,55.56,50,90
55,T55,T55,Matt Jones,56,55.56,25,45
56,57,57,John Senden,100,55.46,66,119
57,58,58,Ben Curtis,63,55.42,46,83
58,59,59,Jason Gore,74,55.26,42,76
59,60,60,Steve Stricker,81,55.21,53,96
60,61,61,Tim Petrovic,97,54.96,72,131
61,62,62,Corey Pavin,73,54.95,50,91
62,63,63,Scott Verplank,88,54.92,67,122
