,YTD_Rounds_in_60s_Streak_RANK THIS WEEK,YTD_Rounds_in_60s_Streak_RANK LAST WEEK,YTD_Rounds_in_60s_Streak_PLAYER NAME,YTD_Rounds_in_60s_Streak_BEST STREAK
0,1,1,Jamie Lovemark,11
1,T2,T2,Charles Howell III,10
2,T2,T2,Ryan Moore,10
3,4,4,Jason Dufner,9
4,T5,T5,Bud Cauley,8
5,T5,T5,Harris English,8
6,T5,T5,Brice Garnett,8
7,T5,T5,Dustin Johnson,8
8,T5,T5,Hideki Matsuyama,8
9,T5,T5,Kevin Na,8
10,T5,T5,Ryan Palmer,8
11,T5,T5,Adam Scott,8
12,T5,T5,Henrik Stenson,8
13,T5,T5,Cameron Tringale,8
14,T15,T15,Paul Casey,7
15,T15,T15,Alex Cejka,7
16,T15,T15,Jason Day,7
17,T15,T15,Rickie Fowler,7
18,T15,T15,Adam Hadwin,7
19,T15,T15,Si Woo Kim,7
20,T15,T15,Russell Knox,7
21,T15,T15,William McGirt,7
22,T15,T15,Seung-Yul Noh,7
23,T15,T15,Sean O'Hair,7
24,T15,T15,Scott Piercy,7
25,T15,T15,Patrick Reed,7
26,T15,T15,Daniel Summerhays,7
27,T15,T15,Johnson Wagner,7
28,T15,T15,Gary Woodland,7
29,T30,T30,Daniel Berger,6
30,T30,T30,Keegan Bradley,6
31,T30,T30,Chad Campbell,6
32,T30,T30,Graham DeLaet,6
33,T30,T30,Tony Finau,6
34,T30,T30,Andres Gonzales,6
35,T30,T30,Brian Harman,6
36,T30,T30,John Huh,6
37,T30,T30,Smylie Kaufman,6
38,T30,T30,Jerry Kelly,6
39,T30,T30,Kevin Kisner,6
40,T30,T30,Martin Laird,6
41,T30,T30,Andrew Landry,6
42,T30,T30,Marc Leishman,6
43,T30,T30,David Lingmerth,6
44,T30,T30,Jon Rahm,6
45,T30,T30,Patrick Rodgers,6
46,T30,T30,Brandt Snedeker,6
47,T30,T30,Brett Stegmaier,6
48,T30,T30,Kevin Streelman,6
49,T30,T30,Justin Thomas,6
50,T30,T30,Harold Varner III,6
51,T30,T30,Bubba Watson,6
52,T53,T53,Tyler Aldridge,5
53,T53,T53,Ricky Barnes,5
54,T53,T53,Zac Blair,5
55,T53,T53,Jonas Blixt,5
56,T53,T53,Jason Bohn,5
57,T53,T53,Scott Brown,5
58,T53,T53,Greg Chalmers,5
59,T53,T53,Kevin Chappell,5
60,T53,T53,Stewart Cink,5
61,T53,T53,Jon Curran,5
62,T53,T53,Brendon de Jonge,5
63,T53,T53,Luke Donald,5
64,T53,T53,Sergio Garcia,5
65,T53,T53,Robert Garrigus,5
66,T53,T53,Emiliano Grillo,5
67,T53,T53,Luke Guthrie,5
68,T53,T53,Chesson Hadley,5
69,T53,T53,David Hearn,5
70,T53,T53,Russell Henley,5
71,T53,T53,Jim Herman,5
72,T53,T53,Billy Horschel,5
73,T53,T53,Billy Hurley III,5
74,T53,T53,Sung Kang,5
75,T53,T53,Chris Kirk,5
76,T53,T53,Kelly Kraft,5
77,T53,T53,Matt Kuchar,5
78,T53,T53,Spencer Levin,5
79,T53,T53,Luke List,5
80,T53,T53,Andrew Loupe,5
81,T53,T53,Peter Malnati,5
82,T53,T53,Graeme McDowell,5
83,T53,T53,Rory McIlroy,5
84,T53,T53,Phil Mickelson,5
85,T53,T53,Greg Owen,5
86,T53,T53,Scott Pinckney,5
87,T53,T53,Chez Reavie,5
88,T53,T53,Webb Simpson,5
89,T53,T53,Hunter Stewart,5
90,T53,T53,Tyrone Van Aswegen,5
91,T53,T53,Jimmy Walker,5
92,T53,T53,Steve Wheatcroft,5
93,T94,T94,Thomas Aiken,4
94,T94,T94,Abraham Ancer,4
95,T94,T94,Stuart Appleby,4
96,T94,T94,Shane Bertsch,4
97,T94,T94,Grégory Bourdy,4
98,T94,T94,Bronson Burgoon,4
99,T94,T94,Rafa Cabrera Bello,4
100,T94,T94,Roberto Castro,4
101,T94,T94,K.J. Choi,4
102,T94,T94,Tim Clark,4
103,T94,T94,Ross Fisher,4
104,T94,T94,Matthew Fitzpatrick,4
105,T94,T94,Martin Flores,4
106,T94,T94,Jim Furyk,4
107,T94,T94,Tom Gillis,4
108,T94,T94,Fabián Gómez,4
109,T94,T94,Retief Goosen,4
110,T94,T94,Bill Haas,4
111,T94,T94,Padraig Harrington,4
112,T94,T94,Scott Hend,4
113,T94,T94,Justin Hicks,4
114,T94,T94,Charley Hoffman,4
115,T94,T94,Tom Hoge,4
116,T94,T94,J.B. Holmes,4
117,T94,T94,Mark Hubbard,4
118,T94,T94,Matt Jones,4
119,T94,T94,Whee Kim,4
120,T94,T94,Michael Kim,4
121,T94,T94,Patton Kizzire,4
122,T94,T94,Søren Kjeldsen,4
123,T94,T94,Colt Knost,4
124,T94,T94,Brooks Koepka,4
125,T94,T94,Jason Kokrak,4
126,T94,T94,Scott Langley,4
127,T94,T94,Danny Lee,4
128,T94,T94,Lucas Lee,4
129,T94,T94,Richard Lee,4
130,T94,T94,Ben Martin,4
131,T94,T94,Nick Mason,4
132,T94,T94,Cameron Percy,4
133,T94,T94,Alex Prugh,4
134,T94,T94,Ted Purdy,4
135,T94,T94,Kyle Reifers,4
136,T94,T94,Justin Rose,4
137,T94,T94,Sam Saunders,4
138,T94,T94,Charl Schwartzel,4
139,T94,T94,John Senden,4
140,T94,T94,Cameron Smith,4
141,T94,T94,Jordan Spieth,4
142,T94,T94,Scott Stallings,4
143,T94,T94,Kyle Stanley,4
144,T94,T94,Brendan Steele,4
145,T94,T94,Robert Streb,4
146,T94,T94,Hudson Swafford,4
147,T94,T94,Nick Taylor,4
148,T94,T94,Michael Thompson,4
149,T94,T94,David Toms,4
150,T94,T94,Boo Weekley,4
151,T94,T94,Willy Wilcox,4
152,T94,T94,Tim Wilkinson,4
153,T94,T94,Mark Wilson,4
154,T155,T155,Byeong Hun An,3
155,T155,T155,Aaron Baddeley,3
156,T155,T155,Blayne Barber,3
157,T155,T155,Ryan Blaum,3
158,T155,T155,Steven Bowditch,3
159,T155,T155,Miguel Angel Carballo,3
160,T155,T155,Chad Collins,3
161,T155,T155,Ben Crane,3
162,T155,T155,Ernie Els,3
163,T155,T155,Derek Ernst,3
164,T155,T155,Derek Fathauer,3
165,T155,T155,Lucas Glover,3
166,T155,T155,Jason Gore,3
167,T155,T155,Branden Grace,3
168,T155,T155,James Hahn,3
169,T155,T155,Tyrrell Hatton,3
170,T155,T155,J.J. Henry,3
171,T155,T155,Morgan Hoffmann,3
172,T155,T155,Hiroshi Iwata,3
173,T155,T155,Freddie Jacobson,3
174,T155,T155,Thongchai Jaidee,3
175,T155,T155,Zach Johnson,3
176,T155,T155,Andrew Johnston,3
177,T155,T155,Kent Jones,3
178,T155,T155,Daisuke Kataoka,3
179,T155,T155,Satoshi Kodaira,3
180,T155,T155,Justin Leonard,3
181,T155,T155,HaoTong Li,3
182,T155,T155,Steve Marino,3
183,T155,T155,John Merrick,3
184,T155,T155,Troy Merritt,3
185,T155,T155,Shaun Micheel,3
186,T155,T155,Bryce Molder,3
187,T155,T155,Francesco Molinari,3
188,T155,T155,Henrik Norlander,3
189,T155,T155,Geoff Ogilvy,3
190,T155,T155,Carlos Ortiz,3
191,T155,T155,Rod Pampling,3
192,T155,T155,Martin Piller,3
193,T155,T155,D.A. Points,3
194,T155,T155,Dicky Pride,3
195,T155,T155,Andres Romero,3
196,T155,T155,Rory Sabbatini,3
197,T155,T155,Vijay Singh,3
198,T155,T155,Shawn Stefani,3
199,T155,T155,Darron Stiles,3
200,T155,T155,Steve Stricker,3
201,T155,T155,Chris Stroud,3
202,T155,T155,Brian Stuard,3
203,T155,T155,Vaughn Taylor,3
204,T155,T155,Brendon Todd,3
205,T155,T155,D.J. Trahan,3
206,T155,T155,Marc Turnesa,3
207,T155,T155,Dawie van der Walt,3
208,T155,T155,Jhonattan Vegas,3
209,T155,T155,Camilo Villegas,3
210,T155,T155,Danny Willett,3
211,T212,T212,Blake Adams,2
212,T212,T212,Kiradech Aphibarnrat,2
213,T212,T212,Ryan Armour,2
214,T212,T212,Matt Atkins,2
215,T212,T212,Eric Axley,2
216,T212,T212,Cameron Beckman,2
217,T212,T212,Wesley Bryan,2
218,T212,T212,Jonathan Byrd,2
219,T212,T212,Ángel Cabrera,2
220,T212,T212,Rodolfo Cazaubón,2
221,T212,T212,Erik Compton,2
222,T212,T212,Ben Curtis,2
223,T212,T212,Charlie Danielson,2
224,T212,T212,Brian Davis,2
225,T212,T212,Bryson DeChambeau,2
226,T212,T212,Jamie Donaldson,2
227,T212,T212,James Driscoll,2
228,T212,T212,Ken Duke,2
229,T212,T212,Matt Every,2
230,T212,T212,Gonzalo Fernandez-Castaño,2
231,T212,T212,Jorge Fernández-Valdés,2
232,T212,T212,Brian Gay,2
233,T212,T212,Rhein Gibson,2
234,T212,T212,Mark Hensby,2
235,T212,T212,Tim Herron,2
236,T212,T212,David Howell,2
237,T212,T212,Ryo Ishikawa,2
238,T212,T212,Michael Johnson,2
239,T212,T212,Martin Kaymer,2
240,T212,T212,K.T. Kim,2
241,T212,T212,Anirban Lahiri,2
242,T212,T212,D.H. Lee,2
243,T212,T212,Lance Lopez,2
244,T212,T212,Davis Love III,2
245,T212,T212,Shane Lowry,2
246,T212,T212,Will MacKenzie,2
247,T212,T212,Hunter Mahan,2
248,T212,T212,Prayad Marksaeng,2
249,T212,T212,Billy Mayfair,2
250,T212,T212,Lee McCoy,2
251,T212,T212,Yusaku Miyazato,2
252,T212,T212,Louis Oosthuizen,2
253,T212,T212,Rob Oppenheim,2
254,T212,T212,Jeff Overton,2
255,T212,T212,Paul Peterson,2
256,T212,T212,Carl Pettersson,2
257,T212,T212,Ian Poulter,2
258,T212,T212,Wes Roach,2
259,T212,T212,John Rollins,2
260,T212,T212,Ollie Schniederjans,2
261,T212,T212,Robby Shelton,2
262,T212,T212,Conrad Shindler,2
263,T212,T212,Andy Sullivan,2
264,T212,T212,Omar Uresti,2
265,T212,T212,Bo Van Pelt,2
266,T212,T212,Nick Watney,2
267,T212,T212,Lee Westwood,2
268,T212,T212,Bernd Wiesberger,2
269,T212,T212,Chris Wood,2
