,Best_YTD_1-Putt_or_Better_Streak_RANK THIS WEEK,Best_YTD_1-Putt_or_Better_Streak_RANK LAST WEEK,Best_YTD_1-Putt_or_Better_Streak_PLAYER NAME,Best_YTD_1-Putt_or_Better_Streak_EVENTS,Best_YTD_1-Putt_or_Better_Streak_VALUE
0,T1,T1,Ricky Barnes,29,13
1,T1,T1,David Lingmerth,24,13
2,3,3,Brandt Snedeker,27,12
3,T4,T4,Aaron Baddeley,28,11
4,T4,T4,Derek Fathauer,30,11
5,T4,T4,Charles Howell III,25,11
6,T4,T4,Freddie Jacobson,26,11
7,T4,T4,Sean O'Hair,27,11
8,T4,T4,Steve Stricker,15,11
9,T10,T10,Zac Blair,31,10
10,T10,T10,Miguel Angel Carballo,18,10
11,T10,T10,Chad Collins,26,10
12,T10,T10,Jamie Donaldson,13,10
13,T10,T10,Brice Garnett,15,10
14,T10,T10,Brian Gay,13,10
15,T10,T10,Luke Guthrie,19,10
16,T10,T10,Dustin Johnson,22,10
17,T10,T10,Andrew Loupe,27,10
18,T10,T10,Jarrod Lyle,10,10
19,T10,T10,Seung-Yul Noh,28,10
20,T10,T10,Jordan Spieth,21,10
21,T10,T10,Hudson Swafford,30,10
22,T10,T10,Camilo Villegas,27,10
23,T10,T10,Tim Wilkinson,22,10
24,T25,T25,Ryan Armour,1,9
25,T25,T25,Daniel Berger,26,9
26,T25,T25,Shane Bertsch,9,9
27,T25,T25,Nicolas Colsaerts,2,9
28,T25,T25,Bryson DeChambeau,12,9
29,T25,T25,Tom Gillis,12,9
30,T25,T25,Fabián Gómez,26,9
31,T25,T25,James Hahn,26,9
32,T25,T25,Jim Herman,29,9
33,T25,T25,Charley Hoffman,26,9
34,T25,T25,Hiroshi Iwata,29,9
35,T25,T25,Zach Johnson,24,9
36,T25,T25,Michael Kim,29,9
37,T25,T25,Chris Kirk,28,9
38,T25,T25,Scott Langley,22,9
39,T25,T25,D.H. Lee,22,9
40,T25,T25,Richard Lee,2,9
41,T25,T25,Rory McIlroy,18,9
42,T25,T25,Phil Mickelson,22,9
43,T25,T25,Kevin Na,26,9
44,T25,T25,Jon Rahm,9,9
45,T25,T25,Justin Rose,18,9
46,T25,T25,Webb Simpson,20,9
47,T25,T25,Cameron Smith,24,9
48,T25,T25,Justin Thomas,28,9
49,T25,T25,Brendon Todd,29,9
50,T25,T25,Bo Van Pelt,5,9
51,T25,T25,Harold Varner III,28,9
52,T53,T53,Robert Allenby,23,8
53,T53,T53,Stuart Appleby,23,8
54,T53,T53,Steven Bowditch,26,8
55,T53,T53,Bronson Burgoon,27,8
56,T53,T53,Chad Campbell,28,8
57,T53,T53,Roberto Castro,27,8
58,T53,T53,Bud Cauley,14,8
59,T53,T53,Kevin Chappell,27,8
60,T53,T53,K.J. Choi,22,8
61,T53,T53,Cory Cooper,1,8
62,T53,T53,Brendon de Jonge,30,8
63,T53,T53,Luke Donald,23,8
64,T53,T53,Harris English,27,8
65,T53,T53,Edward Figueroa,1,8
66,T53,T53,Tony Finau,28,8
67,T53,T53,Sergio Garcia,15,8
68,T53,T53,Emiliano Grillo,25,8
69,T53,T53,Brandon Hagy,2,8
70,T53,T53,Padraig Harrington,16,8
71,T53,T53,Tyrrell Hatton,5,8
72,T53,T53,Scott Hend,5,8
73,T53,T53,Russell Henley,25,8
74,T53,T53,Tim Herron,14,8
75,T53,T53,J.B. Holmes,22,8
76,T53,T53,Mark Hubbard,30,8
77,T53,T53,John Huh,28,8
78,T53,T53,Billy Hurley III,20,8
79,T53,T53,Colt Knost,26,8
80,T53,T53,Matt Kuchar,26,8
81,T53,T53,Anirban Lahiri,21,8
82,T53,T53,Frank Lickliter II,9,8
83,T53,T53,Jamie Lovemark,27,8
84,T53,T53,Hunter Mahan,22,8
85,T53,T53,Peter Malnati,32,8
86,T53,T53,Hideki Matsuyama,23,8
87,T53,T53,Billy Mayfair,7,8
88,T53,T53,Lee McCoy,7,8
89,T53,T53,Troy Merritt,26,8
90,T53,T53,Thorbjørn Olesen,5,8
91,T53,T53,Pat Perez,11,8
92,T53,T53,Scott Piercy,24,8
93,T53,T53,D.A. Points,18,8
94,T53,T53,Ian Poulter,13,8
95,T53,T53,Michael Putnam,7,8
96,T53,T53,Patrick Reed,28,8
97,T53,T53,Wes Roach,21,8
98,T53,T53,Sam Saunders,24,8
99,T53,T53,Charl Schwartzel,19,8
100,T53,T53,Darron Stiles,17,8
101,T53,T53,Daniel Summerhays,28,8
102,T53,T53,Vaughn Taylor,24,8
103,T53,T53,Tyrone Van Aswegen,31,8
104,T53,T53,Jimmy Walker,25,8
105,T106,T106,Tyler Aldridge,28,7
106,T106,T106,Abraham Ancer,19,7
107,T106,T106,Jonas Blixt,26,7
108,T106,T106,Scott Brown,27,7
109,T106,T106,Wesley Bryan,4,7
110,T106,T106,Ángel Cabrera,22,7
111,T106,T106,Rafael Campos,2,7
112,T106,T106,Alex Cejka,22,7
113,T106,T106,Stewart Cink,19,7
114,T106,T106,George Coetzee,7,7
115,T106,T106,Erik Compton,24,7
116,T106,T106,Jason Day,20,7
117,T106,T106,Graham DeLaet,21,7
118,T106,T106,Jason Dufner,28,7
119,T106,T106,Ken Duke,20,7
120,T106,T106,Ernie Els,21,7
121,T106,T106,Matthew Fitzpatrick,12,7
122,T106,T106,Steve Flesch,6,7
123,T106,T106,Jim Furyk,14,7
124,T106,T106,Robert Garrigus,21,7
125,T106,T106,Lucas Glover,23,7
126,T106,T106,Andres Gonzales,28,7
127,T106,T106,Retief Goosen,16,7
128,T106,T106,Jason Gore,27,7
129,T106,T106,Bill Haas,24,7
130,T106,T106,Chesson Hadley,27,7
131,T106,T106,Brian Harman,31,7
132,T106,T106,David Hearn,29,7
133,T106,T106,Justin Hicks,15,7
134,T106,T106,Morgan Hoffmann,25,7
135,T106,T106,Tom Hoge,26,7
136,T106,T106,Billy Horschel,20,7
137,T106,T106,David Howell,2,7
138,T106,T106,Thongchai Jaidee,8,7
139,T106,T106,Matt Jones,27,7
140,T106,T106,Sung Kang,29,7
141,T106,T106,Smylie Kaufman,28,7
142,T106,T106,Jerry Kelly,23,7
143,T106,T106,Kevin Kisner,27,7
144,T106,T106,Patton Kizzire,27,7
145,T106,T106,Russell Knox,25,7
146,T106,T106,Brooks Koepka,21,7
147,T106,T106,Kelly Kraft,20,7
148,T106,T106,Andrew Landry,18,7
149,T106,T106,Danny Lee,28,7
150,T106,T106,Lucas Lee,16,7
151,T106,T106,Richard Lee,11,7
152,T106,T106,Marc Leishman,25,7
153,T106,T106,Justin Leonard,13,7
154,T106,T106,Spencer Levin,32,7
155,T106,T106,Luke List,27,7
156,T106,T106,Will MacKenzie,26,7
157,T106,T106,Steve Marino,24,7
158,T106,T106,Prayad Marksaeng,1,7
159,T106,T106,David Mathis,1,7
160,T106,T106,Graeme McDowell,21,7
161,T106,T106,William McGirt,28,7
162,T106,T106,George McNeill,23,7
163,T106,T106,Ryan Moore,23,7
164,T106,T106,Matthew NeSmith,1,7
165,T106,T106,Alex Noren,4,7
166,T106,T106,Louis Oosthuizen,17,7
167,T106,T106,Rob Oppenheim,21,7
168,T106,T106,Greg Owen,29,7
169,T106,T106,Ryan Palmer,23,7
170,T106,T106,Rod Pampling,18,7
171,T106,T106,Martin Piller,22,7
172,T106,T106,Jonathan Randolph,1,7
173,T106,T106,Chez Reavie,27,7
174,T106,T106,Patrick Rodgers,28,7
175,T106,T106,John Senden,28,7
176,T106,T106,Robby Shelton,4,7
177,T106,T106,Vijay Singh,22,7
178,T106,T106,Shawn Stefani,29,7
179,T106,T106,Robert Streb,27,7
180,T106,T106,Chris Stroud,27,7
181,T106,T106,Brian Stuard,20,7
182,T106,T106,Michael Thompson,23,7
183,T106,T106,David Toms,19,7
184,T106,T106,Cameron Tringale,25,7
185,T106,T106,Yosuke Tsukada,2,7
186,T106,T106,Dawie van der Walt,25,7
187,T106,T106,Jhonattan Vegas,27,7
188,T106,T106,Nick Watney,5,7
189,T106,T106,Steve Wheatcroft,26,7
190,T106,T106,Willy Wilcox,23,7
191,T106,T106,Chris Wood,8,7
192,T106,T106,Greg Yates,1,7
193,T194,T194,Blake Adams,4,6
194,T194,T194,Thomas Aiken,23,6
195,T194,T194,Max Alverio,1,6
196,T194,T194,Kiradech Aphibarnrat,11,6
197,T194,T194,Philip Barbaree,1,6
198,T194,T194,Blayne Barber,27,6
199,T194,T194,Craig Barlow,3,6
200,T194,T194,Charlie Beljan,13,6
201,T194,T194,Jason Bohn,21,6
202,T194,T194,Keegan Bradley,26,6
203,T194,T194,Mark Brooks,1,6
204,T194,T194,Jonathan Byrd,6,6
205,T194,T194,Paul Casey,22,6
206,T194,T194,Greg Chalmers,12,6
207,T194,T194,Danny Chia,2,6
208,T194,T194,Darren Clarke,4,6
209,T194,T194,Gavin Coles,2,6
210,T194,T194,Ben Crane,27,6
211,T194,T194,Jon Curran,30,6
212,T194,T194,Brian Davis,9,6
213,T194,T194,Marco Dawson,1,6
214,T194,T194,Andrew Dodt,2,6
215,T194,T194,Jared du Toit,1,6
216,T194,T194,David Duval,2,6
217,T194,T194,Derek Ernst,20,6
218,T194,T194,Branson Ferrier,1,6
219,T194,T194,Martin Flores,2,6
220,T194,T194,Rhein Gibson,20,6
221,T194,T194,Branden Grace,18,6
222,T194,T194,Adam Hadwin,27,6
223,T194,T194,Mark Hensby,5,6
224,T194,T194,Andrew Johnston,4,6
225,T194,T194,K.T. Kim,7,6
226,T194,T194,Si Woo Kim,34,6
227,T194,T194,Jason Kokrak,28,6
228,T194,T194,Lance Lopez,1,6
229,T194,T194,Shane Lowry,17,6
230,T194,T194,Sandy Lyle,2,6
231,T194,T194,Ben Martin,28,6
232,T194,T194,Paul McConnell,2,6
233,T194,T194,John Merrick,12,6
