,Consecutive_GIR_RANK THIS WEEK,Consecutive_GIR_RANK LAST WEEK,Consecutive_GIR_PLAYER NAME,Consecutive_GIR_EVENTS,Consecutive_GIR_STREAK,Consecutive_GIR_CURRENT STREAK,Consecutive_GIR_ROUND,Consecutive_GIR_HOLE,Consecutive_GIR_YEAR/TOURN#
0,T1,T1,Jim Furyk,14,38,,3,8,2016430
1,T1,T1,James Hahn,26,38,5.0,2,5,2016030
2,3,3,Fabián Gómez,26,37,4.0,4,9,2016070
3,T4,T4,Brian Harman,31,33,1.0,1,17,2016020
4,T4,T4,Russell Knox,25,33,4.0,2,17,2016100
5,6,6,Lee Westwood,7,32,,1,15,2016420
6,T7,T7,Alex Cejka,22,31,,3,3,2016100
7,T7,T7,Chris Kirk,28,31,1.0,3,2,2016100
8,T9,T9,Jason Day,20,30,2.0,3,18,2016100
9,T9,T9,Harris English,27,30,5.0,4,12,2016030
10,T11,T11,Chad Campbell,28,29,3.0,1,12,2016460
11,T11,T11,Andres Gonzales,28,29,,3,17,2016350
12,13,13,Adam Scott,20,28,5.0,4,5,2016480
13,14,14,John Merrick,12,27,1.0,4,4,2016390
14,T15,T15,Patrick Reed,28,26,,1,9,2016100
15,T15,T15,Jordan Spieth,21,26,,1,9,2016100
16,T17,T17,Wesley Bryan,4,25,3.0,1,10,2016450
17,T17,T17,Kevin Chappell,27,25,1.0,1,1,2016070
18,T17,T17,Derek Ernst,20,25,3.0,2,10,2016270
19,T17,T17,Lucas Glover,23,25,3.0,4,15,2016200
20,T17,T17,J.J. Henry,24,25,,1,9,2016290
21,T17,T17,Charley Hoffman,26,25,5.0,3,4,2016350
22,T17,T17,Dustin Johnson,22,25,4.0,1,3,2016340
23,T17,T17,Anirban Lahiri,21,25,2.0,1,1,2016120
24,T25,T25,Paul Casey,22,24,2.0,2,11,2016420
25,T25,T25,Jason Dufner,28,24,2.0,4,17,2016060
26,T25,T25,Colt Knost,26,24,1.0,1,6,2016290
27,T25,T25,Greg Owen,29,24,,1,3,2016010
28,T29,T29,Stuart Appleby,23,23,,2,4,2016350
29,T29,T29,Hideki Matsuyama,23,23,,4,5,2016420
30,T29,T29,Kevin Na,26,23,8.0,2,4,2016460
31,T29,T29,Kyle Reifers,34,23,,3,4,2016300
32,T29,T29,Charl Schwartzel,19,23,3.0,4,14,2016010
33,T29,T29,Webb Simpson,20,23,5.0,1,1,2016350
34,T29,T29,Camilo Villegas,27,23,7.0,4,6,2016020
35,T29,T29,Nick Watney,5,23,,4,16,2016010
36,T29,T29,Bubba Watson,19,23,8.0,3,13,2016470
37,T38,T38,Keegan Bradley,26,22,2.0,2,1,2016030
38,T38,T38,Jonathan Byrd,6,22,,1,17,2016070
39,T38,T38,Rafa Cabrera Bello,10,22,1.0,4,5,2016420
40,T38,T38,Roberto Castro,27,22,,1,11,2016040
41,T38,T38,Charlie Danielson,4,22,3.0,1,10,2016450
42,T38,T38,Graham DeLaet,21,22,3.0,2,14,2016120
43,T38,T38,Brice Garnett,15,22,12.0,3,2,2016460
44,T38,T38,Si Woo Kim,34,22,4.0,1,10,2016230
45,T38,T38,Graeme McDowell,21,22,,3,6,2016070
46,T38,T38,Sean O'Hair,27,22,4.0,4,2,2016070
