,Consecutive_Fairways_Hit_RANK THIS WEEK,Consecutive_Fairways_Hit_RANK LAST WEEK,Consecutive_Fairways_Hit_PLAYER NAME,Consecutive_Fairways_Hit_EVENTS,Consecutive_Fairways_Hit_BEST STREAK,Consecutive_Fairways_Hit_CURRENT STREAK
0,1,1,Jason Gore,27,35,3.0
1,2,2,Brian Stuard,20,31,
2,3,3,Henrik Norlander,21,29,4.0
3,4,4,Jim Herman,29,27,2.0
4,T5,T5,Andrew Landry,18,26,
5,T5,T5,Kevin Streelman,26,26,
6,7,7,Billy Hurley III,20,25,2.0
7,T8,T8,Tyrrell Hatton,5,24,2.0
8,T8,T8,David Hearn,29,24,9.0
9,T8,T8,Bubba Watson,19,24,1.0
10,T11,T11,Tyler Aldridge,28,23,
11,T11,T11,Roberto Castro,27,23,
12,T11,T11,Si Woo Kim,34,23,
13,T11,T11,Patton Kizzire,27,23,
14,T11,T11,Colt Knost,26,23,2.0
15,T11,T11,Danny Lee,28,23,
16,T17,T17,Thomas Aiken,23,22,
17,T17,T17,Alex Cejka,22,22,
18,T17,T17,Jim Furyk,14,22,
19,T17,T17,Adam Scott,20,22,
20,T17,T17,Marc Turnesa,10,22,22.0
21,T22,T22,Jason Bohn,21,21,1.0
22,T22,T22,Bill Haas,24,21,
23,T22,T22,John Huh,28,21,1.0
24,T22,T22,Geoff Ogilvy,22,21,
25,T22,T22,Scott Pinckney,29,21,1.0
26,T27,T27,Scott Brown,27,20,7.0
27,T27,T27,Marc Leishman,25,20,6.0
28,T27,T27,Ryan Moore,23,20,
29,T27,T27,Andres Romero,14,20,1.0
30,T27,T27,Shawn Stefani,29,20,
31,T27,T27,Camilo Villegas,27,20,1.0
32,T27,T27,Boo Weekley,26,20,
33,T34,T34,Zac Blair,31,19,1.0
34,T34,T34,Bud Cauley,14,19,
35,T34,T34,Ken Duke,20,19,
36,T34,T34,Brice Garnett,15,19,3.0
37,T34,T34,Emiliano Grillo,25,19,
38,T34,T34,Tim Herron,14,19,6.0
39,T34,T34,Andrew Johnston,4,19,1.0
40,T34,T34,Jerry Kelly,23,19,1.0
41,T34,T34,Russell Knox,25,19,6.0
42,T34,T34,Jason Kokrak,28,19,
43,T34,T34,Peter Malnati,32,19,
44,T45,T45,Shane Bertsch,9,18,
45,T45,T45,Rafa Cabrera Bello,10,18,
46,T45,T45,Tim Clark,7,18,4.0
47,T45,T45,Austin Connelly,4,18,4.0
48,T45,T45,J.J. Henry,24,18,
49,T45,T45,Justin Hicks,15,18,3.0
50,T45,T45,Mark Hubbard,30,18,1.0
51,T45,T45,Arie Ahmad Irawan,1,18,1.0
52,T45,T45,Spencer Levin,32,18,1.0
53,T45,T45,Graeme McDowell,21,18,2.0
54,T45,T45,Darron Stiles,17,18,3.0
55,T45,T45,Brendon Todd,29,18,1.0
56,T57,T57,Stuart Appleby,23,17,2.0
57,T57,T57,Arjun Atwal,6,17,2.0
58,T57,T57,Mark Brooks,1,17,4.0
59,T57,T57,K.J. Choi,22,17,
60,T57,T57,Sergio Garcia,15,17,2.0
61,T57,T57,Robert Garrigus,21,17,1.0
62,T57,T57,James Hahn,26,17,1.0
63,T57,T57,Brian Harman,31,17,1.0
64,T57,T57,Will MacKenzie,26,17,
65,T57,T57,Troy Merritt,26,17,
66,T57,T57,Bryce Molder,26,17,1.0
67,T57,T57,Martin Piller,22,17,
68,T57,T57,Dicky Pride,21,17,3.0
69,T57,T57,Kyle Reifers,34,17,
70,T57,T57,John Senden,28,17,2.0
71,T57,T57,Henrik Stenson,14,17,12.0
72,T57,T57,Daniel Summerhays,28,17,2.0
73,T57,T57,Mark Wilson,21,17,2.0
74,T57,T57,Gary Woodland,26,17,3.0
75,T76,T76,Ángel Cabrera,22,16,1.0
76,T76,T76,Chad Campbell,28,16,
77,T76,T76,Paul Casey,22,16,
78,T76,T76,Brendon de Jonge,30,16,
79,T76,T76,Matthew Fitzpatrick,12,16,8.0
80,T76,T76,Rhein Gibson,20,16,2.0
81,T76,T76,Russell Henley,25,16,
82,T76,T76,Whee Kim,27,16,1.0
83,T76,T76,Anirban Lahiri,21,16,1.0
84,T76,T76,Martin Laird,24,16,1.0
85,T76,T76,Lucas Lee,16,16,
86,T76,T76,Shane Lowry,17,16,
87,T76,T76,Billy Mayfair,7,16,3.0
88,T76,T76,Francesco Molinari,18,16,2.0
89,T76,T76,Rod Pampling,18,16,
90,T76,T76,Chez Reavie,27,16,7.0
91,T76,T76,Cameron Smith,24,16,2.0
92,T76,T76,Brandt Snedeker,27,16,
93,T76,T76,Kyle Stanley,28,16,
94,T76,T76,Steve Stricker,15,16,3.0
95,T76,T76,Michael Thompson,23,16,
96,T76,T76,Harold Varner III,28,16,3.0
97,T98,T98,Keegan Bradley,26,15,2.0
98,T98,T98,Bronson Burgoon,27,15,1.0
99,T98,T98,Greg Chalmers,12,15,
100,T98,T98,Chris DiMarco,2,15,1.0
101,T98,T98,Jason Dufner,28,15,
102,T98,T98,Derek Fathauer,30,15,
103,T98,T98,Fabián Gómez,26,15,2.0
104,T98,T98,Justin Leonard,13,15,
105,T98,T98,Davis Love III,15,15,
106,T98,T98,Sandy Lyle,2,15,
107,T98,T98,Rory McIlroy,18,15,
108,T98,T98,Scott Piercy,24,15,2.0
109,T98,T98,Patrick Rodgers,28,15,
110,T98,T98,Chris Stroud,27,15,1.0
111,T98,T98,Omar Uresti,4,15,2.0
112,T98,T98,Johnson Wagner,26,15,1.0
113,T114,T114,Byeong Hun An,14,14,1.0
114,T114,T114,Blayne Barber,27,14,
115,T114,T114,Ben Crane,27,14,1.0
116,T114,T114,Luke Donald,23,14,1.0
117,T114,T114,Oscar Fraustro,1,14,2.0
118,T114,T114,Fred Funk,4,14,
119,T114,T114,Lucas Glover,23,14,1.0
120,T114,T114,Luke Guthrie,19,14,
121,T114,T114,Adam Hadwin,27,14,1.0
122,T114,T114,Tom Hoge,26,14,3.0
123,T114,T114,Chris Kirk,28,14,2.0
124,T114,T114,Kevin Kisner,27,14,3.0
125,T114,T114,Søren Kjeldsen,12,14,
126,T114,T114,Matt Kuchar,26,14,
127,T114,T114,David Lingmerth,24,14,
128,T114,T114,Jamie Lovemark,27,14,
129,T114,T114,John Merrick,12,14,4.0
130,T114,T114,Cameron Percy,15,14,
131,T114,T114,Jon Rahm,9,14,
132,T114,T114,Justin Rose,18,14,2.0
133,T114,T114,Ryan Ruffels,7,14,1.0
134,T114,T114,Sam Saunders,24,14,
135,T114,T114,Webb Simpson,20,14,1.0
136,T114,T114,Lee Slattery,1,14,
137,T114,T114,Hudson Swafford,30,14,2.0
138,T114,T114,Vaughn Taylor,24,14,
139,T114,T114,David Toms,19,14,6.0
140,T114,T114,Tyrone Van Aswegen,31,14,3.0
141,T142,T142,Ricky Barnes,29,13,
142,T142,T142,Daniel Berger,26,13,1.0
143,T142,T142,Jonas Blixt,26,13,
144,T142,T142,Miguel Angel Carballo,18,13,
145,T142,T142,Stewart Cink,19,13,
146,T142,T142,Jon Curran,30,13,4.0
147,T142,T142,Ben Curtis,5,13,6.0
148,T142,T142,Derek Ernst,20,13,2.0
149,T142,T142,Marcus Fraser,5,13,4.0
150,T142,T142,Tommy Gainey,4,13,3.0
151,T142,T142,Andres Gonzales,28,13,
152,T142,T142,Billy Horschel,20,13,
153,T142,T142,Kent Jones,1,13,8.0
154,T142,T142,Scott Langley,22,13,
155,T142,T142,Hideki Matsuyama,23,13,
156,T142,T142,Troy Matteson,3,13,
157,T142,T142,Kevin Na,26,13,
158,T142,T142,Louis Oosthuizen,17,13,9.0
159,T142,T142,Ryan Palmer,23,13,
160,T142,T142,Wes Roach,21,13,3.0
161,T142,T142,Vijay Singh,22,13,3.0
162,T142,T142,Brett Stegmaier,29,13,
163,T142,T142,Cameron Tringale,25,13,
164,T142,T142,Jhonattan Vegas,27,13,
165,T142,T142,Willy Wilcox,23,13,1.0
166,T142,T142,Tim Wilkinson,22,13,
167,T168,T168,Matt Atkins,1,12,
168,T168,T168,Aaron Baddeley,28,12,1.0
169,T168,T168,Michael Bradley,8,12,
170,T168,T168,Danny Chia,2,12,1.0
171,T168,T168,David Coupland,1,12,4.0
172,T168,T168,Brian Davis,9,12,
173,T168,T168,Andrew Dodt,2,12,1.0
174,T168,T168,Tony Finau,28,12,
175,T168,T168,Tom Gillis,12,12,
176,T168,T168,Retief Goosen,16,12,3.0
177,T168,T168,Chesson Hadley,27,12,
178,T168,T168,Dudley Hart,1,12,
179,T168,T168,Adam Hart,2,12,2.0
180,T168,T168,Thongchai Jaidee,8,12,1.0
181,T168,T168,Zach Johnson,24,12,3.0
182,T168,T168,Michael Johnson,4,12,2.0
183,T168,T168,Sung Kang,29,12,2.0
184,T168,T168,Michael Kim,29,12,
185,T168,T168,Brooks Koepka,21,12,1.0
186,T168,T168,Kelly Kraft,20,12,3.0
187,T168,T168,Richard Lee,11,12,6.0
188,T168,T168,William McGirt,28,12,
189,T168,T168,Parker McLachlin,3,12,1.0
