,Best_YTD_Streak_wo_a_3-Putt_RANK THIS WEEK,Best_YTD_Streak_wo_a_3-Putt_RANK LAST WEEK,Best_YTD_Streak_wo_a_3-Putt_PLAYER NAME,Best_YTD_Streak_wo_a_3-Putt_EVENTS,Best_YTD_Streak_wo_a_3-Putt_BEST STREAK,Best_YTD_Streak_wo_a_3-Putt_CURRENT STREAK
0,1,1,Adam Hadwin,27,314,22.0
1,2,2,Jonas Blixt,26,289,46.0
2,3,3,Jason Bohn,21,281,5.0
3,4,4,Blayne Barber,27,259,24.0
4,5,5,Retief Goosen,16,247,11.0
5,6,6,Ricky Barnes,29,244,20.0
6,T7,T7,Padraig Harrington,16,234,2.0
7,T7,T7,Kevin Kisner,27,234,148.0
8,T7,T7,Rod Pampling,18,234,17.0
9,10,10,Rickie Fowler,23,232,19.0
10,11,11,Seung-Yul Noh,28,229,3.0
11,T12,T12,Marc Leishman,25,228,59.0
12,T12,T12,Justin Leonard,13,228,31.0
13,14,14,Troy Merritt,26,226,2.0
14,15,15,Hiroshi Iwata,29,223,32.0
15,16,16,David Hearn,29,222,222.0
16,17,17,Jason Gore,27,217,27.0
17,18,18,Dawie van der Walt,25,216,21.0
18,T19,T19,Chad Collins,26,212,45.0
19,T19,T19,Daniel Summerhays,28,212,101.0
20,21,21,Si Woo Kim,34,211,22.0
21,22,22,Chad Campbell,28,208,98.0
22,T23,T23,Carlos Ortiz,29,207,33.0
23,T23,T23,Boo Weekley,26,207,6.0
24,25,25,Luke Donald,23,206,73.0
25,26,26,Tyrrell Hatton,5,204,3.0
26,27,27,Peter Malnati,32,203,37.0
27,28,28,Jon Curran,30,200,14.0
28,29,29,Jason Day,20,199,88.0
29,30,30,Gary Woodland,26,198,122.0
30,31,31,Brian Gay,13,196,26.0
31,T32,T32,Harris English,27,193,12.0
32,T32,T32,Scott Stallings,27,193,24.0
33,T34,T34,Emiliano Grillo,25,191,11.0
34,T34,T34,Jordan Spieth,21,191,34.0
35,36,36,Carl Pettersson,22,189,2.0
36,T37,T37,Brendon de Jonge,30,187,111.0
37,T37,T37,John Huh,28,187,7.0
38,T37,T37,Colt Knost,26,187,4.0
39,40,40,Andres Gonzales,28,186,25.0
40,41,41,Patrick Reed,28,185,63.0
41,T42,T42,Zac Blair,31,184,5.0
42,T42,T42,Ryan Palmer,23,184,2.0
43,44,44,David Lingmerth,24,183,49.0
44,45,45,Tim Wilkinson,22,182,16.0
45,46,46,Ryan Moore,23,181,73.0
46,47,47,Davis Love III,15,178,54.0
47,48,48,Andrew Loupe,27,176,7.0
48,T49,T49,Spencer Levin,32,175,11.0
49,T49,T49,Shawn Stefani,29,175,1.0
50,T51,T51,Aaron Baddeley,28,172,52.0
51,T51,T51,Steve Stricker,15,172,22.0
52,53,53,Tyrone Van Aswegen,31,171,4.0
53,T54,T54,Billy Hurley III,20,170,53.0
54,T54,T54,Hudson Swafford,30,170,8.0
55,T54,T54,Justin Thomas,28,170,43.0
56,57,57,Rob Oppenheim,21,169,6.0
57,T58,T58,Roberto Castro,27,168,8.0
58,T58,T58,Kevin Na,26,168,19.0
59,T58,T58,Kyle Reifers,34,168,89.0
60,T61,T61,Tony Finau,28,165,2.0
61,T61,T61,Will MacKenzie,26,165,2.0
62,T61,T61,Sam Saunders,24,165,9.0
63,64,64,Mark Wilson,21,164,6.0
64,65,65,Louis Oosthuizen,17,163,56.0
65,T66,T66,Kiradech Aphibarnrat,11,162,15.0
66,T66,T66,Ben Crane,27,162,13.0
67,T68,T68,Alex Cejka,22,160,160.0
68,T68,T68,Luke Guthrie,19,160,34.0
69,T68,T68,Bill Haas,24,160,23.0
70,71,71,Brandt Snedeker,27,159,124.0
71,T72,T72,Daniel Berger,26,157,29.0
72,T72,T72,Greg Chalmers,12,157,3.0
73,T72,T72,J.J. Henry,24,157,20.0
74,T72,T72,Charley Hoffman,26,157,33.0
75,T72,T72,Michael Kim,29,157,45.0
76,77,77,Bronson Burgoon,27,156,31.0
77,T78,T78,K.J. Choi,22,155,4.0
78,T78,T78,Jason Dufner,28,155,84.0
79,T78,T78,Jason Kokrak,28,155,48.0
80,81,81,Jamie Lovemark,27,154,144.0
81,82,82,Geoff Ogilvy,22,153,23.0
82,T83,T83,Smylie Kaufman,28,151,106.0
83,T83,T83,Andrew Landry,18,151,22.0
84,T83,T83,Henrik Norlander,21,151,30.0
85,T86,T86,Keegan Bradley,26,150,5.0
86,T86,T86,Erik Compton,24,150,2.0
87,T86,T86,Greg Owen,29,150,16.0
88,T86,T86,Scott Piercy,24,150,19.0
89,T90,T90,Stuart Appleby,23,149,22.0
90,T90,T90,Matt Every,17,149,24.0
91,T92,T92,Paul Casey,22,148,148.0
92,T92,T92,Derek Fathauer,30,148,12.0
93,T92,T92,Matt Jones,27,148,9.0
94,T95,T95,Bryce Molder,26,146,23.0
95,T95,T95,Cameron Tringale,25,146,15.0
96,97,97,Mike Weir,10,145,5.0
97,T98,T98,Rafa Cabrera Bello,10,144,2.0
98,T98,T98,Fabián Gómez,26,144,57.0
99,T98,T98,Henrik Stenson,14,144,25.0
100,101,101,Chris Stroud,27,143,16.0
101,T102,T102,Graham DeLaet,21,142,39.0
102,T102,T102,Willy Wilcox,23,142,22.0
103,T104,T104,James Hahn,26,141,22.0
104,T104,T104,D.H. Lee,22,141,45.0
105,T104,T104,Thorbjørn Olesen,5,141,38.0
106,107,107,Kyle Stanley,28,140,33.0
107,T108,T108,Scott Brown,27,139,13.0
108,T108,T108,Martin Kaymer,10,139,105.0
109,T108,T108,Graeme McDowell,21,139,99.0
110,T108,T108,Cameron Percy,15,139,13.0
111,T108,T108,John Senden,28,139,98.0
112,T113,T113,Matthew Fitzpatrick,12,138,77.0
113,T113,T113,Sung Kang,29,138,34.0
114,T113,T113,Francesco Molinari,18,138,28.0
115,T116,T116,Scott Langley,22,137,49.0
116,T116,T116,Cameron Smith,24,137,9.0
117,118,118,Ángel Cabrera,22,136,
118,T119,T119,Steven Bowditch,26,135,10.0
119,T119,T119,Michael Bradley,8,135,28.0
120,T119,T119,Kevin Chappell,27,135,16.0
121,T119,T119,Hunter Stewart,8,135,6.0
122,T119,T119,Steve Wheatcroft,26,135,3.0
123,T124,T124,Thomas Aiken,23,134,16.0
124,T124,T124,Rafael Campos,2,134,9.0
125,T124,T124,Russell Henley,25,134,20.0
126,T124,T124,Wes Roach,21,134,5.0
127,T128,T128,Tyler Aldridge,28,133,2.0
128,T128,T128,Charles Howell III,25,133,37.0
129,T128,T128,Zach Johnson,24,133,1.0
130,T128,T128,Chez Reavie,27,133,20.0
131,T132,T132,Wesley Bryan,4,132,55.0
132,T132,T132,Freddie Jacobson,26,132,18.0
133,T132,T132,Patton Kizzire,27,132,19.0
134,T132,T132,Russell Knox,25,132,10.0
135,T132,T132,Anirban Lahiri,21,132,32.0
136,T132,T132,Lucas Lee,16,132,2.0
137,T132,T132,Brendan Steele,25,132,59.0
138,T139,T139,Lucas Glover,23,131,9.0
139,T139,T139,Vijay Singh,22,131,13.0
140,T141,T141,Stewart Cink,19,130,21.0
141,T141,T141,Ernie Els,21,130,35.0
142,T141,T141,Richard Lee,11,130,52.0
143,T141,T141,Phil Mickelson,22,130,20.0
144,T141,T141,Justin Rose,18,130,7.0
145,T146,T146,Robert Allenby,23,129,26.0
146,T146,T146,Jeff Overton,25,129,17.0
147,T148,T148,Tom Hoge,26,128,4.0
148,T148,T148,Martin Laird,24,128,28.0
149,T148,T148,John Merrick,12,128,8.0
150,T148,T148,Brian Stuard,20,128,128.0
151,152,152,William McGirt,28,127,26.0
152,T153,T153,Byeong Hun An,14,126,16.0
153,T153,T153,Tom Gillis,12,126,28.0
154,T153,T153,Steve Marino,24,126,9.0
155,T153,T153,Chris Wood,8,126,11.0
156,T157,T157,Ben Curtis,5,122,122.0
157,T157,T157,Whee Kim,27,122,17.0
158,T157,T157,Jhonattan Vegas,27,122,52.0
159,T157,T157,Johnson Wagner,26,122,49.0
160,T161,T161,Chris Kirk,28,121,29.0
161,T161,T161,Kelly Kraft,20,121,18.0
162,T161,T161,Matt Kuchar,26,121,37.0
163,T161,T161,Bubba Watson,19,121,52.0
164,165,165,Brendon Todd,29,119,11.0
165,166,166,Hideki Matsuyama,23,118,75.0
166,T167,T167,Trevor Immelman,11,117,10.0
167,T167,T167,Hunter Mahan,22,117,95.0
168,T167,T167,Ian Poulter,13,117,
169,T167,T167,Robert Streb,27,117,5.0
170,T171,T171,Morgan Hoffmann,25,116,35.0
171,T171,T171,Dustin Johnson,22,116,6.0
172,T171,T171,Satoshi Kodaira,3,116,
173,T171,T171,Brooks Koepka,21,116,102.0
174,T171,T171,Andres Romero,14,116,2.0
175,T176,T176,Bud Cauley,14,115,38.0
176,T176,T176,Jerry Kelly,23,115,36.0
177,T176,T176,Shane Lowry,17,115,18.0
178,T179,T179,Robert Garrigus,21,114,17.0
179,T179,T179,Scott Pinckney,29,114,26.0
180,T179,T179,D.A. Points,18,114,
181,T179,T179,Danny Willett,9,114,21.0
182,183,183,Brett Stegmaier,29,113,21.0
183,T184,T184,Eric Axley,7,112,74.0
184,T184,T184,Søren Kjeldsen,12,112,3.0
185,T184,T184,Frank Lickliter II,9,112,10.0
186,T184,T184,Martin Piller,22,112,
187,T184,T184,Rory Sabbatini,20,112,35.0
188,T184,T184,Nick Watney,5,112,83.0
189,T190,T190,Brian Harman,31,111,13.0
190,T190,T190,Mark Hubbard,30,111,7.0
191,T190,T190,Danny Lee,28,111,8.0
192,193,193,Branden Grace,18,110,13.0
193,194,194,Dicky Pride,21,109,3.0
194,T195,T195,Tim Clark,7,108,40.0
195,T195,T195,Chesson Hadley,27,108,9.0
196,T195,T195,Jim Herman,29,108,97.0
197,T195,T195,Kevin Streelman,26,108,9.0
198,T195,T195,Vaughn Taylor,24,108,108.0
199,T195,T195,Lee Westwood,7,108,6.0
200,201,201,Justin Hicks,15,107,14.0
201,T202,T202,Abraham Ancer,19,106,23.0
202,T202,T202,Rory McIlroy,18,106,65.0
203,204,204,Shane Bertsch,9,103,28.0
204,T205,T205,George McNeill,23,102,3.0
205,T205,T205,Adam Scott,20,102,29.0
206,T205,T205,Nick Taylor,26,102,2.0
207,T208,T208,Patrick Rodgers,28,101,11.0
208,T208,T208,Michael Thompson,23,101,1.0
209,T210,T210,Blake Adams,4,100,16.0
210,T210,T210,SSP Chawrasia,2,100,28.0
211,212,212,Sergio Garcia,15,99,19.0
212,T213,T213,Matt Dobyns,7,98,2.0
213,T213,T213,Marcus Fraser,5,98,98.0
214,T213,T213,Ben Martin,28,98,24.0
215,T213,T213,Jimmy Walker,25,98,26.0
216,T217,T217,Fred Funk,4,97,14.0
217,T217,T217,Michael Johnson,4,97,78.0
218,T219,T219,Miguel Angel Carballo,18,96,9.0
219,T219,T219,Sean O'Hair,27,96,57.0
220,T219,T219,Darron Stiles,17,96,4.0
221,T222,T222,J.B. Holmes,22,95,4.0
222,T222,T222,Pat Perez,11,95,21.0
223,T224,T224,Jim Furyk,14,94,20.0
224,T224,T224,Brice Garnett,15,94,19.0
225,T224,T224,Luke List,27,94,20.0
226,T224,T224,Billy Mayfair,7,94,12.0
227,T224,T224,Andy Sullivan,11,94,42.0
228,T224,T224,Camilo Villegas,27,94,13.0
229,T230,T230,Bryson DeChambeau,12,91,91.0
230,T230,T230,HaoTong Li,3,91,33.0
231,T230,T230,David Toms,19,91,9.0
232,T230,T230,D.J. Trahan,14,91,24.0
233,T234,T234,Jonathan Byrd,6,90,26.0
234,T234,T234,Derek Ernst,20,90,2.0
235,T236,T236,Austin Connelly,4,88,1.0
236,T236,T236,K.T. Kim,7,88,5.0
237,T236,T236,Charl Schwartzel,19,88,59.0
238,T236,T236,Webb Simpson,20,88,51.0
239,T236,T236,Bobby Wyatt,6,88,5.0
240,T241,T241,Scott Hend,5,87,8.0
241,T241,T241,Lee McCoy,7,87,2.0
242,T241,T241,Tim Petrovic,7,87,9.0
243,244,244,George Coetzee,7,86,35.0
244,T245,T245,Ken Duke,20,85,34.0
245,T245,T245,Steve Flesch,6,85,5.0
246,247,247,Kristoffer Broberg,3,84,84.0
247,T248,T248,Gonzalo Fernandez-Castaño,2,83,22.0
248,T248,T248,Billy Horschel,20,83,20.0
249,T248,T248,Jon Rahm,9,83,18.0
250,251,251,Ryan Ruffels,7,82,71.0
251,T252,T252,Jamie Donaldson,13,81,24.0
252,T252,T252,Rhein Gibson,20,81,8.0
253,T252,T252,Bo Van Pelt,5,81,11.0
254,255,255,Matt Bettencourt,5,80,14.0
255,T256,T256,Harold Varner III,28,79,1.0
256,T256,T256,Bernd Wiesberger,11,79,13.0
257,T258,T258,Thongchai Jaidee,8,78,35.0
258,T258,T258,John Rollins,9,78,4.0
259,T258,T258,Marc Turnesa,10,78,28.0
260,T261,T261,Tim Herron,14,77,58.0
261,T261,T261,Andrew Johnston,4,77,32.0
262,T263,T263,Shaun Micheel,3,76,76.0
263,T263,T263,James Morrison,3,76,23.0
264,265,265,Robby Shelton,4,75,1.0
265,266,266,Victor Dubuisson,5,74,5.0
266,267,267,Hideto Tanihara,4,73,73.0
267,T268,T268,Julien Brun,2,72,72.0
268,T268,T268,Yi Cao,1,72,72.0
269,T268,T268,Glen Day,3,72,72.0
270,T268,T268,James Driscoll,1,72,72.0
271,T268,T268,Prayad Marksaeng,1,72,72.0
272,T268,T268,Nick Mason,1,72,72.0
273,T268,T268,Michio Matsumura,1,72,72.0
274,T268,T268,Ollie Schniederjans,7,72,10.0
275,276,276,Nick Cullen,2,71,36.0
276,277,277,Trey Mullinax,2,70,60.0
277,278,278,Thomas Pieters,5,69,21.0
278,T279,T279,Ryo Ishikawa,6,68,3.0
279,T279,T279,Alex Prugh,13,68,14.0
280,T279,T279,Omar Uresti,4,68,1.0
281,T282,T282,Jarrod Lyle,10,67,2.0
282,T282,T282,Ted Purdy,9,67,40.0
283,T282,T282,Yosuke Tsukada,2,67,9.0
284,T282,T282,Greg Yates,1,67,67.0
285,T286,T286,Brian Davis,9,66,24.0
286,T286,T286,Michael Putnam,7,66,34.0
287,T288,T288,Chris DiMarco,2,65,
288,T288,T288,Martin Flores,2,65,29.0
289,290,290,Miguel Tabuena,2,64,2.0
290,T291,T291,Arjun Atwal,6,63,8.0
291,T291,T291,Josh Broadaway,2,63,9.0
292,T291,T291,Joey Garber,4,63,16.0
293,T291,T291,Bernhard Langer,2,63,63.0
294,T291,T291,Chase Parker,2,63,26.0
295,T296,T296,Adam Hart,2,62,17.0
296,T296,T296,Richard Lee,2,62,12.0
297,T296,T296,Xander Schauffele,2,62,2.0
298,T299,T299,Ryan Blaum,1,60,11.0
299,T299,T299,Rodolfo Cazaubón,3,60,27.0
300,T299,T299,Andrew Dodt,2,60,18.0
301,T299,T299,Yusaku Miyazato,4,60,14.0
302,T299,T299,Alex Noren,4,60,13.0
303,T304,T304,Jared du Toit,1,59,12.0
304,T304,T304,Brandon Hagy,2,59,17.0
305,T304,T304,Mark Hensby,5,59,8.0
306,T304,T304,Yuta Ikeda,3,59,29.0
307,T304,T304,Jordan Niebrugge,6,59,13.0
308,T309,T309,Matt Atkins,1,58,13.0
309,T309,T309,David Howell,2,58,7.0
310,T311,T311,Charlie Beljan,13,57,1.0
311,T311,T311,Grégory Bourdy,3,57,18.0
312,313,313,Kodai Ichihara,1,56,56.0
313,T314,T314,Ashun Wu,1,55,5.0
314,T314,T314,Robert Gamez,2,55,3.0
315,T316,T316,Ryan Armour,1,54,54.0
316,T316,T316,Tommy Gainey,4,54,8.0
317,T318,T318,Paul Dunne,4,52,1.0
318,T318,T318,Paul Peterson,1,52,8.0
319,T318,T318,Danie van Tonder,1,52,
320,T321,T321,David Duval,2,51,51.0
321,T321,T321,Arie Ahmad Irawan,1,51,
322,T321,T321,Rod Perry,2,51,51.0
323,T321,T321,Young-han Song,2,51,21.0
324,T321,T321,Jordan Zunic,1,51,20.0
325,T326,T326,Garrett Rank,1,50,
326,T326,T326,Soomin Lee,2,50,10.0
327,T326,T326,Marc Warren,2,50,2.0
328,329,329,Paul McConnell,2,49,1.0
329,330,330,Danny Chia,2,48,48.0
330,331,331,Lance Lopez,1,47,2.0
331,T332,T332,Trevor Fisher Jr,1,46,46.0
332,T332,T332,Ross Fisher,4,46,12.0
333,T332,T332,Wes Homan,3,46,23.0
334,T332,T332,Matt Marshall,1,46,13.0
335,T332,T332,Joel Stalter,1,46,7.0
336,T337,T337,Nathan Holman,4,45,6.0
337,T337,T337,Zander Lombard,1,45,4.0
338,T337,T337,Jeff Maggert,2,45,8.0
339,T337,T337,Heath Slocum,7,45,14.0
340,T337,T337,Charlie Wi,5,45,16.0
341,T342,T342,Nicolas Colsaerts,2,44,10.0
342,T342,T342,Parker McLachlin,3,44,20.0
343,T342,T342,Jin Park,1,44,3.0
344,T342,T342,Chris Smith,5,44,16.0
345,T342,T342,Ben Taylor,2,44,8.0
346,T342,T342,Ethan Tracy,4,44,23.0
347,T342,T342,Jeunghun Wang,2,44,13.0
348,T342,T342,Aaron Wise,2,44,13.0
349,T350,T350,Derek Bard,2,43,7.0
350,T350,T350,John Daly,3,43,
351,T350,T350,Charlie Danielson,4,43,
352,T350,T350,Kramer Hickok,2,43,27.0
353,T350,T350,WC Liang,1,43,43.0
354,T350,T350,Brian Smock,2,43,
355,T356,T356,Cameron Beckman,12,42,1.0
356,T356,T356,Maverick McNealy,1,42,29.0
357,T358,T358,Kelly Mitchum,2,40,40.0
358,T358,T358,Richard Sterne,2,40,32.0
359,T358,T358,Brandon Stone,2,40,16.0
360,T361,T361,Miguel Angel Jiménez,2,39,25.0
361,T361,T361,Kent Jones,1,39,12.0
362,T361,T361,Troy Matteson,3,39,39.0
363,T361,T361,"Ted Potter, Jr.",2,39,39.0
364,T365,T365,Joe Affrunti,4,38,34.0
365,T365,T365,Ryan Evans,1,38,33.0
366,T365,T365,Rikard Karlberg,2,38,38.0
367,T365,T365,Robert Karlsson,2,38,38.0
368,T365,T365,Nicholas Thompson,5,38,16.0
369,T370,T370,Craig Barlow,3,37,10.0
370,T370,T370,Corey Conners,1,37,21.0
371,T370,T370,Ben Leong,1,37,
372,T370,T370,Joost Luiten,2,37,37.0
373,T370,T370,Larry Mize,1,37,14.0
374,T370,T370,Colin Montgomerie,1,37,23.0
375,T370,T370,Chad Sorensen,1,37,1.0
376,T377,T377,Steven Alker,1,36,36.0
377,T377,T377,Philip Barbaree,1,36,36.0
378,T377,T377,"Rich Berberian, Jr.",1,36,36.0
379,T377,T377,Mark Calcavecchia,1,36,36.0
380,T377,T377,Frankie Capan,1,36,36.0
381,T377,T377,Adam Cornelson,1,36,36.0
382,T377,T377,Franklin Corpening,1,36,36.0
383,T377,T377,David Coupland,1,36,36.0
384,T377,T377,Fred Couples,1,36,36.0
385,T377,T377,Bob Estes,1,36,36.0
386,T377,T377,Domenico Geminiani,1,36,36.0
387,T377,T377,Ricardo Gouveia,1,36,36.0
388,T377,T377,Jerry Haas,1,36,36.0
389,T377,T377,Bo Hoag,1,36,36.0
390,T377,T377,Jesse Hutchins,1,36,36.0
391,T377,T377,Shugo Imahira,1,36,36.0
392,T377,T377,Vince India,1,36,36.0
393,T377,T377,Nick Killpack,1,36,36.0
394,T377,T377,Johan Kok,1,36,36.0
395,T377,T377,Dru Love,1,36,36.0
396,T377,T377,Shawn Lu,1,36,36.0
397,T377,T377,David Mathis,1,36,36.0
398,T377,T377,Len Mattiace,1,36,36.0
399,T377,T377,Toshinori Muto,1,36,36.0
400,T377,T377,Richie Ramsay,1,36,36.0
401,T377,T377,Kyle Robbins,1,36,36.0
402,T377,T377,Jack Senior,1,36,36.0
403,T377,T377,Tommy Sharp,1,36,36.0
404,T377,T377,Gary Stal,1,36,36.0
405,T377,T377,Curtis Thompson,1,36,36.0
406,T377,T377,Sebastián Vázquez,1,36,36.0
407,T377,T377,Anthony Wall,1,36,36.0
408,T377,T377,Y.E. Yang,1,36,36.0
409,T410,T410,David Bradshaw,1,35,
410,T410,T410,Matteo Manassero,2,35,2.0
411,T410,T410,Chris Riley,2,35,8.0
412,T413,T413,Sam Burns,1,34,1.0
413,T413,T413,Todd Hamilton,1,34,34.0
414,T413,T413,Daisuke Kataoka,1,34,34.0
415,T413,T413,John Peterson,3,34,4.0
416,T413,T413,Josh Speight,1,34,34.0
417,T413,T413,Miguel Suarez,1,34,34.0
418,T419,T419,Brad Dalke,1,33,2.0
419,T419,T419,Jorge Fernández-Valdés,1,33,33.0
420,T419,T419,John Hahn,1,33,2.0
421,T419,T419,Paul Howard,1,33,2.0
422,T419,T419,Sang-hee Lee,1,33,2.0
423,T419,T419,Hayden Springer,1,33,33.0
424,T425,T425,Gavin Coles,2,32,16.0
425,T425,T425,Paul Lawrie,1,32,32.0
426,T425,T425,Taylor Moore,1,32,3.0
427,T425,T425,Jason Schmuhl,1,32,1.0
428,T425,T425,Zach Wright,1,32,3.0
429,T430,T430,Darren Clarke,4,31,8.0
430,T430,T430,Case Cochran,1,31,
431,T430,T430,Kevin Foley,1,31,31.0
432,T430,T430,Ben Geyer,1,31,4.0
433,T430,T430,Steven Jeffress,1,31,14.0
434,T430,T430,Robby Ormand,1,31,4.0
435,T430,T430,Scottie Scheffler,1,31,4.0
436,T437,T437,Dave Levesque,1,30,30.0
437,T437,T437,Mitch Lowe,1,30,
438,T437,T437,Byron Meth,1,30,30.0
439,T437,T437,Corey Nagy,1,30,1.0
440,T437,T437,Jonathan Randolph,1,30,5.0
441,T437,T437,Curtis Reed,2,30,30.0
442,T443,T443,Scott Fernandez,1,29,29.0
443,T443,T443,Matt Gilchrest,1,29,29.0
444,T443,T443,Frederick Janneck,1,29,6.0
445,T443,T443,Billy Kennerly,1,29,1.0
446,T443,T443,Mardan Mamat,1,29,7.0
447,T443,T443,Alan Morin,2,29,27.0
448,T443,T443,Ben Polland,1,29,29.0
449,T443,T443,Brett Quigley,1,29,18.0
450,T443,T443,Clayton Rask,1,29,29.0
451,T443,T443,Matthew Southgate,1,29,29.0
452,T443,T443,Joseph Summerhays,1,29,29.0
453,T443,T443,Tom Watson,1,29,29.0
454,T443,T443,Casey Wittenberg,1,29,29.0
455,T456,T456,Hyung-Sung Kim,1,28,28.0
456,T456,T456,Neal Lancaster,1,28,6.0
457,T456,T456,Romain Langasque,1,28,28.0
458,T456,T456,Haydn Porteous,1,28,16.0
459,T456,T456,Cory Renfrew,1,28,6.0
460,T456,T456,Callum Shinkwin,1,28,28.0
461,T456,T456,Armando Villarreal,1,28,28.0
462,T463,T463,Connor Arendell,1,27,3.0
463,T463,T463,Marco Dawson,1,27,16.0
464,T463,T463,Jack Maguire,2,27,24.0
465,T463,T463,Robert Rock,1,27,8.0
466,T463,T463,J.J. Spaun,1,27,8.0
467,T463,T463,Adam Svensson,2,27,2.0
468,T469,T469,Mark Brooks,1,26,13.0
469,T469,T469,Jacob Eggers,1,26,7.0
470,T469,T469,Tommy Fleetwood,2,26,16.0
471,T469,T469,Oscar Fraustro,1,26,2.0
472,T469,T469,Ryan Helminen,1,26,26.0
473,T469,T469,Brad Lardon,1,26,26.0
474,T469,T469,Dan McCarthy,1,26,3.0
475,T469,T469,Brian Norman,1,26,9.0
476,T469,T469,Mark O'Meara,2,26,3.0
477,T469,T469,Jeev Milkha Singh,1,26,
478,T479,T479,Matt Mabrey,1,25,10.0
479,T479,T479,Alex Moon,1,25,25.0
480,T479,T479,David Muttitt,1,25,1.0
