,Consecutive_Birdies_Streak_RANK THIS WEEK,Consecutive_Birdies_Streak_RANK LAST WEEK,Consecutive_Birdies_Streak_PLAYER NAME,Consecutive_Birdies_Streak_EVENTS,Consecutive_Birdies_Streak_NUMBER OF HOLES
0,1,1,Daniel Berger,26,8
1,T2,T2,Jim Furyk,14,7
2,T2,T2,Fabián Gómez,26,7
3,T2,T2,Jim Herman,29,7
4,T5,T5,Jon Curran,30,6
5,T5,T5,Morgan Hoffmann,25,6
6,T5,T5,Billy Horschel,20,6
7,T5,T5,Matt Jones,27,6
8,T5,T5,Brooks Koepka,21,6
9,T5,T5,Matt Kuchar,26,6
10,T5,T5,David Lingmerth,24,6
11,T5,T5,William McGirt,28,6
12,T5,T5,Bryce Molder,26,6
13,T5,T5,Francesco Molinari,18,6
14,T5,T5,Ryan Moore,23,6
15,T5,T5,Jeff Overton,25,6
16,T5,T5,Patrick Reed,28,6
17,T5,T5,Cameron Smith,24,6
18,T5,T5,Jhonattan Vegas,27,6
19,T20,T20,Stuart Appleby,23,5
20,T20,T20,Blayne Barber,27,5
21,T20,T20,Ryan Blaum,1,5
22,T20,T20,Steven Bowditch,26,5
23,T20,T20,Bud Cauley,14,5
24,T20,T20,Ben Crane,27,5
25,T20,T20,Jason Dufner,28,5
26,T20,T20,Ken Duke,20,5
27,T20,T20,Harris English,27,5
28,T20,T20,Adam Hadwin,27,5
29,T20,T20,Brian Harman,31,5
30,T20,T20,Charley Hoffman,26,5
31,T20,T20,Tom Hoge,26,5
32,T20,T20,Mark Hubbard,30,5
33,T20,T20,Hiroshi Iwata,29,5
34,T20,T20,Smylie Kaufman,28,5
35,T20,T20,Whee Kim,27,5
36,T20,T20,D.H. Lee,22,5
37,T20,T20,Danny Lee,28,5
38,T20,T20,Marc Leishman,25,5
39,T20,T20,Spencer Levin,32,5
40,T20,T20,Andrew Loupe,27,5
41,T20,T20,Will MacKenzie,26,5
42,T20,T20,Peter Malnati,32,5
43,T20,T20,Ben Martin,28,5
44,T20,T20,Lee McCoy,7,5
45,T20,T20,Graeme McDowell,21,5
46,T20,T20,Troy Merritt,26,5
47,T20,T20,Kevin Na,26,5
48,T20,T20,Louis Oosthuizen,17,5
49,T20,T20,Scott Piercy,24,5
50,T20,T20,Scott Pinckney,29,5
51,T20,T20,John Senden,28,5
52,T20,T20,Brandt Snedeker,27,5
53,T20,T20,Brendan Steele,25,5
54,T20,T20,Chris Stroud,27,5
55,T20,T20,Vaughn Taylor,24,5
56,T20,T20,Justin Thomas,28,5
57,T20,T20,Brendon Todd,29,5
58,T20,T20,D.J. Trahan,14,5
59,T20,T20,Tyrone Van Aswegen,31,5
60,T20,T20,Harold Varner III,28,5
61,T20,T20,Danny Willett,9,5
62,T63,T63,Joe Affrunti,4,4
63,T63,T63,Tyler Aldridge,28,4
64,T63,T63,Byeong Hun An,14,4
65,T63,T63,Matt Atkins,1,4
66,T63,T63,Ricky Barnes,29,4
67,T63,T63,Shane Bertsch,9,4
68,T63,T63,Zac Blair,31,4
69,T63,T63,Jonas Blixt,26,4
70,T63,T63,Jason Bohn,21,4
71,T63,T63,Keegan Bradley,26,4
72,T63,T63,Bronson Burgoon,27,4
73,T63,T63,Ángel Cabrera,22,4
74,T63,T63,Rafa Cabrera Bello,10,4
75,T63,T63,Chad Campbell,28,4
76,T63,T63,Rafael Campos,2,4
77,T63,T63,Roberto Castro,27,4
78,T63,T63,Alex Cejka,22,4
79,T63,T63,Kevin Chappell,27,4
80,T63,T63,Stewart Cink,19,4
81,T63,T63,Tim Clark,7,4
82,T63,T63,Erik Compton,24,4
83,T63,T63,Charlie Danielson,4,4
84,T63,T63,Jason Day,20,4
85,T63,T63,Brendon de Jonge,30,4
86,T63,T63,Graham DeLaet,21,4
87,T63,T63,Andrew Dodt,2,4
88,T63,T63,Luke Donald,23,4
89,T63,T63,Derek Ernst,20,4
90,T63,T63,Derek Fathauer,30,4
91,T63,T63,Steve Flesch,6,4
92,T63,T63,Rickie Fowler,23,4
93,T63,T63,Sergio Garcia,15,4
94,T63,T63,Brice Garnett,15,4
