,1-Putts_per_Round_RANK THIS WEEK,1-Putts_per_Round_RANK LAST WEEK,1-Putts_per_Round_PLAYER NAME,1-Putts_per_Round_ROUNDS,1-Putts_per_Round_AVG,1-Putts_per_Round_TOTAL 1 PUTTS,1-Putts_per_Round_TOTAL ROUNDS
0,1,1,Padraig Harrington,52,7.84,392,50
1,2,2,Nathan Green,95,7.8,741,95
2,3,3,Daniel Chopra,84,7.77,645,83
3,4,4,Jeff Quinney,87,7.59,660,87
4,5,5,John Mallinger,95,7.58,720,95
5,6,6,Corey Pavin,69,7.57,522,69
6,7,7,Aaron Baddeley,76,7.55,551,73
7,8,8,Stuart Appleby,87,7.52,632,84
8,9,9,Kevin Na,97,7.51,728,97
9,T10,T10,Ryuji Imada,80,7.44,595,80
10,T10,T10,Richard Johnson,77,7.44,573,77
11,12,12,Andres Romero,69,7.42,497,67
12,13,13,Tom Pernice Jr.,104,7.36,765,104
13,14,14,Ryan Moore,72,7.33,528,72
14,T15,T15,Steve Lowery,74,7.31,541,74
15,T15,T15,Phil Mickelson,80,7.31,570,78
16,T15,T15,Mike Weir,88,7.31,636,87
17,18,18,Tim Clark,90,7.29,649,89
18,T19,T19,Eric Axley,113,7.26,820,113
19,T19,T19,Ben Crane,86,7.26,624,86
20,T19,T19,Freddie Jacobson,78,7.26,566,78
21,T19,T19,Jesper Parnevik,88,7.26,639,88
22,23,23,Carl Pettersson,110,7.25,797,110
23,T24,T24,Ian Poulter,51,7.24,355,49
24,T24,T24,Vaughn Taylor,103,7.24,746,103
25,T26,T26,Brian Davis,108,7.23,781,108
26,T26,T26,Nick O'Hern,82,7.23,578,80
27,28,28,Shane Bertsch,96,7.22,693,96
28,T29,T29,Anthony Kim,81,7.21,584,81
29,T29,T29,Steve Stricker,75,7.21,519,72
30,31,31,Ken Duke,116,7.2,835,116
31,32,32,Brian Gay,102,7.16,730,102
32,33,33,Jonathan Byrd,88,7.15,608,85
33,34,34,Camilo Villegas,79,7.14,557,78
34,T35,T35,Justin Leonard,101,7.13,677,95
35,T35,T35,Geoff Ogilvy,65,7.13,456,64
36,T35,T35,Bob Tway,70,7.13,499,70
37,T38,T38,Steve Flesch,95,7.12,676,95
38,T38,T38,J.B. Holmes,86,7.12,605,85
39,T38,T38,Frank Lickliter II,107,7.12,762,107
40,T41,T41,Retief Goosen,59,7.09,411,58
41,T41,T41,Joe Ogilvie,100,7.09,709,100
