,3-Putt_Avoidance_-_Round_4_RANK THIS WEEK,3-Putt_Avoidance_-_Round_4_RANK LAST WEEK,3-Putt_Avoidance_-_Round_4_PLAYER NAME,3-Putt_Avoidance_-_Round_4_%,3-Putt_Avoidance_-_Round_4_TOTAL 3 PUTTS,3-Putt_Avoidance_-_Round_4_TOTAL HOLES
0,1,1,Jerry Kelly,0.4,1,252
1,2,2,Aaron Baddeley,0.74,2,270
2,T3,T3,Chad Collins,1.01,2,198
3,T3,T3,Padraig Harrington,1.01,2,198
4,T5,T5,Steve Stricker,1.11,3,270
5,T5,T5,Ron Whittaker,1.11,1,90
6,7,7,Richard Johnson,1.39,2,144
7,T8,T8,Gavin Coles,1.52,3,198
8,T8,T8,Ryan Moore,1.52,3,198
9,T8,T8,Jimmy Walker,1.52,3,198
10,11,11,Stephen Ames,1.54,5,324
11,T12,T12,Paul Claxton,1.59,2,126
12,T12,T12,Tom Scherrer,1.59,2,126
13,14,14,John Mallinger,1.67,6,360
14,15,15,Mike Weir,1.75,6,342
15,T16,T16,Daniel Chopra,1.85,5,270
16,T16,T16,Marco Dawson,1.85,4,216
17,T16,T16,Glen Day,1.85,4,216
18,T16,T16,Ryuji Imada,1.85,5,270
19,T16,T16,Phil Mickelson,1.85,6,324
20,T16,T16,Ryan Palmer,1.85,4,216
21,22,22,Steve Elkington,1.96,6,306
22,T23,T23,Billy Andrade,2.02,4,198
23,T23,T23,Heath Slocum,2.02,8,396
24,25,25,Joe Ogilvie,2.05,7,342
25,T26,T26,Rich Beem,2.08,6,288
26,T26,T26,Dustin Johnson,2.08,6,288
27,T26,T26,Nick O'Hern,2.08,6,288
28,29,29,Todd Hamilton,2.16,7,324
29,T30,T30,Alejandro Cañizares,2.22,4,180
30,T30,T30,Greg Kraft,2.22,4,180
31,32,32,Tom Pernice Jr.,2.27,9,396
32,T33,T33,Bob Estes,2.29,7,306
33,T33,T33,Hunter Mahan,2.29,7,306
34,35,35,Jim McGovern,2.31,5,216
35,T36,T36,Chris DiMarco,2.38,6,252
36,T36,T36,James Driscoll,2.38,6,252
37,T36,T36,Brandt Jobe,2.38,3,126
38,T36,T36,Johnson Wagner,2.38,6,252
39,40,40,Justin Leonard,2.42,10,414
40,T41,T41,Stuart Appleby,2.5,9,360
41,T41,T41,Eric Axley,2.5,9,360
42,T41,T41,Brian Gay,2.5,9,360
43,44,44,Geoff Ogilvy,2.56,6,234
44,T45,T45,K.J. Choi,2.59,7,270
45,T45,T45,Freddie Jacobson,2.59,7,270
46,T45,T45,Bob Tway,2.59,7,270
47,T48,T48,John Merrick,2.63,9,342
48,T48,T48,Jeff Overton,2.63,9,342
49,T50,T50,Brad Adamonis,2.78,7,252
50,T50,T50,Michael Allen,2.78,9,324
51,T50,T50,Ryan Armour,2.78,6,216
52,T50,T50,Fred Couples,2.78,6,216
53,T50,T50,Jason Day,2.78,6,216
54,T50,T50,Brad Elder,2.78,5,180
55,T50,T50,Jim Furyk,2.78,11,396
56,T50,T50,Retief Goosen,2.78,6,216
57,T50,T50,John Huston,2.78,5,180
58,T50,T50,Zach Johnson,2.78,9,324
59,T50,T50,Cliff Kresge,2.78,7,252
60,T50,T50,Michael Letzig,2.78,7,252
61,T50,T50,Shigeki Maruyama,2.78,4,144
62,T50,T50,Scott McCarron,2.78,4,144
63,T50,T50,Brenden Pappas,2.78,4,144
64,T50,T50,Jin Park,2.78,6,216
65,T50,T50,Corey Pavin,2.78,7,252
66,T50,T50,Tim Petrovic,2.78,8,288
67,T50,T50,Carl Pettersson,2.78,13,468
68,T50,T50,Chez Reavie,2.78,10,360
69,T50,T50,Adam Scott,2.78,5,180
70,T50,T50,Bob Sowards,2.78,4,144
71,T50,T50,Kevin Streelman,2.78,12,432
72,T50,T50,Kevin Sutherland,2.78,11,396
73,T74,T74,Shane Bertsch,2.92,10,342
74,T74,T74,J.J. Henry,2.92,10,342
75,T74,T74,Kevin Na,2.92,10,342
76,T77,T77,Steve Flesch,2.94,9,306
77,T77,T77,J.B. Holmes,2.94,9,306
78,T77,T77,Vijay Singh,2.94,9,306
79,T77,T77,Scott Verplank,2.94,9,306
80,T81,T81,Jason Gore,2.96,8,270
81,T81,T81,Brett Quigley,2.96,8,270
82,T81,T81,David Toms,2.96,8,270
83,84,84,Ken Duke,3.01,13,432
84,T85,T85,Tim Clark,3.09,10,324
85,T85,T85,Ben Crane,3.09,10,324
86,T85,T85,Mathew Goggin,3.09,10,324
87,T85,T85,Bill Haas,3.09,10,324
88,T85,T85,Ted Purdy,3.09,5,162
