,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
0,1,1,Ben Crane,86,"82' 6""",74276,75,"4' 8""","173' 3"""
1,2,2,Corey Pavin,69,"81' 11""",55038,56,"4' 7""","140' 1"""
2,3,3,Jeff Quinney,87,"81' 8""",71520,73,"4' 7""","154' 3"""
3,4,4,Ryan Palmer,69,"80' 8""",58051,60,"4' 6""","141' 11"""
4,5,5,Rory Sabbatini,77,"80' 0""",60493,63,"4' 6""","180' 0"""
5,6,6,Marc Turnesa,87,"79' 10""",72772,76,"4' 6""","153' 10"""
6,7,7,Woody Austin,109,"79' 6""",83960,88,"4' 5""","129' 5"""
7,T8,T8,Richard Johnson,77,"79' 5""",64835,68,"4' 6""","140' 6"""
8,T8,T8,Bob Tway,70,"79' 5""",54334,57,"4' 5""","134' 10"""
9,10,10,Craig Kanada,65,"79' 4""",52349,55,"4' 5""","128' 3"""
10,11,11,Jesper Parnevik,88,"79' 3""",71347,75,"4' 6""","175' 1"""
11,12,12,Pat Perez,93,"79' 1""",74994,79,"4' 6""","193' 3"""
12,13,13,Scott McCarron,63,"79' 0""",51166,54,"4' 5""","146' 11"""
13,14,14,K.J. Choi,74,"78' 11""",53987,57,"4' 5""","161' 6"""
14,T15,T15,Mathias Grönberg,87,"78' 10""",74756,79,"4' 5""","136' 0"""
15,T15,T15,Mark Hensby,71,"78' 10""",60572,64,"4' 5""","159' 4"""
16,17,17,Chad Campbell,94,"78' 6""",80109,85,"4' 5""","174' 7"""
17,T18,T18,Nathan Green,95,"78' 5""",85609,91,"4' 5""","135' 11"""
18,T18,T18,Hunter Mahan,87,"78' 5""",67729,72,"4' 5""","156' 2"""
19,T18,T18,Mark Wilson,107,"78' 5""",97870,104,"4' 5""","171' 11"""
20,T21,T21,Dudley Hart,74,"78' 4""",62998,67,"4' 5""","169' 6"""
21,T21,T21,Richard Johnson,60,"78' 4""",46073,49,"4' 5""","140' 10"""
22,T21,T21,Tim Petrovic,97,"78' 4""",76153,81,"4' 5""","159' 2"""
23,24,24,Daniel Chopra,84,"78' 3""",64811,69,"4' 5""","139' 11"""
24,25,25,Stewart Cink,87,"78' 2""",60044,64,"4' 5""","161' 6"""
25,T26,T26,Steve Lowery,74,"77' 10""",62599,67,"4' 5""","168' 11"""
26,T26,T26,Steve Marino,119,"77' 10""",97186,104,"4' 5""","145' 6"""
27,T28,T28,Steve Elkington,84,"77' 7""",67993,73,"4' 4""","155' 3"""
28,T28,T28,Andres Romero,69,"77' 7""",45603,49,"4' 5""","137' 4"""
29,30,30,Kenneth Ferrie,72,"77' 6""",55806,60,"4' 4""","164' 0"""
30,31,31,Justin Leonard,101,"77' 5""",67833,73,"4' 4""","154' 9"""
31,32,32,Camilo Villegas,79,"77' 4""",58457,63,"4' 4""","148' 2"""
32,33,33,Chad Collins,72,"77' 0""",58234,63,"4' 4""","153' 5"""
33,T34,T34,Eric Axley,113,"76' 11""",90474,98,"4' 4""","134' 4"""
34,T34,T34,Nick Flanagan,89,"76' 11""",73806,80,"4' 4""","145' 3"""
35,T36,T36,Ryuji Imada,80,"76' 8""",62589,68,"4' 4""","151' 7"""
36,T36,T36,Brenden Pappas,66,"76' 8""",51541,56,"4' 4""","128' 0"""
37,T36,T36,Dean Wilson,109,"76' 8""",85525,93,"4' 4""","142' 8"""
38,T39,T39,J.P. Hayes,67,"76' 7""",57866,63,"4' 3""","126' 2"""
39,T39,T39,Greg Kraft,63,"76' 7""",45944,50,"4' 4""","126' 3"""
40,T39,T39,Jeff Overton,103,"76' 7""",83623,91,"4' 4""","154' 5"""
41,42,42,Doug LaBelle II,65,"76' 6""",46834,51,"4' 3""","155' 5"""
42,T43,T43,Steve Allan,58,"76' 5""",44000,48,"4' 3""","144' 1"""
43,T43,T43,James Driscoll,85,"76' 5""",69718,76,"4' 3""","176' 0"""
44,T43,T43,Johnson Wagner,83,"76' 5""",62376,68,"4' 4""","133' 0"""
45,T46,T46,Aaron Baddeley,76,"76' 1""",54756,60,"4' 3""","130' 1"""
46,T46,T46,Parker McLachlin,88,"76' 1""",72157,79,"4' 3""","143' 7"""
47,T46,T46,Carl Pettersson,110,"76' 1""",88586,97,"4' 3""","164' 4"""
48,49,49,Joe Ogilvie,100,"76' 0""",79359,87,"4' 3""","117' 3"""
49,T50,T50,Freddie Jacobson,78,"75' 11""",58326,64,"4' 3""","132' 4"""
50,T50,T50,Steve Stricker,75,"75' 11""",52833,58,"4' 3""","165' 9"""
51,T52,T52,Jonathan Byrd,88,"75' 10""",70083,77,"4' 3""","185' 0"""
52,T52,T52,Tommy Gainey,60,"75' 10""",41850,46,"4' 3""","126' 6"""
53,T52,T52,Jason Gore,94,"75' 10""",77338,85,"4' 3""","128' 9"""
54,55,55,John Mallinger,95,"75' 8""",76286,84,"4' 3""","140' 3"""
55,T56,T56,Ken Duke,116,"75' 7""",95202,105,"4' 3""","146' 5"""
56,T56,T56,Tim Herron,97,"75' 7""",78869,87,"4' 3""","156' 10"""
57,T56,T56,Anthony Kim,81,"75' 7""",58928,65,"4' 3""","135' 6"""
58,T56,T56,Patrick Sheehan,124,"75' 7""",95183,105,"4' 3""","158' 4"""
59,60,60,Ryan Armour,87,"75' 5""",68747,76,"4' 3""","122' 1"""
60,T61,T61,Tim Clark,90,"75' 2""",65862,73,"4' 3""","123' 0"""
61,T61,T61,Steve Flesch,95,"75' 2""",73060,81,"4' 3""","150' 2"""
62,63,63,Matt Kuchar,88,"75' 1""",63085,70,"4' 3""","158' 4"""
63,T64,T64,Todd Hamilton,92,"75' 0""",66606,74,"4' 3""","123' 8"""
64,T64,T64,Ryan Moore,72,"75' 0""",56676,63,"4' 3""","128' 0"""
65,T64,T64,Kevin Na,97,"75' 0""",81933,91,"4' 3""","143' 8"""
66,T67,T67,Martin Laird,98,"74' 11""",76406,85,"4' 2""","173' 6"""
67,T67,T67,Stephen Leaney,53,"74' 11""",40472,45,"4' 3""","131' 11"""
68,T67,T67,Kevin Sutherland,98,"74' 11""",79117,88,"4' 3""","167' 0"""
69,70,70,Phil Mickelson,80,"74' 10""",53002,59,"4' 3""","134' 1"""
70,T71,T71,Brian Gay,102,"74' 9""",77169,86,"4' 2""","139' 5"""
71,T71,T71,Bo Van Pelt,101,"74' 9""",83385,93,"4' 2""","148' 7"""
72,73,73,Matt Jones,95,"74' 8""",75222,84,"4' 2""","154' 2"""
73,T74,T74,Robert Garrigus,90,"74' 6""",76871,86,"4' 2""","158' 4"""
74,T74,T74,Paul Goydos,78,"74' 6""",59901,67,"4' 2""","148' 1"""
75,T74,T74,Charlie Wi,97,"74' 6""",78682,88,"4' 2""","147' 9"""
76,T77,T77,Stuart Appleby,87,"74' 5""",59839,67,"4' 2""","128' 8"""
77,T77,T77,John Huston,56,"74' 5""",43743,49,"4' 2""","139' 4"""
78,79,79,Jimmy Walker,73,"74' 4""",55300,62,"4' 2""","151' 3"""
79,T80,T80,Stephen Ames,83,"74' 2""",58752,66,"4' 3""","119' 6"""
80,T80,T80,Brad Elder,67,"74' 2""",48079,54,"4' 2""","139' 11"""
81,T80,T80,Jeff Maggert,86,"74' 2""",70303,79,"4' 2""","170' 2"""
82,83,83,Kent Jones,68,"74' 1""",48909,55,"4' 2""","128' 10"""
83,T84,T84,Mark Calcavecchia,67,"74' 0""",47972,54,"4' 2""","144' 6"""
84,T84,T84,Cody Freeman,66,"74' 0""",48866,55,"4' 2""","113' 0"""
85,T84,T84,J.B. Holmes,86,"74' 0""",61303,69,"4' 2""","115' 0"""
86,T84,T84,Kenny Perry,97,"74' 0""",81669,92,"4' 2""","162' 7"""
87,T88,T88,Geoff Ogilvy,65,"73' 11""",43466,49,"4' 2""","132' 2"""
88,T88,T88,Tom Pernice Jr.,104,"73' 11""",86911,98,"4' 2""","136' 8"""
89,T88,T88,Ron Whittaker,54,"73' 11""",36348,41,"4' 2""","152' 9"""
90,91,91,Peter Lonard,92,"73' 8""",70693,80,"4' 2""","178' 8"""
91,T92,T92,Cliff Kresge,84,"73' 7""",64490,73,"4' 2""","144' 0"""
92,T92,T92,Nick O'Hern,82,"73' 7""",62660,71,"4' 1""","127' 0"""
93,T92,T92,Nick Watney,96,"73' 7""",74203,84,"4' 2""","141' 9"""
94,T95,T95,Shane Bertsch,96,"73' 6""",79377,90,"4' 2""","141' 11"""
95,T95,T95,Jerry Kelly,89,"73' 6""",65248,74,"4' 2""","166' 9"""
96,T97,T97,Paul Casey,55,"73' 5""",31733,36,"4' 2""","124' 8"""
97,T97,T97,Brian Davis,108,"73' 5""",89878,102,"4' 2""","139' 10"""
98,T97,T97,Bob Sowards,61,"73' 5""",45810,52,"4' 2""","128' 4"""
99,T100,T100,George McNeill,97,"73' 4""",79169,90,"4' 1""","140' 2"""
100,T100,T100,Adam Scott,51,"73' 4""",30785,35,"4' 1""","148' 2"""
101,T102,T102,Chris DiMarco,87,"73' 3""",66786,76,"4' 1""","138' 3"""
102,T102,T102,Carlos Franco,73,"73' 3""",55398,63,"4' 2""","152' 1"""
103,T104,T104,Tommy Armour III,77,"73' 1""",57892,66,"4' 1""","149' 5"""
104,T104,T104,Nicholas Thompson,113,"73' 1""",84178,96,"4' 1""","161' 9"""
105,106,106,Cameron Beckman,87,"73' 0""",64791,74,"4' 1""","143' 8"""
106,107,107,Chez Reavie,102,"72' 11""",78781,90,"4' 1""","131' 7"""
107,108,108,Brandt Snedeker,85,"72' 10""",58548,67,"4' 1""","114' 8"""
108,T109,T109,Billy Andrade,71,"72' 9""",54142,62,"4' 1""","143' 0"""
109,T109,T109,Tim Wilkinson,95,"72' 9""",69815,80,"4' 1""","140' 3"""
110,T111,T111,Jason Day,81,"72' 8""",67149,77,"4' 1""","116' 11"""
111,T111,T111,Ian Poulter,51,"72' 8""",31374,36,"4' 1""","117' 7"""
112,T111,T111,David Toms,70,"72' 8""",48811,56,"4' 1""","136' 10"""
113,T114,T114,Kevin Streelman,114,"72' 6""",84357,97,"4' 1""","152' 6"""
114,T114,T114,Vaughn Taylor,103,"72' 6""",81765,94,"4' 1""","127' 4"""
115,116,116,Bill Haas,99,"72' 5""",78214,90,"4' 1""","142' 10"""
116,T117,T117,Alejandro Cañizares,52,"72' 4""",35582,41,"4' 1""","118' 11"""
117,T117,T117,Kyle Thompson,70,"72' 4""",49491,57,"4' 1""","175' 11"""
118,T117,T117,Boo Weekley,86,"72' 4""",55523,64,"4' 1""","145' 10"""
119,T120,T120,Frank Lickliter II,107,"72' 3""",86698,100,"4' 1""","131' 1"""
120,T120,T120,Sean O'Hair,81,"72' 3""",58936,68,"4' 1""","130' 8"""
