,Overall_Putting_Average_RANK THIS WEEK,Overall_Putting_Average_RANK LAST WEEK,Overall_Putting_Average_PLAYER NAME,Overall_Putting_Average_ROUNDS,Overall_Putting_Average_AVG,Overall_Putting_Average_# OF PUTTS,Overall_Putting_Average_# OF HOLES
0,1,1,Chris Riley,51,1.3330000000000002,1224,918
1,2,2,Alejandro Cañizares,52,1.3530000000000002,1266,936
2,3,3,Gavin Coles,54,1.371,1333,972
3,4,4,Greg Kraft,63,1.389,1575,1134
4,5,5,Marco Dawson,64,1.395,1607,1152
5,6,6,Steve Allan,58,1.4280000000000002,1491,1044
6,7,7,Bob Tway,70,1.4340000000000002,1807,1260
7,8,8,Shigeki Maruyama,50,1.4409999999999998,1297,900
8,9,9,Jimmy Walker,73,1.446,1900,1314
9,10,10,Chad Collins,72,1.4480000000000002,1877,1296
10,11,11,Craig Kanada,65,1.45,1696,1170
11,12,12,Brian Gay,102,1.4509999999999998,2664,1836
12,13,13,Glen Day,64,1.454,1675,1152
13,14,14,Doug LaBelle II,65,1.4580000000000002,1706,1170
14,15,15,Tommy Gainey,60,1.46,1577,1080
15,T16,T16,Corey Pavin,69,1.4609999999999999,1815,1242
16,T16,T16,Tom Scherrer,56,1.4609999999999999,1473,1008
17,18,18,Brenden Pappas,66,1.465,1741,1188
18,19,19,Ryan Palmer,69,1.4669999999999999,1822,1242
19,20,20,Bob Sowards,61,1.469,1613,1098
20,21,21,Tim Petrovic,97,1.47,2567,1746
21,22,22,Kenneth Ferrie,72,1.476,1913,1296
22,T23,T23,Brad Elder,67,1.4780000000000002,1782,1206
23,T23,T23,Jin Park,85,1.4780000000000002,2262,1530
24,T23,T23,Travis Perkins,53,1.4780000000000002,1410,954
25,26,26,Tim Wilkinson,95,1.482,2535,1710
26,27,27,Ron Whittaker,54,1.483,1441,972
27,28,28,Cameron Beckman,87,1.485,2325,1566
28,29,29,Richard Johnson,60,1.4880000000000002,1607,1080
29,30,30,Jason Allred,63,1.493,1693,1134
30,31,31,Paul Claxton,63,1.496,1697,1134
31,T32,T32,David Lutterus,59,1.4969999999999999,1590,1062
32,T32,T32,Patrick Sheehan,124,1.4969999999999999,3341,2232
33,T32,T32,Kevin Stadler,90,1.4969999999999999,2425,1620
34,35,35,Matt Kuchar,88,1.499,2375,1584
35,36,36,Carlos Franco,73,1.501,1972,1314
36,37,37,Harrison Frazar,73,1.5019999999999998,1973,1314
37,38,38,Stephen Leaney,53,1.505,1436,954
38,T39,T39,Alex Cejka,75,1.507,2035,1350
39,T39,T39,Kent Jones,68,1.507,1845,1224
40,41,41,Jesper Parnevik,88,1.5090000000000001,2390,1584
41,42,42,Lee Janzen,89,1.51,2419,1602
42,43,43,Kyle Thompson,70,1.511,1904,1260
43,T44,T44,James Driscoll,85,1.515,2318,1530
44,T44,T44,Dudley Hart,74,1.515,2018,1332
45,46,46,Brett Rumford,72,1.517,1966,1296
46,47,47,Marc Turnesa,87,1.5190000000000001,2379,1566
47,48,48,Jim McGovern,75,1.521,2054,1350
48,T49,T49,John Huston,56,1.5230000000000001,1535,1008
49,T49,T49,Jon Mills,95,1.5230000000000001,2605,1710
50,T49,T49,John Riegger,73,1.5230000000000001,2001,1314
51,52,52,Ben Curtis,80,1.526,2198,1440
52,T53,T53,Eric Axley,113,1.527,3105,2034
53,T53,T53,Parker McLachlin,88,1.527,2419,1584
54,T53,T53,Jay Williamson,96,1.527,2639,1728
55,56,56,John Merrick,98,1.528,2696,1764
56,57,57,Tim Herron,97,1.5290000000000001,2669,1746
57,58,58,Ted Purdy,68,1.53,1873,1224
58,59,59,Joe Ogilvie,100,1.5319999999999998,2758,1800
59,T60,T60,Cody Freeman,66,1.537,1826,1188
60,T60,T60,Martin Laird,98,1.537,2712,1764
61,T62,T62,Justin Bolli,87,1.538,2409,1566
62,T62,T62,Omar Uresti,74,1.538,2049,1332
63,64,64,Kevin Streelman,114,1.5390000000000001,3158,2052
64,T65,T65,Richard Johnson,77,1.54,2135,1386
65,T65,T65,Scott Sterling,89,1.54,2467,1602
66,T67,T67,Briny Baird,113,1.5419999999999998,3137,2034
67,T67,T67,Nicholas Thompson,113,1.5419999999999998,3137,2034
68,69,69,Jeff Gove,50,1.544,1390,900
69,70,70,Matt Jones,95,1.546,2643,1710
70,71,71,Michael Letzig,88,1.547,2450,1584
71,72,72,Chris Stroud,81,1.551,2262,1458
72,73,73,Tommy Armour III,77,1.5530000000000002,2153,1386
73,74,74,Johnson Wagner,83,1.556,2325,1494
74,75,75,Padraig Harrington,52,1.558,1402,900
75,T76,T76,Daniel Chopra,84,1.5590000000000002,2329,1494
76,T76,T76,Jerry Kelly,89,1.5590000000000002,2469,1584
77,T78,T78,Jeff Overton,103,1.561,2895,1854
78,T78,T78,Dean Wilson,109,1.561,3062,1962
79,80,80,Mathias Grönberg,87,1.5619999999999998,2446,1566
80,81,81,John Mallinger,95,1.5630000000000002,2673,1710
81,T82,T82,Joe Durant,92,1.565,2592,1656
82,T82,T82,Cliff Kresge,84,1.565,2367,1512
83,T84,T84,Ryan Armour,87,1.5659999999999998,2452,1566
84,T84,T84,Bill Haas,99,1.5659999999999998,2790,1782
85,86,86,Brad Adamonis,87,1.568,2456,1566
86,T87,T87,Billy Andrade,71,1.569,2005,1278
87,T87,T87,Nathan Green,95,1.569,2683,1710
88,89,89,Peter Lonard,92,1.5719999999999998,2603,1656
89,90,90,Nick Flanagan,89,1.575,2523,1602
90,91,91,Chez Reavie,102,1.5759999999999998,2894,1836
91,T92,T92,Aaron Baddeley,76,1.577,2072,1314
92,T92,T92,Jeff Quinney,87,1.577,2470,1566
93,94,94,Ryuji Imada,80,1.579,2274,1440
94,95,95,Andres Romero,69,1.5830000000000002,1909,1206
