,Birdie_or_Better_Conversion_Percentage_RANK THIS WEEK,Birdie_or_Better_Conversion_Percentage_RANK LAST WEEK,Birdie_or_Better_Conversion_Percentage_PLAYER NAME,Birdie_or_Better_Conversion_Percentage_ROUNDS,Birdie_or_Better_Conversion_Percentage_%,Birdie_or_Better_Conversion_Percentage_# BIRDIES,Birdie_or_Better_Conversion_Percentage_GREENS HIT
0,1,1,Ryan Palmer,69,34.39,260,756
1,2,2,Bob Tway,70,32.56,252,774
2,3,3,Padraig Harrington,52,32.48,177,545
3,4,4,Nathan Green,95,32.13,328,1021
4,5,5,Camilo Villegas,79,31.86,289,907
5,6,6,J.B. Holmes,86,31.57,304,963
6,7,7,Phil Mickelson,80,31.42,290,923
7,8,8,Michael Letzig,88,31.34,299,954
8,9,9,Martin Laird,98,31.26,346,1107
9,10,10,Jesper Parnevik,88,31.2,287,920
10,11,11,Daniel Chopra,84,31.19,277,888
11,12,12,Robert Garrigus,90,30.82,339,1100
12,13,13,Aaron Baddeley,76,30.59,249,814
13,14,14,Tag Ridings,88,30.5,308,1010
14,15,15,Ken Duke,116,30.47,412,1352
15,16,16,Tommy Gainey,60,30.46,191,627
16,17,17,Joe Ogilvie,100,30.38,336,1106
17,18,18,Adam Scott,51,30.3,170,561
18,19,19,Stewart Cink,87,30.15,294,975
19,20,20,Jason Gore,94,30.14,340,1128
20,21,21,Anthony Kim,81,30.09,288,957
21,22,22,Mark Hensby,71,30.07,246,818
22,T23,T23,Ryan Moore,72,30.04,240,799
23,T23,T23,Rory Sabbatini,77,30.04,271,902
24,25,25,John Huston,56,29.98,197,657
25,T26,T26,Ben Crane,86,29.92,304,1016
26,T26,T26,Marc Turnesa,87,29.92,283,946
27,28,28,Pat Perez,93,29.83,329,1103
28,29,29,Kenny Perry,97,29.81,350,1174
29,30,30,Kevin Na,97,29.8,329,1104
30,31,31,Tim Clark,90,29.79,303,1017
31,32,32,Brian Gay,102,29.71,320,1077
32,33,33,Jason Allred,63,29.64,190,641
33,34,34,Eric Axley,113,29.63,355,1198
34,35,35,Dustin Johnson,92,29.59,311,1051
35,36,36,Chad Campbell,94,29.58,341,1153
36,37,37,Jeff Overton,103,29.56,337,1140
37,38,38,Stuart Appleby,87,29.55,276,934
38,39,39,Vaughn Taylor,103,29.54,358,1212
39,40,40,Nicholas Thompson,113,29.46,357,1212
40,41,41,Frank Lickliter II,107,29.43,362,1230
41,42,42,Kevin Stadler,90,29.42,281,955
42,43,43,Jeff Quinney,87,29.4,284,966
43,44,44,Ryuji Imada,80,29.37,259,882
44,45,45,Andres Romero,69,29.36,207,705
45,46,46,Brenden Pappas,66,29.34,206,702
46,47,47,Jonathan Byrd,88,29.31,282,962
47,T48,T48,Fred Couples,60,29.26,206,704
48,T48,T48,Mathias Grönberg,87,29.26,273,933
49,T48,T48,John Mallinger,95,29.26,304,1039
50,51,51,Corey Pavin,69,29.25,198,677
51,52,52,Johnson Wagner,83,29.2,259,887
52,53,53,Tim Petrovic,97,29.18,295,1011
53,T54,T54,Brian Davis,108,29.17,369,1265
54,T54,T54,Justin Leonard,101,29.17,332,1138
55,56,56,Parker McLachlin,88,29.15,274,940
56,T57,T57,Shane Bertsch,96,29.11,322,1106
57,T57,T57,Bill Haas,99,29.11,338,1161
58,T59,T59,Chad Collins,72,29.09,210,722
59,T59,T59,Steve Marino,119,29.09,411,1413
60,T59,T59,Mark Wilson,107,29.09,375,1289
61,62,62,Cameron Beckman,87,29.01,271,934
62,63,63,Carl Pettersson,110,29.0,364,1255
63,64,64,Tom Pernice Jr.,104,28.99,347,1197
64,65,65,George McNeill,97,28.97,345,1191
65,66,66,Brett Rumford,72,28.95,218,753
66,67,67,Nick Watney,96,28.94,340,1175
67,68,68,Steve Elkington,84,28.92,293,1013
68,69,69,Matt Jones,95,28.9,293,1014
69,70,70,Greg Kraft,63,28.86,170,589
70,71,71,Vijay Singh,82,28.84,276,957
71,72,72,Bubba Watson,97,28.83,333,1155
72,73,73,Kevin Streelman,114,28.81,376,1305
73,74,74,Alejandro Cañizares,52,28.8,142,493
74,75,75,James Driscoll,85,28.77,265,921
75,76,76,Marco Dawson,64,28.76,176,612
76,77,77,Carlos Franco,73,28.73,231,804
77,78,78,Scott Verplank,82,28.69,272,948
78,79,79,Jason Day,81,28.66,272,949
79,80,80,Freddie Jacobson,78,28.64,248,866
80,81,81,Charley Hoffman,94,28.62,314,1097
81,82,82,Tim Herron,97,28.56,297,1040
82,T83,T83,Dudley Hart,74,28.45,237,833
83,T83,T83,Davis Love III,78,28.45,258,907
84,T85,T85,Steve Flesch,95,28.44,314,1104
85,T85,T85,D.J. Trahan,94,28.44,318,1118
86,T85,T85,Mike Weir,88,28.44,287,1009
87,88,88,Steve Allan,58,28.4,169,595
88,89,89,Richard Johnson,77,28.37,223,786
89,90,90,Michael Allen,91,28.35,309,1090
90,91,91,Scott McCarron,63,28.34,208,734
91,92,92,David Toms,70,28.3,225,795
92,93,93,Steve Lowery,74,28.26,223,789
93,94,94,Lucas Glover,91,28.25,302,1069
94,95,95,Dean Wilson,109,28.21,349,1237
95,96,96,Rod Pampling,83,28.15,257,913
96,97,97,Ryan Armour,87,28.12,275,978
97,98,98,Sergio Garcia,72,28.11,237,843
98,99,99,Tommy Armour III,77,28.1,245,872
99,100,100,Ángel Cabrera,55,28.05,161,574
100,101,101,Jimmy Walker,73,28.03,206,735
101,102,102,Kevin Sutherland,98,28.0,336,1200
102,103,103,Jeff Maggert,86,27.88,286,1026
103,104,104,Craig Kanada,65,27.86,185,664
104,T105,T105,Brad Adamonis,87,27.83,273,981
105,T105,T105,Nick O'Hern,82,27.83,258,927
106,107,107,Ernie Els,51,27.82,153,550
107,108,108,Charlie Wi,97,27.81,322,1158
108,109,109,Stephen Ames,83,27.8,266,957
109,110,110,Rich Beem,90,27.79,299,1076
110,T111,T111,Robert Allenby,108,27.76,375,1351
111,T111,T111,K.J. Choi,74,27.76,229,825
112,113,113,Lee Janzen,89,27.75,267,962
113,114,114,Kent Jones,68,27.74,215,775
114,115,115,Brandt Snedeker,85,27.72,265,956
115,116,116,Tom Scherrer,56,27.7,164,592
116,117,117,Troy Matteson,94,27.66,315,1139
117,118,118,Y.E. Yang,89,27.64,285,1031
118,119,119,Kenneth Ferrie,72,27.61,206,746
119,120,120,Peter Lonard,92,27.56,283,1027
120,121,121,Mathew Goggin,91,27.55,303,1100
121,122,122,Nick Flanagan,89,27.53,269,977
122,123,123,Paul Casey,55,27.52,169,614
123,T124,T124,Bo Van Pelt,101,27.51,323,1174
124,T124,T124,Boo Weekley,86,27.51,279,1014
125,126,126,Todd Demsey,80,27.38,250,913
126,127,127,Retief Goosen,59,27.3,169,619
127,T128,T128,Woody Austin,109,27.27,351,1287
128,T128,T128,Charles Howell III,101,27.27,324,1188
129,130,130,Hunter Mahan,87,27.26,290,1064
130,131,131,Patrick Sheehan,124,27.24,368,1351
131,132,132,Mark Calcavecchia,67,27.14,206,759
132,133,133,Robert Gamez,79,27.13,248,914
133,134,134,Jim Furyk,95,26.93,303,1125
134,135,135,Chris DiMarco,87,26.9,266,989
135,136,136,Steve Stricker,75,26.89,221,822
136,137,137,John Merrick,98,26.87,294,1094
137,138,138,Charles Warren,79,26.82,254,947
138,139,139,John Rollins,94,26.8,287,1071
139,140,140,Cody Freeman,66,26.79,183,683
140,141,141,Tim Wilkinson,95,26.76,274,1024
141,142,142,John Riegger,73,26.67,223,836
142,143,143,Chris Riley,51,26.62,127,477
143,144,144,Alex Cejka,75,26.53,208,784
144,145,145,Todd Hamilton,92,26.39,275,1042
145,146,146,Zach Johnson,85,26.37,269,1020
146,147,147,Harrison Frazar,73,26.31,216,821
147,148,148,Brett Quigley,80,26.3,237,901
148,T149,T149,Ben Curtis,80,26.21,227,866
149,T149,T149,Brandt Jobe,52,26.21,163,622
150,T151,T151,Glen Day,64,26.19,176,672
151,T151,T151,Omar Uresti,74,26.19,214,817
152,153,153,Will MacKenzie,62,26.15,188,719
153,154,154,Paul Goydos,78,26.13,231,884
154,155,155,Ian Poulter,51,26.1,137,525
155,156,156,Rocco Mediate,87,26.07,255,978
156,157,157,Chez Reavie,102,26.05,305,1171
157,158,158,Joe Durant,92,26.0,279,1073
158,159,159,Geoff Ogilvy,65,25.98,185,712
159,160,160,Doug LaBelle II,65,25.93,175,675
160,161,161,Jim McGovern,75,25.89,210,811
161,162,162,David Duval,51,25.85,137,530
162,163,163,J.P. Hayes,67,25.68,189,736
163,164,164,Brad Elder,67,25.67,183,713
164,T165,T165,Justin Bolli,87,25.6,246,961
165,T165,T165,Bob Estes,90,25.6,278,1086
166,167,167,Gavin Coles,54,25.59,142,555
167,T168,T168,Cliff Kresge,84,25.51,238,933
168,T168,T168,Sean O'Hair,81,25.51,239,937
169,170,170,Matt Kuchar,88,25.45,239,939
170,T171,T171,David Lutterus,59,25.38,151,595
171,T171,T171,Chris Stroud,81,25.38,231,910
172,T173,T173,Tom Lehman,51,25.36,139,548
173,T173,T173,Bob Sowards,61,25.36,158,623
174,175,175,John Senden,93,25.35,289,1140
175,176,176,Jon Mills,95,25.34,260,1026
176,177,177,Jin Park,85,25.32,220,869
177,178,178,Ron Whittaker,54,25.31,143,565
178,179,179,Briny Baird,113,25.25,333,1319
179,180,180,Jerry Kelly,89,25.18,241,957
180,181,181,Scott Sterling,89,25.12,254,1011
181,182,182,Paul Claxton,63,25.08,167,666
182,183,183,Kyle Thompson,70,25.07,180,718
183,184,184,Travis Perkins,53,25.05,130,519
184,185,185,Trevor Immelman,70,24.77,191,771
185,186,186,Billy Mayfair,103,24.68,311,1260
186,187,187,Bart Bryant,81,24.55,231,941
187,188,188,Heath Slocum,104,24.44,305,1248
188,189,189,Shigeki Maruyama,50,23.97,116,484
189,190,190,Jay Williamson,96,23.93,252,1053
190,191,191,J.J. Henry,108,23.68,318,1343
191,192,192,Billy Andrade,71,23.56,180,764
192,193,193,Jeff Gove,50,23.49,132,562
193,194,194,Richard Johnson,60,23.3,147,631
194,195,195,Ted Purdy,68,23.28,173,743
195,196,196,Stephen Leaney,53,22.53,123,546
196,197,197,Olin Browne,77,21.81,193,885
