,Total_1_Putts_-_10-15_RANK THIS WEEK,Total_1_Putts_-_10-15_RANK LAST WEEK,Total_1_Putts_-_10-15_PLAYER NAME,Total_1_Putts_-_10-15_ROUNDS,Total_1_Putts_-_10-15_TOTAL,Total_1_Putts_-_10-15_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_10-15_PCT OF ALL 1-PUTTS
0,1,1,Ken Duke,116,98,770,12.7
1,2,2,Eric Axley,113,96,736,13.0
2,3,3,Brian Gay,102,90,666,13.5
3,4,4,Mark Wilson,107,89,730,12.2
4,5,5,Patrick Sheehan,124,87,758,11.5
5,6,6,Brian Davis,108,85,736,11.5
6,7,7,Vaughn Taylor,103,84,686,12.2
7,T8,T8,Steve Marino,119,83,706,11.8
8,T8,T8,Carl Pettersson,110,83,713,11.6
9,T10,T10,Woody Austin,109,82,610,13.4
10,T10,T10,Shane Bertsch,96,82,642,12.8
11,T10,T10,Ben Crane,86,82,547,15.0
12,T10,T10,Nicholas Thompson,113,82,675,12.1
13,T14,T14,Frank Lickliter II,107,81,705,11.5
14,T14,T14,Kevin Sutherland,98,81,599,13.5
15,T16,T16,Kevin Na,97,79,682,11.6
16,T16,T16,Bo Van Pelt,101,79,615,12.8
17,T18,T18,Jason Gore,94,78,578,13.5
18,T18,T18,Jeff Overton,103,78,639,12.2
19,T20,T20,Nathan Green,95,77,711,10.8
20,T20,T20,Tim Petrovic,97,77,583,13.2
21,T22,T22,John Mallinger,95,76,648,11.7
22,T22,T22,Tom Pernice Jr.,104,76,719,10.6
23,T24,T24,J.J. Henry,108,75,603,12.4
24,T24,T24,Martin Laird,98,75,586,12.8
25,26,26,Chad Campbell,94,74,582,12.7
26,T27,T27,Bill Haas,99,73,614,11.9
27,T27,T27,Jeff Maggert,86,73,522,14.0
28,T27,T27,Kenny Perry,97,73,623,11.7
29,T27,T27,Chez Reavie,102,73,614,11.9
30,31,31,Kevin Streelman,114,72,646,11.1
31,T32,T32,Tim Herron,97,71,641,11.1
32,T32,T32,Parker McLachlin,88,71,571,12.4
33,T32,T32,George McNeill,97,71,594,12.0
34,T35,T35,Cameron Beckman,87,69,507,13.6
35,T35,T35,Dean Wilson,109,69,669,10.3
36,T37,T37,Bob Estes,90,68,569,12.0
37,T37,T37,Todd Hamilton,92,68,503,13.5
38,T37,T37,Tim Wilkinson,95,68,572,11.9
39,T40,T40,Robert Allenby,108,67,539,12.4
40,T40,T40,Steve Flesch,95,67,571,11.7
41,T40,T40,Joe Ogilvie,100,67,651,10.3
42,T40,T40,Marc Turnesa,87,67,571,11.7
43,T44,T44,Michael Allen,91,66,522,12.6
44,T44,T44,Rich Beem,90,66,528,12.5
45,T44,T44,Daniel Chopra,84,66,538,12.3
46,T44,T44,Robert Garrigus,90,66,565,11.7
47,T44,T44,Charley Hoffman,94,66,593,11.1
48,T44,T44,Billy Mayfair,103,66,614,10.7
49,T44,T44,John Senden,93,66,496,13.3
50,T44,T44,Nick Watney,96,66,571,11.6
51,T52,T52,Lucas Glover,91,65,557,11.7
52,T52,T52,Justin Leonard,101,65,524,12.4
53,T52,T52,Ryan Palmer,69,65,442,14.7
54,T55,T55,Chris DiMarco,87,64,532,12.0
55,T55,T55,Tag Ridings,88,64,558,11.5
56,T55,T55,Charlie Wi,97,64,611,10.5
