,Average_Distance_of_Eagle_putts_made_RANK THIS WEEK,Average_Distance_of_Eagle_putts_made_RANK LAST WEEK,Average_Distance_of_Eagle_putts_made_PLAYER NAME,Average_Distance_of_Eagle_putts_made_ROUNDS,Average_Distance_of_Eagle_putts_made_AVG,Average_Distance_of_Eagle_putts_made_TOT DIST (FT),Average_Distance_of_Eagle_putts_made_TOT EAGLES PUTTS MADE.,Average_Distance_of_Eagle_putts_made_LONGEST MADE (FT),Average_Distance_of_Eagle_putts_made_SHORTEST MADE (FT)
0,1,1,Jerry Kelly,89,"63' 1""",63.083,1,63.0,63
1,2,2,Dean Wilson,109,"44' 2""",88.333,2,51.0,38
2,3,3,Greg Kraft,63,"41' 3""",82.417,2,41.0,41
3,4,4,Kenneth Ferrie,72,"39' 11""",39.917,1,40.0,40
4,5,5,Bill Haas,99,"36' 0""",143.833,4,64.0,12
5,6,6,Bob Tway,70,"34' 8""",69.333,2,42.0,27
6,7,7,Bob Estes,90,"33' 6""",100.583,3,60.0,6
7,8,8,Nathan Green,95,"33' 3""",66.5,2,36.0,30
8,9,9,Retief Goosen,59,"31' 9""",31.75,1,32.0,32
9,10,10,Billy Mayfair,103,"30' 1""",120.417,4,58.0,4
10,11,11,Doug LaBelle II,65,"29' 11""",29.916999999999998,1,30.0,30
11,12,12,Robert Allenby,108,"29' 10""",59.667,2,34.0,26
12,13,13,George McNeill,97,"29' 4""",146.75,5,61.0,6
13,14,14,John Merrick,98,"28' 6""",113.917,4,45.0,16
14,15,15,Stewart Cink,87,"28' 3""",254.583,9,61.0,4
15,16,16,Rory Sabbatini,77,"28' 0""",112.0,4,62.0,12
16,17,17,Omar Uresti,74,"27' 9""",27.75,1,28.0,28
17,18,18,Cameron Beckman,87,"27' 8""",55.25,2,38.0,17
18,19,19,Mark Wilson,107,"27' 1""",108.25,4,48.0,5
19,20,20,Bob Sowards,61,"26' 8""",79.917,3,52.0,3
20,21,21,Bart Bryant,81,"25' 10""",25.833000000000002,1,26.0,26
21,22,22,Steve Flesch,95,"25' 7""",153.25,6,66.0,11
22,23,23,Charlie Wi,97,"24' 7""",171.917,7,61.0,2
23,24,24,Tag Ridings,88,"24' 5""",73.333,3,31.0,19
24,25,25,Brett Rumford,72,"24' 4""",48.583,2,27.0,22
25,26,26,Jeff Maggert,86,"24' 3""",48.417,2,39.0,10
26,27,27,Phil Mickelson,80,"23' 9""",95.083,4,43.0,3
27,28,28,Tom Lehman,51,"23' 3""",69.833,3,52.0,8
28,29,29,Stephen Ames,83,"23' 2""",23.166999999999998,1,23.0,23
29,30,30,Brenden Pappas,66,"22' 11""",160.5,7,38.0,10
30,31,31,Rod Pampling,83,"22' 7""",45.167,2,25.0,21
31,32,32,Todd Hamilton,92,"22' 6""",44.917,2,35.0,10
32,33,33,Joe Durant,92,"22' 2""",132.75,6,48.0,6
33,34,34,Dustin Johnson,92,"21' 7""",129.667,6,39.0,8
34,35,35,Sergio Garcia,72,"21' 6""",21.5,1,22.0,22
35,36,36,Tom Pernice Jr.,104,"21' 4""",149.167,7,45.0,8
36,37,37,Mathias Grönberg,87,"21' 2""",190.333,9,39.0,5
37,T38,T38,Billy Andrade,71,"21' 0""",21.0,1,21.0,21
38,T38,T38,Boo Weekley,86,"21' 0""",62.917,3,35.0,11
39,40,40,Kenny Perry,97,"20' 11""",20.916999999999998,1,21.0,21
40,41,41,Ryan Armour,87,"20' 10""",62.417,3,28.0,6
41,42,42,John Mallinger,95,"20' 7""",20.583000000000002,1,21.0,21
42,43,43,Chez Reavie,102,"20' 6""",41.0,2,21.0,21
43,44,44,Daniel Chopra,84,"20' 3""",101.083,5,48.0,5
44,45,45,Rocco Mediate,87,"20' 2""",60.5,3,28.0,10
45,46,46,Brad Adamonis,87,"20' 1""",80.167,4,44.0,7
46,T47,T47,Richard Johnson,77,"20' 0""",80.0,4,52.0,3
47,T47,T47,Martin Laird,98,"20' 0""",159.667,8,52.0,2
48,T47,T47,Parker McLachlin,88,"20' 0""",100.0,5,43.0,2
49,50,50,Kyle Thompson,70,"19' 11""",19.917,1,20.0,20
50,T51,T51,Carlos Franco,73,"19' 8""",59.0,3,41.0,7
51,T51,T51,Chris Stroud,81,"19' 8""",98.5,5,35.0,7
52,53,53,Paul Claxton,63,"19' 6""",19.5,1,20.0,20
53,T54,T54,Chad Campbell,94,"19' 4""",212.583,11,45.0,4
54,T54,T54,Matt Jones,95,"19' 4""",115.917,6,40.0,3
55,56,56,Jonathan Byrd,88,"19' 2""",95.917,5,40.0,2
56,57,57,Jeff Gove,50,"19' 1""",38.167,2,32.0,6
57,58,58,Matt Kuchar,88,"18' 8""",74.667,4,41.0,"1"""
58,T59,T59,Alejandro Cañizares,52,"18' 5""",73.583,4,40.0,3
59,T59,T59,Pat Perez,93,"18' 5""",129.0,7,46.0,3
