,Putting_from_-__20_RANK THIS WEEK,Putting_from_-__20_RANK LAST WEEK,Putting_from_-__20_PLAYER NAME,Putting_from_-__20_ROUNDS,Putting_from_-__20_% MADE,Putting_from_-__20_ATTEMPTS,Putting_from_-__20_PUTTS MADE
0,1,1,Corey Pavin,69,11.22,303,34
1,2,2,Woody Austin,109,10.42,499,52
2,3,3,Jeff Quinney,87,10.41,413,43
3,4,4,Scott McCarron,63,10.4,327,34
4,5,5,Tim Petrovic,97,10.04,458,46
5,6,6,Craig Kanada,65,10.03,299,30
6,7,7,Mark Hensby,71,9.95,372,37
7,8,8,Hunter Mahan,87,9.6,479,46
8,9,9,Steve Elkington,84,9.57,439,42
9,10,10,Matt Jones,95,9.54,503,48
10,11,11,Ben Crane,86,9.5,442,42
11,12,12,Steve Lowery,74,9.39,394,37
12,T13,T13,Chad Campbell,94,9.38,512,48
13,T13,T13,Patrick Sheehan,124,9.38,597,56
14,15,15,Daniel Chopra,84,9.32,365,34
15,16,16,Steve Stricker,75,9.29,323,30
16,17,17,Jesper Parnevik,88,9.19,446,41
17,18,18,Tim Herron,97,9.16,524,48
18,19,19,Retief Goosen,59,9.09,220,20
19,T20,T20,John Mallinger,95,9.07,419,38
20,T20,T20,Parker McLachlin,88,9.07,463,42
21,22,22,Pat Perez,93,9.03,476,43
22,23,23,Andres Romero,69,9.02,255,23
23,24,24,Marc Turnesa,87,9.01,455,41
24,25,25,Camilo Villegas,79,8.91,348,31
25,26,26,Nick Flanagan,89,8.88,473,42
26,27,27,Johnson Wagner,83,8.79,387,34
27,28,28,Padraig Harrington,52,8.78,148,13
28,29,29,Greg Kraft,63,8.75,263,23
29,30,30,Bob Tway,70,8.72,298,26
30,31,31,Nathan Green,95,8.66,508,44
31,T32,T32,Mathias Grönberg,87,8.63,475,41
32,T32,T32,Matt Kuchar,88,8.63,394,34
33,34,34,Alejandro Cañizares,52,8.6,221,19
34,35,35,J.P. Hayes,67,8.56,362,31
35,36,36,Steve Marino,119,8.55,643,55
36,37,37,Jeff Overton,103,8.52,528,45
37,T38,T38,Jeff Gove,50,8.42,273,23
38,T38,T38,Nick O'Hern,82,8.42,392,33
39,40,40,K.J. Choi,74,8.36,371,31
40,41,41,Freddie Jacobson,78,8.33,360,30
41,42,42,Tim Clark,90,8.31,385,32
42,43,43,Jonathan Byrd,88,8.28,435,36
43,44,44,Todd Hamilton,92,8.24,437,36
44,45,45,Paul Casey,55,8.21,207,17
45,46,46,Cody Freeman,66,8.2,305,25
46,T47,T47,Chris DiMarco,87,8.19,415,34
47,T47,T47,Ken Duke,116,8.19,586,48
48,T47,T47,Mark Wilson,107,8.19,647,53
49,50,50,Tommy Gainey,60,8.18,269,22
50,51,51,Joe Ogilvie,100,8.16,490,40
51,52,52,Carlos Franco,73,8.07,409,33
52,53,53,Shane Bertsch,96,8.02,474,38
53,54,54,Kevin Na,97,7.99,488,39
54,55,55,Ryuji Imada,80,7.97,364,29
55,56,56,Stewart Cink,87,7.95,390,31
56,57,57,Michael Letzig,88,7.94,403,32
57,58,58,David Toms,70,7.88,292,23
58,59,59,Rory Sabbatini,77,7.87,356,28
59,T60,T60,Ryan Armour,87,7.84,459,36
60,T60,T60,Phil Mickelson,80,7.84,306,24
61,T60,T60,Bob Sowards,61,7.84,319,25
62,63,63,Steve Flesch,95,7.83,447,35
63,T64,T64,Bart Bryant,81,7.82,409,32
64,T64,T64,Lee Janzen,89,7.82,435,34
65,T66,T66,Stuart Appleby,87,7.81,384,30
66,T66,T66,Glen Day,64,7.81,320,25
67,68,68,Tommy Armour III,77,7.79,398,31
