,Putts_per_Round_-_Round_4_RANK THIS WEEK,Putts_per_Round_-_Round_4_RANK LAST WEEK,Putts_per_Round_-_Round_4_PLAYER NAME,Putts_per_Round_-_Round_4_AVG,Putts_per_Round_-_Round_4_TOTAL PUTTS,Putts_per_Round_-_Round_4_TOTAL ROUNDS
0,1,1,Ryan Moore,27.18,299,11
1,2,2,Jerry Kelly,27.23,354,13
2,3,3,Padraig Harrington,27.27,300,11
3,4,4,John Mallinger,27.4,548,20
4,5,5,Ryuji Imada,27.53,413,15
5,6,6,Chad Collins,27.6,276,10
6,7,7,Retief Goosen,27.83,334,12
7,8,8,Jonathan Byrd,27.88,446,16
8,9,9,Aaron Baddeley,27.93,419,15
9,T10,T10,Daniel Chopra,28.0,420,15
10,T10,T10,Jesper Parnevik,28.0,392,14
11,T10,T10,Johnson Wagner,28.0,392,14
12,13,13,Phil Mickelson,28.06,505,18
13,14,14,Steve Stricker,28.07,421,15
14,15,15,Jason Day,28.08,337,12
15,T16,T16,Eric Axley,28.11,534,19
16,T16,T16,Nathan Green,28.11,506,18
17,18,18,Kevin Na,28.16,535,19
18,19,19,Ryan Palmer,28.18,310,11
19,T20,T20,Joe Ogilvie,28.22,508,18
20,T20,T20,Jimmy Walker,28.22,254,9
21,22,22,Ben Curtis,28.24,480,17
22,23,23,Richard Johnson,28.25,226,8
23,24,24,Ben Crane,28.28,509,18
24,25,25,Bob Tway,28.29,396,14
25,26,26,Freddie Jacobson,28.33,425,15
26,27,27,Andres Romero,28.36,397,14
27,28,28,Scott McCarron,28.38,227,8
28,T29,T29,Jason Gore,28.4,426,15
29,T29,T29,Will MacKenzie,28.4,284,10
30,T31,T31,Carl Pettersson,28.42,739,26
31,T31,T31,Nicholas Thompson,28.42,540,19
32,33,33,Justin Leonard,28.43,654,23
33,T34,T34,Stephen Ames,28.44,512,18
34,T34,T34,Jeff Quinney,28.44,455,16
35,36,36,Kent Jones,28.45,313,11
36,37,37,Corey Pavin,28.46,370,13
37,T38,T38,Brian Gay,28.5,513,18
38,T38,T38,Tom Scherrer,28.5,171,6
39,40,40,K.J. Choi,28.53,428,15
