,One-Putt_Percentage_-_Round_1_RANK THIS WEEK,One-Putt_Percentage_-_Round_1_RANK LAST WEEK,One-Putt_Percentage_-_Round_1_PLAYER NAME,One-Putt_Percentage_-_Round_1_ROUNDS,One-Putt_Percentage_-_Round_1_%,One-Putt_Percentage_-_Round_1_# OF 1 PUTTS,One-Putt_Percentage_-_Round_1_# OF HOLES
0,1,1,Carl Pettersson,110,44.83,234,522
1,2,2,Jesper Parnevik,88,44.64,233,522
2,3,3,John Mallinger,95,44.25,231,522
3,4,4,Corey Pavin,69,43.89,158,360
4,5,5,Stuart Appleby,87,43.43,172,396
5,6,6,Steve Lowery,74,42.67,192,450
6,7,7,Todd Hamilton,92,42.66,215,504
7,8,8,Nathan Green,95,42.59,230,540
8,9,9,Eric Axley,113,41.9,264,630
9,10,10,J.P. Hayes,67,41.88,196,468
10,11,11,Adam Scott,51,41.67,105,252
11,12,12,Andres Romero,69,41.52,142,342
12,13,13,Chris Riley,51,41.5,127,306
13,14,14,Rod Pampling,83,41.36,201,486
14,15,15,J.B. Holmes,86,41.33,186,450
15,16,16,Padraig Harrington,52,41.27,104,252
16,17,17,Daniel Chopra,84,41.24,193,468
17,18,18,Brian Gay,102,41.04,229,558
18,T19,T19,Nick O'Hern,82,40.97,177,432
19,T19,T19,Vaughn Taylor,103,40.97,236,576
20,21,21,Patrick Sheehan,124,40.95,258,630
21,T22,T22,Marco Dawson,64,40.74,154,378
22,T22,T22,Greg Kraft,63,40.74,154,378
23,24,24,Ryuji Imada,80,40.67,183,450
24,25,25,David Toms,70,40.64,139,342
25,26,26,Richard Johnson,77,40.61,212,522
26,27,27,Rocco Mediate,87,40.53,197,486
27,28,28,Matt Jones,95,40.5,226,558
28,29,29,Jeff Quinney,87,40.48,204,504
29,30,30,Frank Lickliter II,107,40.45,233,576
30,31,31,Kevin Na,97,40.42,211,522
31,32,32,David Duval,51,40.35,138,342
32,33,33,Marc Turnesa,87,40.23,210,522
33,34,34,Steve Stricker,75,40.21,152,378
34,35,35,Kenny Perry,97,40.17,188,468
35,36,36,Jeff Maggert,86,40.08,202,504
36,37,37,Mike Weir,88,40.05,173,432
37,T38,T38,Brian Davis,108,39.9,237,594
38,T38,T38,Ken Duke,116,39.9,237,594
39,40,40,Shigeki Maruyama,50,39.87,122,306
40,41,41,Brett Rumford,72,39.53,185,468
41,42,42,Sergio Garcia,72,39.51,128,324
42,43,43,Ryan Moore,72,39.35,170,432
43,44,44,Ian Poulter,51,39.29,99,252
44,45,45,Tom Pernice Jr.,104,39.26,212,540
45,46,46,Alejandro Cañizares,52,39.24,113,288
46,47,47,Aaron Baddeley,76,39.15,148,378
47,48,48,Tim Herron,97,39.09,197,504
48,49,49,Joe Ogilvie,100,39.08,204,522
49,T50,T50,Mark Calcavecchia,67,38.89,154,396
50,T50,T50,Paul Goydos,78,38.89,175,450
51,T50,T50,Dudley Hart,74,38.89,154,396
52,T50,T50,Dean Wilson,109,38.89,224,576
53,54,54,Charlie Wi,97,38.68,188,486
54,55,55,Brandt Snedeker,85,38.67,174,450
55,56,56,Tommy Armour III,77,38.66,167,432
56,57,57,Bob Tway,70,38.61,139,360
57,58,58,Bo Van Pelt,101,38.54,222,576
58,59,59,Johnson Wagner,83,38.46,180,468
59,T60,T60,Anthony Kim,81,38.38,152,396
60,T60,T60,Scott McCarron,63,38.38,152,396
61,62,62,Camilo Villegas,79,38.36,145,378
62,63,63,Chez Reavie,102,38.33,207,540
63,64,64,Chris DiMarco,87,38.31,200,522
64,65,65,John Rollins,94,38.29,193,504
65,66,66,Lucas Glover,91,38.25,179,468
66,67,67,Ángel Cabrera,55,38.19,110,288
67,68,68,Mark Hensby,71,38.03,178,468
68,69,69,Steve Marino,119,38.02,219,576
69,70,70,Fred Couples,60,37.96,123,324
70,71,71,Rory Sabbatini,77,37.88,150,396
71,72,72,Parker McLachlin,88,37.86,184,486
72,73,73,Tim Petrovic,97,37.85,218,576
73,74,74,Tim Clark,90,37.82,177,468
74,75,75,Geoff Ogilvy,65,37.72,129,342
75,76,76,Dustin Johnson,92,37.59,203,540
76,77,77,Chad Collins,72,37.5,162,432
77,78,78,Jason Gore,94,37.46,209,558
78,79,79,Robert Gamez,79,37.39,175,468
79,80,80,Vijay Singh,82,37.37,148,396
80,T81,T81,Michael Letzig,88,37.36,195,522
81,T81,T81,Tim Wilkinson,95,37.36,195,522
82,T83,T83,Ben Crane,86,37.33,168,450
83,T83,T83,Jeff Overton,103,37.33,215,576
84,85,85,Stephen Leaney,53,37.25,114,306
85,T86,T86,Bart Bryant,81,37.2,154,414
86,T86,T86,Davis Love III,78,37.2,154,414
87,T86,T86,Scott Verplank,82,37.2,154,414
88,T89,T89,Jonathan Byrd,88,37.18,174,468
89,T89,T89,Kevin Sutherland,98,37.18,174,468
90,91,91,Y.E. Yang,89,37.16,194,522
91,92,92,Brandt Jobe,52,37.13,127,342
92,93,93,Steve Elkington,84,37.11,167,450
93,94,94,Charles Howell III,101,37.04,200,540
94,95,95,Mathias Grönberg,87,36.85,199,540
95,96,96,Justin Leonard,101,36.81,159,432
96,97,97,Jason Day,81,36.71,185,504
97,98,98,Phil Mickelson,80,36.67,132,360
98,T99,T99,Stewart Cink,87,36.62,145,396
99,T99,T99,Doug LaBelle II,65,36.62,145,396
100,101,101,Retief Goosen,59,36.6,112,306
101,T102,T102,Woody Austin,109,36.59,191,522
102,T102,T102,Tag Ridings,88,36.59,191,522
103,104,104,Lee Janzen,89,36.51,184,504
104,105,105,Todd Demsey,80,36.44,164,450
105,106,106,Mathew Goggin,91,36.42,177,486
106,T107,T107,Rich Beem,90,36.31,183,504
107,T107,T107,Chad Campbell,94,36.31,183,504
108,109,109,Steve Flesch,95,36.21,189,522
109,110,110,Pat Perez,93,36.11,169,468
110,111,111,Sean O'Hair,81,36.0,162,450
111,112,112,Craig Kanada,65,35.99,149,414
112,113,113,Will MacKenzie,62,35.98,136,378
113,114,114,Glen Day,64,35.96,123,342
114,115,115,Cameron Beckman,87,35.91,181,504
115,T116,T116,Zach Johnson,85,35.88,155,432
116,T116,T116,Brenden Pappas,66,35.88,155,432
117,118,118,Billy Mayfair,103,35.82,187,522
118,T119,T119,Robert Allenby,108,35.8,174,486
119,T119,T119,Nick Watney,96,35.8,174,486
120,121,121,Jim Furyk,95,35.78,161,450
121,122,122,Shane Bertsch,96,35.71,180,504
122,123,123,Jimmy Walker,73,35.65,154,432
123,124,124,Robert Garrigus,90,35.25,184,522
124,T125,T125,Matt Kuchar,88,35.19,171,486
125,T125,T125,Peter Lonard,92,35.19,190,540
126,127,127,Brett Quigley,80,35.11,158,450
127,128,128,Brad Elder,67,35.02,145,414
128,129,129,K.J. Choi,74,35.0,126,360
129,130,130,Tom Lehman,51,34.97,107,306
130,131,131,Cliff Kresge,84,34.92,176,504
131,132,132,Alex Cejka,75,34.89,157,450
132,T133,T133,John Riegger,73,34.72,150,432
133,T133,T133,Nicholas Thompson,113,34.72,225,648
134,T135,T135,Charley Hoffman,94,34.67,181,522
135,T135,T135,Charles Warren,79,34.67,181,522
136,137,137,Troy Matteson,94,34.63,187,540
137,138,138,Freddie Jacobson,78,34.49,149,432
138,139,139,Brad Adamonis,87,34.48,180,522
139,140,140,Ernie Els,51,34.44,93,270
140,141,141,Jim McGovern,75,34.4,161,468
141,142,142,Bob Estes,90,34.33,173,504
142,143,143,Kent Jones,68,34.3,142,414
143,144,144,Mark Wilson,107,34.29,179,522
144,145,145,Ryan Armour,87,34.23,191,558
145,146,146,Michael Allen,91,34.16,166,486
146,T147,T147,James Driscoll,85,34.13,172,504
147,T147,T147,Trevor Immelman,70,34.13,129,378
148,149,149,Kevin Streelman,114,34.03,196,576
149,150,150,J.J. Henry,108,33.99,208,612
150,151,151,D.J. Trahan,94,33.95,165,486
151,T152,T152,Briny Baird,113,33.89,183,540
152,T152,T152,Jin Park,85,33.89,183,540
153,T152,T152,Kevin Stadler,90,33.89,183,540
154,155,155,Bill Haas,99,33.87,189,558
155,156,156,Stephen Ames,83,33.82,140,414
156,157,157,John Merrick,98,33.73,170,504
157,158,158,Bob Sowards,61,33.59,133,396
158,159,159,Jason Allred,63,33.57,139,414
159,160,160,Tommy Gainey,60,33.56,145,432
160,161,161,Cody Freeman,66,33.55,157,468
161,T162,T162,Paul Claxton,63,33.33,138,414
162,T162,T162,Ben Curtis,80,33.33,132,396
163,T162,T162,Martin Laird,98,33.33,174,522
164,T162,T162,Tom Scherrer,56,33.33,120,360
165,T162,T162,Omar Uresti,74,33.33,144,432
166,167,167,Bubba Watson,97,33.14,173,522
167,T168,T168,Kenneth Ferrie,72,33.11,149,450
168,T168,T168,Hunter Mahan,87,33.11,149,450
169,170,170,Ryan Palmer,69,33.08,131,396
170,171,171,Jay Williamson,96,32.99,190,576
171,172,172,Paul Casey,55,32.96,89,270
172,T173,T173,Nick Flanagan,89,32.95,172,522
173,T173,T173,Heath Slocum,104,32.95,172,522
174,175,175,Jon Mills,95,32.81,189,576
175,176,176,George McNeill,97,32.76,171,522
176,T177,T177,Richard Johnson,60,32.54,123,378
177,T177,T177,Scott Sterling,89,32.54,164,504
178,179,179,Harrison Frazar,73,32.37,134,414
179,180,180,Olin Browne,77,32.1,156,486
180,181,181,Jerry Kelly,89,32.04,173,540
181,T182,T182,Justin Bolli,87,31.94,161,504
182,T182,T182,Ted Purdy,68,31.94,138,432
183,184,184,Boo Weekley,86,31.16,129,414
184,185,185,Ron Whittaker,54,31.06,123,396
185,186,186,John Senden,93,30.66,149,486
186,187,187,Chris Stroud,81,30.65,160,522
187,188,188,Travis Perkins,53,30.43,126,414
188,189,189,Steve Allan,58,30.42,115,378
189,190,190,John Huston,56,30.25,98,324
190,191,191,David Lutterus,59,29.95,124,414
191,192,192,Kyle Thompson,70,29.91,140,468
192,193,193,Billy Andrade,71,29.86,129,432
193,194,194,Gavin Coles,54,28.82,83,288
194,195,195,Carlos Franco,73,28.0,126,450
195,196,196,Jeff Gove,50,27.78,90,324
196,197,197,Joe Durant,92,27.58,139,504
