,Bonus_Putting_RANK THIS WEEK,Bonus_Putting_RANK LAST WEEK,Bonus_Putting_PLAYER NAME,Bonus_Putting_ROUNDS,Bonus_Putting_VALUE,Bonus_Putting_ATTEMPTS(<= 5'),Bonus_Putting_TOT MADE (>=20'),Bonus_Putting_TOT MADE (<= 5')
0,1,1,Corey Pavin,69,101.46,755,34,732
1,2,2,Jeff Quinney,87,101.41,990,44,960
2,3,3,Parker McLachlin,88,101.38,1090,42,1063
3,4,4,Ben Crane,86,101.36,1030,42,1002
4,5,5,Hunter Mahan,87,101.08,1020,46,985
5,6,6,Daniel Chopra,84,100.95,948,34,923
6,7,7,Jeff Overton,103,100.87,1258,45,1224
7,8,8,Dean Wilson,109,100.86,1274,37,1248
8,9,9,Bob Tway,70,100.78,772,26,752
9,10,10,Marc Turnesa,87,100.76,1050,41,1017
10,11,11,Scott McCarron,63,100.65,772,34,743
11,12,12,Ken Duke,116,100.54,1471,48,1431
12,13,13,Craig Kanada,65,100.51,777,30,751
13,14,14,K.J. Choi,74,100.5,808,32,780
14,T15,T15,Steve Elkington,84,100.49,1017,42,980
15,T15,T15,Bob Estes,90,100.49,1230,40,1196
16,17,17,Patrick Sheehan,124,100.47,1488,56,1439
17,18,18,Jesper Parnevik,88,100.38,1046,41,1009
18,T19,T19,Aaron Baddeley,76,100.36,834,24,813
19,T19,T19,Steve Stricker,75,100.36,825,30,798
20,21,21,Alejandro Cañizares,52,100.35,577,20,559
21,22,22,Woody Austin,109,100.32,1238,52,1190
22,23,23,Jin Park,85,100.3,997,27,973
23,24,24,Geoff Ogilvy,65,100.29,691,17,676
24,25,25,Brian Gay,102,100.25,1223,32,1194
25,26,26,Eric Axley,113,100.22,1354,42,1315
26,27,27,Mark Wilson,107,100.21,1449,54,1398
27,T28,T28,Bart Bryant,81,100.2,990,32,960
28,T28,T28,Steve Marino,119,100.2,1489,56,1436
29,30,30,Chad Campbell,94,100.17,1202,48,1156
30,31,31,Kenny Perry,97,100.15,1294,38,1258
31,T32,T32,Chad Collins,72,100.11,874,28,847
32,T32,T32,Freddie Jacobson,78,100.11,889,31,859
33,T32,T32,Steve Lowery,74,100.11,951,38,914
34,T35,T35,Tommy Armour III,77,100.1,958,31,928
35,T35,T35,Todd Hamilton,92,100.1,1043,36,1008
36,T35,T35,Nick O'Hern,82,100.1,1022,34,989
37,38,38,Matt Jones,95,100.08,1234,48,1187
38,T39,T39,Paul Casey,55,100.0,511,17,494
39,T39,T39,Ben Curtis,80,100.0,906,28,878
40,T39,T39,James Driscoll,85,100.0,1083,31,1052
41,T39,T39,Tim Herron,97,100.0,1230,48,1182
42,T39,T39,Ryuji Imada,80,100.0,960,29,931
43,T39,T39,Lee Janzen,89,100.0,1071,34,1037
44,T39,T39,Doug LaBelle II,65,100.0,719,24,695
45,46,46,Jason Day,81,99.91,1090,31,1058
46,47,47,Dudley Hart,74,99.89,936,32,903
47,48,48,Phil Mickelson,80,99.88,829,24,804
48,49,49,Bob Sowards,61,99.87,745,25,719
49,T50,T50,Nathan Green,95,99.84,1266,45,1219
50,T50,T50,Joe Ogilvie,100,99.84,1223,40,1181
51,52,52,Stuart Appleby,87,99.79,931,30,899
52,53,53,Stewart Cink,87,99.78,904,31,871
53,54,54,Kevin Sutherland,98,99.76,1254,43,1208
54,55,55,Glen Day,64,99.75,814,26,786
55,56,56,Pat Perez,93,99.73,1118,43,1072
56,57,57,Michael Letzig,88,99.72,1077,32,1042
57,T58,T58,John Huston,56,99.71,679,18,659
58,T58,T58,Andres Romero,69,99.71,678,23,653
59,60,60,Zach Johnson,85,99.7,1007,32,972
60,T61,T61,Shane Bertsch,96,99.69,1283,38,1241
61,T61,T61,Stephen Leaney,53,99.69,637,17,618
62,63,63,Retief Goosen,59,99.67,608,20,586
63,64,64,John Mallinger,95,99.66,1175,38,1133
64,65,65,Brad Elder,67,99.61,770,24,743
65,66,66,Justin Leonard,101,99.6,1007,28,975
66,67,67,Richard Johnson,60,99.56,687,21,663
67,T68,T68,Bill Haas,99,99.55,1328,43,1279
68,T68,T68,Carl Pettersson,110,99.55,1344,37,1301
69,70,70,Martin Laird,98,99.51,1221,33,1182
70,71,71,Matt Kuchar,88,99.5,1008,34,969
71,72,72,Michael Allen,91,99.47,1132,32,1094
72,73,73,Troy Matteson,94,99.46,1287,34,1246
73,T74,T74,Stephen Ames,83,99.45,916,23,888
74,T74,T74,Jim Furyk,95,99.45,1089,33,1050
75,T74,T74,Charlie Wi,97,99.45,1282,39,1236
76,77,77,Jeff Gove,50,99.4,669,23,642
77,T78,T78,Tim Petrovic,97,99.39,1149,46,1096
78,T78,T78,Tim Wilkinson,95,99.39,1139,32,1100
