,3-Putt_Avoidance_-_Round_3_RANK THIS WEEK,3-Putt_Avoidance_-_Round_3_RANK LAST WEEK,3-Putt_Avoidance_-_Round_3_PLAYER NAME,3-Putt_Avoidance_-_Round_3_%,3-Putt_Avoidance_-_Round_3_TOTAL 3 PUTTS,3-Putt_Avoidance_-_Round_3_TOTAL HOLES
0,T1,T1,Craig Kanada,0.56,1,180
1,T1,T1,Stephen Leaney,0.56,1,180
2,3,3,Daniel Chopra,0.69,2,288
3,4,4,Bob Tway,0.74,2,270
4,5,5,Chad Collins,0.85,2,234
5,6,6,Matt Kuchar,0.98,3,306
6,7,7,Glen Day,1.19,3,252
7,8,8,Kyle Thompson,1.23,2,162
8,T9,T9,Ryan Armour,1.28,3,234
9,T9,T9,Alex Cejka,1.28,3,234
10,11,11,Bob Estes,1.31,4,306
11,T12,T12,Retief Goosen,1.39,3,216
12,T12,T12,Jim McGovern,1.39,3,216
13,T12,T12,Nick O'Hern,1.39,4,288
14,T15,T15,Shane Bertsch,1.67,6,360
15,T15,T15,Richard Johnson,1.67,3,180
16,T15,T15,Brenden Pappas,1.67,3,180
17,18,18,Jason Day,1.71,4,234
18,19,19,Sean O'Hair,1.74,5,288
19,20,20,Brian Davis,1.77,7,396
20,T21,T21,Stewart Cink,1.85,6,324
21,T21,T21,Marco Dawson,1.85,4,216
22,T21,T21,James Driscoll,1.85,5,270
23,T21,T21,Steve Elkington,1.85,6,324
24,T21,T21,Nathan Green,1.85,6,324
25,T21,T21,Dudley Hart,1.85,5,270
26,T21,T21,Ryuji Imada,1.85,5,270
27,T21,T21,Patrick Sheehan,1.85,9,486
28,29,29,Eric Axley,1.93,8,414
29,30,30,Vaughn Taylor,1.94,7,360
30,T31,T31,Brad Elder,2.02,4,198
31,T31,T31,John Merrick,2.02,8,396
32,T31,T31,Ted Purdy,2.02,4,198
33,T34,T34,Aaron Baddeley,2.08,6,288
34,T34,T34,Jeff Quinney,2.08,6,288
35,36,36,Jin Park,2.14,5,234
36,T37,T37,Alejandro Cañizares,2.22,4,180
37,T37,T37,K.J. Choi,2.22,6,270
38,T37,T37,Brian Gay,2.22,8,360
39,T37,T37,Martin Laird,2.22,8,360
40,T37,T37,Shigeki Maruyama,2.22,4,180
41,T37,T37,Corey Pavin,2.22,6,270
42,T37,T37,Brett Rumford,2.22,4,180
43,T37,T37,Kevin Stadler,2.22,6,270
44,T37,T37,Mark Wilson,2.22,10,450
