,3-Putt_Avoidance_-_Round_5_RANK THIS WEEK,3-Putt_Avoidance_-_Round_5_RANK LAST WEEK,3-Putt_Avoidance_-_Round_5_PLAYER NAME,3-Putt_Avoidance_-_Round_5_%,3-Putt_Avoidance_-_Round_5_TOTAL 3 PUTTS,3-Putt_Avoidance_-_Round_5_TOTAL HOLES
0,T1,T1,Brad Adamonis,5.56,1,18
1,T1,T1,Robert Allenby,5.56,1,18
2,T1,T1,Shane Bertsch,5.56,1,18
3,T1,T1,Justin Bolli,5.56,1,18
4,T1,T1,Chad Campbell,5.56,1,18
5,T1,T1,Stewart Cink,5.56,1,18
6,T1,T1,Paul Claxton,5.56,1,18
7,T1,T1,Fred Couples,5.56,1,18
8,T1,T1,Ken Duke,5.56,1,18
9,T1,T1,Joe Durant,5.56,1,18
10,T1,T1,Steve Flesch,5.56,1,18
11,T1,T1,J.J. Henry,5.56,1,18
12,T1,T1,Ryuji Imada,5.56,1,18
13,T1,T1,Matt Jones,5.56,1,18
14,T1,T1,Martin Laird,5.56,1,18
15,T1,T1,Justin Leonard,5.56,1,18
16,T1,T1,Michael Letzig,5.56,1,18
17,T1,T1,Jeff Maggert,5.56,1,18
18,T1,T1,Scott McCarron,5.56,1,18
19,T1,T1,John Merrick,5.56,1,18
20,T1,T1,Kevin Na,5.56,1,18
21,T1,T1,Kenny Perry,5.56,1,18
22,T1,T1,Tim Petrovic,5.56,1,18
23,T1,T1,Jeff Quinney,5.56,1,18
24,T1,T1,Tom Scherrer,5.56,1,18
25,T1,T1,John Senden,5.56,1,18
26,T1,T1,Heath Slocum,5.56,1,18
27,T1,T1,Kevin Stadler,5.56,1,18
28,T1,T1,Kyle Thompson,5.56,1,18
29,T1,T1,Nicholas Thompson,5.56,1,18
30,T1,T1,Boo Weekley,5.56,1,18
31,T1,T1,Mike Weir,5.56,1,18
32,T1,T1,Y.E. Yang,5.56,1,18
33,34,34,Steve Elkington,11.11,2,18
34,35,35,Robert Gamez,16.67,3,18
