,Putting_-_Inside_10_RANK THIS WEEK,Putting_-_Inside_10_RANK LAST WEEK,Putting_-_Inside_10_PLAYER NAME,Putting_-_Inside_10_ROUNDS,Putting_-_Inside_10_% MADE,Putting_-_Inside_10_ATTEMPTS,Putting_-_Inside_10_PUTTS MADE
0,1,1,Aaron Baddeley,76,89.44,1089,974
1,2,2,Shigeki Maruyama,50,89.32,768,686
2,3,3,Stewart Cink,87,89.23,1142,1019
3,4,4,Ben Curtis,80,89.22,1160,1035
4,5,5,Ben Crane,86,89.0,1327,1181
5,6,6,Ian Poulter,51,88.96,652,580
6,7,7,J.J. Henry,108,88.83,1826,1622
7,8,8,Dean Wilson,109,88.72,1694,1503
8,9,9,Jim Furyk,95,88.69,1371,1216
9,T10,T10,Steve Stricker,75,88.61,1054,934
10,T10,T10,Kevin Sutherland,98,88.61,1589,1408
11,12,12,Nick O'Hern,82,88.55,1293,1145
12,13,13,Marc Turnesa,87,88.45,1368,1210
13,14,14,Dudley Hart,74,88.38,1213,1072
14,15,15,Chad Collins,72,88.36,1134,1002
15,16,16,Brian Gay,102,88.33,1551,1370
16,17,17,Daniel Chopra,84,88.31,1240,1095
17,18,18,Tim Herron,97,88.29,1571,1387
18,19,19,Gavin Coles,54,88.26,801,707
19,T20,T20,Eric Axley,113,88.25,1762,1555
20,T20,T20,Corey Pavin,69,88.25,1013,894
21,22,22,Bob Tway,70,88.22,1036,914
22,23,23,Freddie Jacobson,78,88.2,1169,1031
23,24,24,Scott Sterling,89,88.18,1379,1216
24,25,25,Jesper Parnevik,88,88.15,1359,1198
25,26,26,Anthony Kim,81,88.14,1189,1048
26,27,27,Doug LaBelle II,65,88.12,943,831
27,28,28,Stephen Leaney,53,88.1,832,733
28,T29,T29,John Rollins,94,88.06,1466,1291
29,T29,T29,Patrick Sheehan,124,88.06,1909,1681
30,31,31,Craig Kanada,65,88.05,996,877
31,32,32,Mike Weir,88,88.03,1220,1074
32,33,33,Jerry Kelly,89,88.02,1377,1212
33,34,34,Jason Day,81,87.98,1423,1252
34,35,35,Brad Elder,67,87.96,997,877
35,36,36,Jeff Quinney,87,87.95,1328,1168
36,37,37,Stephen Ames,83,87.93,1201,1056
37,38,38,Joe Ogilvie,100,87.89,1602,1408
38,39,39,Richard Johnson,77,87.85,1235,1085
39,40,40,Justin Leonard,101,87.84,1324,1163
40,41,41,Paul Claxton,63,87.83,937,823
41,42,42,Richard Johnson,60,87.8,885,777
42,43,43,Zach Johnson,85,87.78,1309,1149
43,44,44,Peter Lonard,92,87.75,1486,1304
44,45,45,Tom Pernice Jr.,104,87.74,1802,1581
45,46,46,Kenny Perry,97,87.72,1685,1478
46,47,47,James Driscoll,85,87.71,1424,1249
47,48,48,Brandt Snedeker,85,87.68,1242,1089
48,49,49,Vaughn Taylor,103,87.66,1742,1527
49,50,50,Carl Pettersson,110,87.56,1785,1563
50,51,51,Nathan Green,95,87.55,1663,1456
51,52,52,Ryuji Imada,80,87.53,1243,1088
52,T53,T53,Alejandro Cañizares,52,87.52,761,666
53,T53,T53,Padraig Harrington,52,87.52,593,519
54,55,55,Stuart Appleby,87,87.51,1241,1086
55,56,56,K.J. Choi,74,87.5,1040,910
56,57,57,Brenden Pappas,66,87.49,1031,902
57,58,58,John Mallinger,95,87.48,1525,1334
58,59,59,Mathew Goggin,91,87.45,1514,1324
59,60,60,Brett Quigley,80,87.44,1353,1183
60,61,61,Tommy Armour III,77,87.43,1233,1078
61,62,62,Retief Goosen,59,87.42,787,688
62,63,63,Bob Estes,90,87.41,1596,1395
63,64,64,Tim Wilkinson,95,87.4,1492,1304
64,65,65,Todd Demsey,80,87.38,1339,1170
65,66,66,Bill Haas,99,87.35,1676,1464
