,Average_Putting_Distance_-_GIR_1_Putts_RANK THIS WEEK,Average_Putting_Distance_-_GIR_1_Putts_RANK LAST WEEK,Average_Putting_Distance_-_GIR_1_Putts_PLAYER NAME,Average_Putting_Distance_-_GIR_1_Putts_ROUNDS,Average_Putting_Distance_-_GIR_1_Putts_AVG,Average_Putting_Distance_-_GIR_1_Putts_DISTANCE (FEET),Average_Putting_Distance_-_GIR_1_Putts_TOTAL PUTTS
172,T173,T173,Brad Adamonis,87,"9' 8""",2110.75,219
173,T173,T173,Harrison Frazar,73,"9' 8""",1811.8329999999999,188
174,T173,T173,Dustin Johnson,92,"9' 8""",2127.833,220
175,T173,T173,Scott Verplank,82,"9' 8""",2005.0,207
176,T177,T177,Charley Hoffman,94,"9' 7""",2442.75,255
177,T177,T177,Brandt Snedeker,85,"9' 7""",1903.8329999999999,198
178,T177,T177,Mike Weir,88,"9' 7""",2051.25,214
179,T177,T177,Y.E. Yang,89,"9' 7""",2174.5,226
180,T181,T181,Phil Mickelson,80,"9' 6""",1999.5,210
181,T181,T181,Ian Poulter,51,"9' 6""",984.1669999999999,104
182,T181,T181,John Rollins,94,"9' 6""",2182.333,230
183,T184,T184,Jason Allred,63,"9' 5""",1371.5,146
184,T184,T184,Ángel Cabrera,55,"9' 5""",1098.917,117
185,T184,T184,Fred Couples,60,"9' 5""",1439.5,153
186,T184,T184,Padraig Harrington,52,"9' 5""",1003.75,107
187,T184,T184,Omar Uresti,74,"9' 5""",1653.0829999999999,176
188,189,189,Stuart Appleby,87,"9' 4""",1996.0,213
189,T190,T190,Justin Bolli,87,"9' 3""",1945.9170000000001,211
190,T190,T190,Shigeki Maruyama,50,"9' 3""",973.75,105
191,T190,T190,Tom Scherrer,56,"9' 3""",1169.917,126
192,T190,T190,Bubba Watson,97,"9' 3""",2327.75,252
193,194,194,Travis Perkins,53,"9' 2""",885.5830000000001,97
194,T195,T195,Brett Rumford,72,"8' 11""",1655.75,185
195,T195,T195,Charles Warren,79,"8' 11""",1782.5829999999999,199
196,197,197,David Duval,51,"8' 5""",843.5830000000001,100
