,3-Putt_Avoidance_-_Round_1_RANK THIS WEEK,3-Putt_Avoidance_-_Round_1_RANK LAST WEEK,3-Putt_Avoidance_-_Round_1_PLAYER NAME,3-Putt_Avoidance_-_Round_1_%,3-Putt_Avoidance_-_Round_1_TOTAL 3 PUTTS,3-Putt_Avoidance_-_Round_1_TOTAL HOLES
0,1,1,Geoff Ogilvy,0.88,3,342
1,2,2,Gavin Coles,1.04,3,288
2,3,3,Cody Freeman,1.07,5,468
3,4,4,Tim Wilkinson,1.15,6,522
4,5,5,Mark Wilson,1.34,7,522
5,6,6,Ken Duke,1.35,8,594
6,7,7,Tommy Armour III,1.39,6,432
7,8,8,Paul Claxton,1.45,6,414
8,9,9,Ben Curtis,1.52,6,396
9,T10,T10,Brett Quigley,1.56,7,450
10,T10,T10,Dean Wilson,1.56,9,576
11,12,12,Aaron Baddeley,1.59,6,378
12,13,13,Brian Gay,1.61,9,558
13,T14,T14,Justin Leonard,1.62,7,432
14,T14,T14,Nick O'Hern,1.62,7,432
15,16,16,Chris Riley,1.63,5,306
16,17,17,Doug LaBelle II,1.77,7,396
17,T18,T18,Briny Baird,1.85,10,540
18,T18,T18,John Huston,1.85,6,324
19,20,20,Patrick Sheehan,1.9,12,630
20,21,21,Kenny Perry,1.92,9,468
21,22,22,Bart Bryant,1.93,8,414
22,23,23,Shane Bertsch,1.98,10,504
23,24,24,Stewart Cink,2.02,8,396
24,25,25,Glen Day,2.05,7,342
25,T26,T26,Matt Kuchar,2.06,10,486
26,T26,T26,Parker McLachlin,2.06,10,486
27,T28,T28,Alejandro Cañizares,2.08,6,288
28,T28,T28,Zach Johnson,2.08,9,432
29,T28,T28,Bo Van Pelt,2.08,12,576
30,31,31,Marc Turnesa,2.11,11,522
31,32,32,Daniel Chopra,2.14,10,468
32,33,33,Jeff Gove,2.16,7,324
33,T34,T34,Kent Jones,2.17,9,414
34,T34,T34,Scott Verplank,2.17,9,414
35,T36,T36,James Driscoll,2.18,11,504
36,T36,T36,Lee Janzen,2.18,11,504
37,T36,T36,Scott Sterling,2.18,11,504
38,39,39,Olin Browne,2.26,11,486
39,40,40,Y.E. Yang,2.3,12,522
40,41,41,Mike Weir,2.31,10,432
41,42,42,Andres Romero,2.34,8,342
42,43,43,Kyle Thompson,2.35,11,468
43,44,44,Jin Park,2.41,13,540
44,45,45,Ben Crane,2.44,11,450
45,46,46,J.J. Henry,2.45,15,612
46,47,47,John Mallinger,2.49,13,522
47,T48,T48,K.J. Choi,2.5,9,360
48,T48,T48,Corey Pavin,2.5,9,360
49,T48,T48,Tom Scherrer,2.5,9,360
50,T48,T48,Bob Tway,2.5,9,360
51,52,52,Eric Axley,2.54,16,630
52,T53,T53,Chad Collins,2.55,11,432
53,T53,T53,Freddie Jacobson,2.55,11,432
54,T55,T55,Jason Day,2.58,13,504
55,T55,T55,Todd Hamilton,2.58,13,504
56,T55,T55,Tim Herron,2.58,13,504
57,T55,T55,Cliff Kresge,2.58,13,504
58,59,59,Frank Lickliter II,2.6,15,576
59,T60,T60,Stephen Leaney,2.61,8,306
60,T60,T60,Shigeki Maruyama,2.61,8,306
61,T62,T62,Marco Dawson,2.65,10,378
62,T62,T62,Greg Kraft,2.65,10,378
63,T62,T62,Steve Stricker,2.65,10,378
64,T62,T62,Camilo Villegas,2.65,10,378
65,66,66,Brad Elder,2.66,11,414
66,T67,T67,Carlos Franco,2.67,12,450
67,T67,T67,Jim Furyk,2.67,12,450
68,69,69,Michael Letzig,2.68,14,522
69,T70,T70,Jonathan Byrd,2.78,13,468
70,T70,T70,Dudley Hart,2.78,11,396
71,T70,T70,Jerry Kelly,2.78,15,540
72,T70,T70,Ian Poulter,2.78,7,252
73,T70,T70,Bob Sowards,2.78,11,396
74,T75,T75,Brad Adamonis,2.87,15,522
75,T75,T75,Steve Flesch,2.87,15,522
76,T77,T77,Alex Cejka,2.89,13,450
77,T77,T77,Todd Demsey,2.89,13,450
78,T77,T77,Brandt Snedeker,2.89,13,450
79,T80,T80,Stephen Ames,2.9,12,414
80,T80,T80,Craig Kanada,2.9,12,414
81,82,82,Richard Johnson,2.91,11,378
82,83,83,David Toms,2.92,10,342
83,84,84,Jon Mills,2.95,17,576
84,T85,T85,Dustin Johnson,2.96,16,540
85,T85,T85,Tom Pernice Jr.,2.96,16,540
86,87,87,Jeff Quinney,2.98,15,504
87,88,88,J.P. Hayes,2.99,14,468
88,T89,T89,Ryan Moore,3.01,13,432
89,T89,T89,John Riegger,3.01,13,432
90,91,91,Anthony Kim,3.03,12,396
91,T92,T92,Bill Haas,3.05,17,558
92,T92,T92,Matt Jones,3.05,17,558
93,94,94,Phil Mickelson,3.06,11,360
94,T95,T95,Woody Austin,3.07,16,522
95,T95,T95,Nick Flanagan,3.07,16,522
96,T95,T95,Jesper Parnevik,3.07,16,522
97,T98,T98,Michael Allen,3.09,15,486
98,T98,T98,Charlie Wi,3.09,15,486
99,T100,T100,Kenneth Ferrie,3.11,14,450
100,T100,T100,Ryuji Imada,3.11,14,450
101,T102,T102,Justin Bolli,3.17,16,504
102,T102,T102,Padraig Harrington,3.17,8,252
103,T102,T102,Trevor Immelman,3.17,12,378
104,T105,T105,Martin Laird,3.26,17,522
105,T105,T105,Joe Ogilvie,3.26,17,522
106,T105,T105,Charles Warren,3.26,17,522
107,T108,T108,Mathew Goggin,3.29,16,486
108,T108,T108,Rocco Mediate,3.29,16,486
109,T108,T108,D.J. Trahan,3.29,16,486
110,T111,T111,Jeff Overton,3.3,19,576
111,T111,T111,Vaughn Taylor,3.3,19,576
112,T113,T113,Ernie Els,3.33,9,270
113,T113,T113,Peter Lonard,3.33,18,540
114,T113,T113,Chez Reavie,3.33,18,540
115,116,116,Chad Campbell,3.37,17,504
116,117,117,Travis Perkins,3.38,14,414
117,118,118,Sergio Garcia,3.4,11,324
118,T119,T119,Lucas Glover,3.42,16,468
119,T119,T119,Brett Rumford,3.42,16,468
120,T119,T119,Kevin Sutherland,3.42,16,468
121,T122,T122,George McNeill,3.45,18,522
122,T122,T122,Kevin Na,3.45,18,522
123,T124,T124,Brenden Pappas,3.47,15,432
124,T124,T124,Kevin Streelman,3.47,20,576
125,T124,T124,Jimmy Walker,3.47,15,432
126,127,127,Rod Pampling,3.5,17,486
127,T128,T128,Charles Howell III,3.52,19,540
128,T128,T128,Troy Matteson,3.52,19,540
129,130,130,Stuart Appleby,3.54,14,396
130,T131,T131,Steve Elkington,3.56,16,450
131,T131,T131,Paul Goydos,3.56,16,450
132,T133,T133,Tim Clark,3.63,17,468
133,T133,T133,Jim McGovern,3.63,17,468
134,T133,T133,Johnson Wagner,3.63,17,468
135,T136,T136,Charley Hoffman,3.64,19,522
136,T136,T136,Richard Johnson,3.64,19,522
137,138,138,Tim Petrovic,3.65,21,576
138,139,139,Will MacKenzie,3.7,14,378
139,T140,T140,Cameron Beckman,3.77,19,504
140,T140,T140,Jeff Maggert,3.77,19,504
141,T142,T142,J.B. Holmes,3.78,17,450
142,T142,T142,Steve Lowery,3.78,17,450
143,144,144,Ryan Palmer,3.79,15,396
144,T145,T145,Chris DiMarco,3.83,20,522
145,T145,T145,Billy Mayfair,3.83,20,522
146,T147,T147,Robert Allenby,3.91,19,486
147,T147,T147,Nick Watney,3.91,19,486
148,T149,T149,Ryan Armour,3.94,22,558
149,T149,T149,Jason Gore,3.94,22,558
150,T149,T149,Omar Uresti,3.94,17,432
151,152,152,Steve Allan,3.97,15,378
152,153,153,Steve Marino,3.99,23,576
153,154,154,Hunter Mahan,4.0,18,450
154,T155,T155,Carl Pettersson,4.02,21,522
155,T155,T155,Tag Ridings,4.02,21,522
156,T155,T155,Chris Stroud,4.02,21,522
157,T155,T155,Bubba Watson,4.02,21,522
158,T159,T159,Mark Calcavecchia,4.04,16,396
159,T159,T159,Scott McCarron,4.04,16,396
160,T159,T159,Rory Sabbatini,4.04,16,396
161,T159,T159,Vijay Singh,4.04,16,396
162,163,163,Pat Perez,4.06,19,468
163,164,164,Brandt Jobe,4.09,14,342
164,T165,T165,John Merrick,4.17,21,504
165,T165,T165,John Rollins,4.17,21,504
166,T167,T167,Brian Davis,4.21,25,594
167,T167,T167,Heath Slocum,4.21,22,522
168,169,169,Nathan Green,4.26,23,540
169,170,170,Ron Whittaker,4.29,17,396
170,171,171,Jay Williamson,4.34,25,576
171,T172,T172,Tommy Gainey,4.4,19,432
172,T172,T172,Ted Purdy,4.4,19,432
173,174,174,Kevin Stadler,4.44,24,540
174,175,175,Nicholas Thompson,4.48,29,648
175,176,176,Ángel Cabrera,4.51,13,288
176,T177,T177,Rich Beem,4.56,23,504
177,T177,T177,Joe Durant,4.56,23,504
178,179,179,Boo Weekley,4.59,19,414
179,180,180,Billy Andrade,4.63,20,432
180,181,181,Sean O'Hair,4.67,21,450
181,182,182,David Duval,4.68,16,342
182,183,183,Mark Hensby,4.7,22,468
183,T184,T184,Fred Couples,4.94,16,324
184,T184,T184,John Senden,4.94,24,486
185,T186,T186,Bob Estes,5.16,26,504
186,T186,T186,Adam Scott,5.16,13,252
187,T188,T188,Retief Goosen,5.23,16,306
188,T188,T188,Tom Lehman,5.23,16,306
189,190,190,Davis Love III,5.31,22,414
190,191,191,Robert Gamez,5.34,25,468
191,192,192,Mathias Grönberg,5.37,29,540
192,193,193,Robert Garrigus,5.56,29,522
193,194,194,Harrison Frazar,5.8,24,414
194,195,195,David Lutterus,6.04,25,414
195,196,196,Jason Allred,6.52,27,414
196,197,197,Paul Casey,7.78,21,270
