,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
0,1,1,Padraig Harrington,52,43.56,392,900
1,2,2,Nathan Green,95,43.33,741,1710
2,3,3,Daniel Chopra,84,43.17,645,1494
3,4,4,Jeff Quinney,87,42.15,660,1566
4,5,5,John Mallinger,95,42.11,720,1710
5,6,6,Corey Pavin,69,42.03,522,1242
6,7,7,Aaron Baddeley,76,41.93,551,1314
7,8,8,Stuart Appleby,87,41.8,632,1512
8,9,9,Kevin Na,97,41.7,728,1746
9,10,10,Richard Johnson,77,41.34,573,1386
10,11,11,Ryuji Imada,80,41.32,595,1440
11,12,12,Andres Romero,69,41.21,497,1206
12,13,13,Tom Pernice Jr.,104,40.87,765,1872
13,14,14,Ryan Moore,72,40.74,528,1296
14,15,15,Steve Lowery,74,40.62,541,1332
15,16,16,Mike Weir,88,40.61,636,1566
16,17,17,Phil Mickelson,80,40.6,570,1404
17,18,18,Tim Clark,90,40.51,649,1602
18,19,19,Jesper Parnevik,88,40.34,639,1584
19,T20,T20,Eric Axley,113,40.31,820,2034
20,T20,T20,Ben Crane,86,40.31,624,1548
21,T20,T20,Freddie Jacobson,78,40.31,566,1404
22,T23,T23,Carl Pettersson,110,40.25,797,1980
23,T23,T23,Ian Poulter,51,40.25,355,882
24,25,25,Vaughn Taylor,103,40.24,746,1854
25,26,26,Brian Davis,108,40.17,781,1944
26,27,27,Nick O'Hern,82,40.14,578,1440
27,28,28,Shane Bertsch,96,40.1,693,1728
28,T29,T29,Anthony Kim,81,40.05,584,1458
29,T29,T29,Steve Stricker,75,40.05,519,1296
30,31,31,Ken Duke,116,39.99,835,2088
31,32,32,Brian Gay,102,39.76,730,1836
32,33,33,Jonathan Byrd,88,39.74,608,1530
33,34,34,Camilo Villegas,79,39.67,557,1404
34,35,35,Bob Tway,70,39.6,499,1260
35,36,36,Justin Leonard,101,39.59,677,1710
36,37,37,Geoff Ogilvy,65,39.58,456,1152
37,38,38,Frank Lickliter II,107,39.56,762,1926
38,39,39,J.B. Holmes,86,39.54,605,1530
39,40,40,Steve Flesch,95,39.53,676,1710
40,41,41,Joe Ogilvie,100,39.39,709,1800
41,42,42,Retief Goosen,59,39.37,411,1044
42,43,43,Scott McCarron,63,39.24,445,1134
43,44,44,Brandt Snedeker,85,39.22,593,1512
44,45,45,Paul Goydos,78,39.17,550,1404
45,46,46,Mark Wilson,107,39.15,754,1926
46,47,47,J.P. Hayes,67,39.14,472,1206
47,48,48,Marc Turnesa,87,39.08,612,1566
48,49,49,Jason Day,81,38.96,568,1458
49,50,50,Charlie Wi,97,38.95,680,1746
50,51,51,Tim Herron,97,38.83,678,1746
51,52,52,Dudley Hart,74,38.74,516,1332
52,53,53,John Rollins,94,38.71,655,1692
53,54,54,Matt Jones,95,38.6,660,1710
54,55,55,Chad Collins,72,38.58,500,1296
55,56,56,Tag Ridings,88,38.57,611,1584
56,57,57,Chris DiMarco,87,38.51,603,1566
57,58,58,Stewart Cink,87,38.48,561,1458
58,59,59,Ernie Els,51,38.44,346,900
59,60,60,Scott Verplank,82,38.41,560,1458
60,61,61,David Duval,51,38.34,352,918
61,62,62,Mark Hensby,71,38.26,489,1278
62,63,63,Davis Love III,78,38.25,537,1404
63,64,64,K.J. Choi,74,38.17,481,1260
64,65,65,Todd Hamilton,92,38.16,632,1656
65,66,66,Steve Elkington,84,38.03,575,1512
66,67,67,Johnson Wagner,83,38.02,568,1494
67,68,68,Rod Pampling,83,37.99,547,1440
68,69,69,Parker McLachlin,88,37.88,600,1584
69,T70,T70,Jason Gore,94,37.83,640,1692
70,T70,T70,David Toms,70,37.83,463,1224
71,72,72,Pat Perez,93,37.8,626,1656
72,73,73,Kevin Sutherland,98,37.76,666,1764
73,74,74,Rocco Mediate,87,37.74,591,1566
74,75,75,Jeff Maggert,86,37.73,584,1548
75,76,76,Will MacKenzie,62,37.72,421,1116
76,77,77,Kenny Perry,97,37.69,658,1746
77,T78,T78,Mark Calcavecchia,67,37.63,447,1188
78,T78,T78,Michael Letzig,88,37.63,596,1584
79,T78,T78,Patrick Sheehan,124,37.63,840,2232
80,81,81,Stephen Ames,83,37.6,555,1476
81,82,82,Chad Campbell,94,37.59,636,1692
82,83,83,Brett Rumford,72,37.58,487,1296
83,84,84,Dean Wilson,109,37.56,737,1962
84,85,85,Rory Sabbatini,77,37.5,513,1368
85,86,86,Bart Bryant,81,37.45,546,1458
86,87,87,Todd Demsey,80,37.43,539,1440
87,88,88,Fred Couples,60,37.41,404,1080
88,T89,T89,Sergio Garcia,72,37.3,470,1260
89,T89,T89,Lucas Glover,91,37.3,611,1638
90,T91,T91,Mathias Grönberg,87,37.23,583,1566
91,T91,T91,D.J. Trahan,94,37.23,630,1692
92,93,93,Adam Scott,51,37.19,328,882
93,94,94,Craig Kanada,65,37.18,435,1170
94,95,95,Jim Furyk,95,37.17,629,1692
95,96,96,Jeff Overton,103,37.16,689,1854
96,97,97,Y.E. Yang,89,37.08,594,1602
97,98,98,Michael Allen,91,37.0,606,1638
98,99,99,Vijay Singh,82,36.89,518,1404
99,T100,T100,Ryan Palmer,69,36.88,458,1242
100,T100,T100,Tim Petrovic,97,36.88,644,1746
101,102,102,Nicholas Thompson,113,36.87,750,2034
102,103,103,Greg Kraft,63,36.86,418,1134
103,104,104,Charley Hoffman,94,36.82,623,1692
104,105,105,Zach Johnson,85,36.77,556,1512
105,106,106,Ben Curtis,80,36.74,529,1440
106,107,107,Rich Beem,90,36.73,595,1620
107,T108,T108,Tommy Armour III,77,36.65,508,1386
108,T108,T108,Dustin Johnson,92,36.65,607,1656
109,110,110,Nick Watney,96,36.57,632,1728
110,111,111,Robert Garrigus,90,36.54,592,1620
111,112,112,George McNeill,97,36.48,637,1746
112,113,113,Brenden Pappas,66,36.45,433,1188
113,114,114,Woody Austin,109,36.4,688,1890
114,115,115,Bill Haas,99,36.36,648,1782
115,116,116,Cody Freeman,66,36.2,430,1188
116,117,117,Steve Marino,119,36.18,775,2142
117,118,118,Matt Kuchar,88,36.17,573,1584
118,T119,T119,Peter Lonard,92,36.11,598,1656
119,T119,T119,Chez Reavie,102,36.11,663,1836
120,121,121,Martin Laird,98,36.05,636,1764
121,122,122,Mathew Goggin,91,36.02,590,1638
122,123,123,Omar Uresti,74,35.96,479,1332
123,124,124,Ángel Cabrera,55,35.95,330,918
124,125,125,Shigeki Maruyama,50,35.89,323,900
125,126,126,Sean O'Hair,81,35.87,523,1458
126,127,127,Tom Lehman,51,35.84,329,918
127,128,128,Charles Howell III,101,35.8,638,1782
128,T129,T129,Robert Gamez,79,35.79,509,1422
129,T129,T129,Tim Wilkinson,95,35.79,612,1710
130,131,131,Brett Quigley,80,35.76,515,1440
131,T132,T132,Bob Estes,90,35.68,578,1620
132,T132,T132,Heath Slocum,104,35.68,668,1872
133,134,134,Lee Janzen,89,35.64,571,1602
134,135,135,Nick Flanagan,89,35.58,570,1602
135,T136,T136,Jerry Kelly,89,35.54,563,1584
136,T136,T136,Billy Mayfair,103,35.54,659,1854
137,138,138,Kevin Streelman,114,35.48,728,2052
138,139,139,Bo Van Pelt,101,35.37,643,1818
139,140,140,Stephen Leaney,53,35.32,337,954
140,T141,T141,Trevor Immelman,70,35.29,432,1224
141,T141,T141,Chris Riley,51,35.29,324,918
142,143,143,Troy Matteson,94,35.28,597,1692
143,T144,T144,Marco Dawson,64,35.16,405,1152
144,T144,T144,Brad Elder,67,35.16,424,1206
145,146,146,Brandt Jobe,52,35.15,329,936
146,147,147,James Driscoll,85,35.1,537,1530
147,148,148,Jason Allred,63,35.01,397,1134
148,149,149,Boo Weekley,86,34.81,520,1494
149,150,150,Ryan Armour,87,34.8,545,1566
150,151,151,Jimmy Walker,73,34.78,457,1314
151,152,152,Bubba Watson,97,34.77,607,1746
152,153,153,Robert Allenby,108,34.68,668,1926
153,154,154,Glen Day,64,34.55,398,1152
154,155,155,Cliff Kresge,84,34.52,522,1512
155,156,156,Hunter Mahan,87,34.51,528,1530
156,157,157,Brad Adamonis,87,34.48,540,1566
157,158,158,Alex Cejka,75,34.44,465,1350
158,159,159,Cameron Beckman,87,34.42,539,1566
159,160,160,Paul Casey,55,34.4,322,936
160,161,161,John Huston,56,34.23,345,1008
161,162,162,Jin Park,85,34.18,523,1530
162,163,163,Doug LaBelle II,65,34.1,399,1170
163,164,164,Carlos Franco,73,34.02,447,1314
164,165,165,Tom Scherrer,56,33.93,342,1008
165,166,166,Charles Warren,79,33.83,481,1422
166,167,167,Bob Sowards,61,33.79,371,1098
167,168,168,John Senden,93,33.76,559,1656
168,169,169,John Riegger,73,33.71,443,1314
169,170,170,Kent Jones,68,33.66,412,1224
170,171,171,Alejandro Cañizares,52,33.65,315,936
171,172,172,J.J. Henry,108,33.59,653,1944
172,173,173,Kevin Stadler,90,33.58,544,1620
173,T174,T174,Briny Baird,113,33.33,678,2034
174,T174,T174,Olin Browne,77,33.33,462,1386
175,176,176,Scott Sterling,89,33.27,533,1602
176,177,177,Kyle Thompson,70,33.17,418,1260
177,178,178,Justin Bolli,87,32.95,516,1566
178,179,179,John Merrick,98,32.88,580,1764
179,180,180,Jim McGovern,75,32.81,443,1350
180,181,181,Kenneth Ferrie,72,32.79,425,1296
181,182,182,Billy Andrade,71,32.71,418,1278
182,183,183,Jon Mills,95,32.69,559,1710
183,184,184,David Lutterus,59,32.67,347,1062
184,185,185,Gavin Coles,54,32.41,315,972
185,186,186,Travis Perkins,53,32.29,308,954
186,187,187,Paul Claxton,63,32.28,366,1134
187,188,188,Richard Johnson,60,31.94,345,1080
188,189,189,Chris Stroud,81,31.82,464,1458
189,190,190,Ted Purdy,68,31.45,385,1224
190,191,191,Jeff Gove,50,31.44,283,900
191,192,192,Steve Allan,58,31.32,327,1044
192,193,193,Harrison Frazar,73,31.28,411,1314
193,194,194,Tommy Gainey,60,31.2,337,1080
194,195,195,Ron Whittaker,54,30.97,301,972
195,196,196,Jay Williamson,96,30.96,535,1728
196,197,197,Joe Durant,92,29.53,489,1656
