,GIR_Putting_-_5-10_RANK THIS WEEK,GIR_Putting_-_5-10_RANK LAST WEEK,GIR_Putting_-_5-10_PLAYER NAME,GIR_Putting_-_5-10_ROUNDS,GIR_Putting_-_5-10_%,GIR_Putting_-_5-10_ATTEMPTS,GIR_Putting_-_5-10_PUTTS MADE
0,1,1,Shigeki Maruyama,50,63.64,55,35
1,2,2,Marc Turnesa,87,60.94,128,78
2,3,3,Jason Allred,63,60.23,88,53
3,4,4,Stewart Cink,87,60.19,108,65
4,T5,T5,Aaron Baddeley,76,60.0,110,66
5,T5,T5,Ben Curtis,80,60.0,110,66
6,7,7,Justin Leonard,101,58.94,151,89
7,8,8,Padraig Harrington,52,58.82,51,30
8,9,9,Ian Poulter,51,58.62,58,34
9,10,10,Anthony Kim,81,58.57,140,82
10,11,11,Corey Pavin,69,58.33,108,63
11,12,12,Dudley Hart,74,57.76,116,67
12,13,13,Vaughn Taylor,103,57.75,187,108
13,14,14,Freddie Jacobson,78,57.52,113,65
14,15,15,Dean Wilson,109,57.49,167,96
15,16,16,Brad Elder,67,57.14,84,48
16,17,17,John Rollins,94,56.93,137,78
17,18,18,Kenny Perry,97,56.1,164,92
18,19,19,Brenden Pappas,66,55.96,109,61
19,20,20,Carl Pettersson,110,55.78,199,111
20,21,21,Jesper Parnevik,88,55.65,115,64
21,22,22,Jim Furyk,95,55.56,126,70
22,23,23,Ryan Moore,72,55.26,114,63
23,24,24,Joe Ogilvie,100,54.88,164,90
24,25,25,Nick O'Hern,82,54.7,117,64
25,26,26,Steve Marino,119,54.64,194,106
26,27,27,Jason Day,81,54.35,138,75
27,28,28,Chris DiMarco,87,54.29,140,76
28,T29,T29,Stuart Appleby,87,54.2,131,71
29,T29,T29,Mike Weir,88,54.2,131,71
30,31,31,Steve Allan,58,54.02,87,47
31,32,32,Nathan Green,95,54.0,150,81
32,33,33,Ryan Palmer,69,53.96,139,75
33,34,34,Carlos Franco,73,53.92,102,55
34,35,35,Retief Goosen,59,53.85,78,42
35,T36,T36,Robert Allenby,108,53.8,158,85
36,T36,T36,George McNeill,97,53.8,171,92
37,T38,T38,Mathew Goggin,91,53.74,147,79
38,T38,T38,Zach Johnson,85,53.74,147,79
39,T38,T38,Tag Ridings,88,53.74,147,79
40,41,41,Chad Campbell,94,53.49,172,92
41,42,42,Sergio Garcia,72,53.47,101,54
42,43,43,Ben Crane,86,53.28,137,73
43,44,44,Frank Lickliter II,107,53.27,199,106
44,45,45,Michael Allen,91,53.25,154,82
45,46,46,Steve Elkington,84,53.24,139,74
46,47,47,Tim Herron,97,53.15,143,76
47,48,48,Eric Axley,113,53.05,164,87
48,49,49,Scott Sterling,89,53.03,132,70
49,50,50,J.J. Henry,108,52.87,174,92
50,51,51,Daniel Chopra,84,52.54,118,62
51,T52,T52,David Duval,51,52.38,84,44
52,T52,T52,Jerry Kelly,89,52.38,126,66
53,54,54,Richard Johnson,77,52.34,107,56
54,55,55,K.J. Choi,74,52.17,92,48
55,56,56,Jeff Quinney,87,52.11,142,74
56,57,57,Mark Wilson,107,52.06,194,101
57,58,58,Steve Stricker,75,52.04,98,51
58,59,59,Bob Tway,70,51.97,127,66
59,T60,T60,Fred Couples,60,51.79,112,58
60,T60,T60,Robert Garrigus,90,51.79,168,87
61,62,62,John Huston,56,51.75,114,59
62,63,63,Todd Demsey,80,51.67,120,62
63,T64,T64,James Driscoll,85,51.61,124,64
64,T64,T64,David Lutterus,59,51.61,93,48
65,T64,T64,Nicholas Thompson,113,51.61,186,96
66,67,67,Doug LaBelle II,65,51.55,97,50
67,68,68,Chez Reavie,102,51.5,167,86
68,69,69,Travis Perkins,53,51.43,70,36
69,70,70,Gavin Coles,54,51.35,74,38
70,71,71,Brett Rumford,72,51.33,113,58
71,72,72,David Toms,70,51.28,117,60
72,73,73,Y.E. Yang,89,51.27,158,81
73,74,74,Johnson Wagner,83,51.26,119,61
74,75,75,Tom Pernice Jr.,104,51.22,164,84
75,76,76,Paul Claxton,63,51.19,84,43
76,77,77,Matt Kuchar,88,51.16,129,66
77,78,78,Kevin Sutherland,98,51.01,149,76
78,79,79,Marco Dawson,64,50.96,104,53
79,80,80,Kent Jones,68,50.91,110,56
