,Putting_from_-__25_RANK THIS WEEK,Putting_from_-__25_RANK LAST WEEK,Putting_from_-__25_PLAYER NAME,Putting_from_-__25_ROUNDS,Putting_from_-__25_% MADE,Putting_from_-__25_ATTEMPTS,Putting_from_-__25_PUTTS MADE
0,1,1,Corey Pavin,69,10.57,227,24
1,2,2,Jeff Quinney,87,8.97,301,27
2,3,3,Matt Kuchar,88,8.5,294,25
3,4,4,Camilo Villegas,79,8.42,273,23
4,5,5,Bob Tway,70,8.37,215,18
5,6,6,J.P. Hayes,67,8.33,276,23
6,7,7,Scott McCarron,63,8.26,242,20
7,8,8,Rory Sabbatini,77,8.12,271,22
8,9,9,Steve Stricker,75,8.06,248,20
9,10,10,Retief Goosen,59,7.93,164,13
10,11,11,Steve Elkington,84,7.87,305,24
11,T12,T12,Mark Hensby,71,7.83,281,22
12,T12,T12,Ryuji Imada,80,7.83,281,22
13,14,14,John Mallinger,95,7.79,308,24
14,15,15,Stewart Cink,87,7.64,288,22
15,T16,T16,Woody Austin,109,7.63,354,27
16,T16,T16,Jesper Parnevik,88,7.63,354,27
17,18,18,Mark Calcavecchia,67,7.61,197,15
18,19,19,Tim Petrovic,97,7.54,345,26
19,20,20,Steve Lowery,74,7.43,296,22
20,21,21,Matt Jones,95,7.41,378,28
21,22,22,Marco Dawson,64,7.32,205,15
22,23,23,Steve Marino,119,7.17,502,36
23,24,24,Rich Beem,90,7.14,308,22
24,25,25,Chad Campbell,94,7.07,368,26
25,T26,T26,Ryan Armour,87,7.02,342,24
26,T26,T26,Parker McLachlin,88,7.02,356,25
27,28,28,Mathias Grönberg,87,6.96,345,24
28,29,29,Marc Turnesa,87,6.95,331,23
29,T30,T30,K.J. Choi,74,6.93,274,19
30,T30,T30,Patrick Sheehan,124,6.93,433,30
31,32,32,Vijay Singh,82,6.91,246,17
32,33,33,Ben Crane,86,6.9,319,22
33,34,34,Craig Kanada,65,6.86,204,14
34,35,35,Andres Romero,69,6.84,190,13
35,36,36,Peter Lonard,92,6.82,352,24
36,37,37,Todd Hamilton,92,6.81,323,22
37,38,38,David Toms,70,6.8,206,14
38,39,39,Nick O'Hern,82,6.71,298,20
39,40,40,Doug LaBelle II,65,6.7,224,15
40,41,41,Hunter Mahan,87,6.69,359,24
41,42,42,Padraig Harrington,52,6.6,106,7
42,T43,T43,Ryan Moore,72,6.59,258,17
43,T43,T43,Kevin Na,97,6.59,364,24
44,45,45,Glen Day,64,6.56,244,16
45,46,46,Daniel Chopra,84,6.51,261,17
46,47,47,Pat Perez,93,6.49,370,24
47,48,48,Bob Sowards,61,6.47,232,15
48,49,49,Chad Collins,72,6.46,263,17
49,50,50,Paul Goydos,78,6.43,249,16
50,T51,T51,Nick Flanagan,89,6.4,344,22
51,T51,T51,Mark Wilson,107,6.4,484,31
52,53,53,Jeff Overton,103,6.37,408,26
53,54,54,Bill Haas,99,6.35,441,28
54,55,55,Freddie Jacobson,78,6.32,269,17
55,56,56,James Driscoll,85,6.3,349,22
56,57,57,Jeff Maggert,86,6.29,334,21
57,T58,T58,Tommy Gainey,60,6.28,191,12
58,T58,T58,Kyle Thompson,70,6.28,239,15
59,60,60,Shane Bertsch,96,6.25,336,21
60,61,61,Joe Durant,92,6.19,388,24
61,62,62,Adam Scott,51,6.16,146,9
62,63,63,Phil Mickelson,80,6.14,228,14
63,64,64,Carl Pettersson,110,6.1,426,26
64,65,65,Jeff Gove,50,6.09,197,12
65,66,66,Tim Wilkinson,95,6.02,332,20
66,67,67,Jay Williamson,96,6.0,350,21
