,GIR_Putting_-_Inside_5_RANK THIS WEEK,GIR_Putting_-_Inside_5_RANK LAST WEEK,GIR_Putting_-_Inside_5_PLAYER NAME,GIR_Putting_-_Inside_5_ROUNDS,GIR_Putting_-_Inside_5_%,GIR_Putting_-_Inside_5_ATTEMPTS,GIR_Putting_-_Inside_5_PUTTS MADE
0,1,1,Alejandro Cañizares,52,100.0,16,16
1,2,2,Tim Clark,90,97.78,45,44
2,T3,T3,Retief Goosen,59,95.24,21,20
3,T3,T3,Scott McCarron,63,95.24,21,20
4,5,5,Aaron Baddeley,76,94.87,39,37
5,6,6,Ian Poulter,51,94.44,18,17
6,7,7,Peter Lonard,92,93.18,44,41
7,8,8,Jerry Kelly,89,92.68,41,38
8,9,9,Brian Gay,102,92.59,54,50
9,10,10,Joe Ogilvie,100,91.53,59,54
10,T11,T11,Kenny Perry,97,91.3,46,42
11,T11,T11,Dean Wilson,109,91.3,46,42
12,T13,T13,Eric Axley,113,90.91,44,40
13,T13,T13,Doug LaBelle II,65,90.91,22,20
14,15,15,Parker McLachlin,88,90.24,41,37
15,16,16,Nathan Green,95,90.2,51,46
16,T17,T17,Paul Casey,55,90.0,20,18
17,T17,T17,Todd Demsey,80,90.0,40,36
18,T17,T17,Richard Johnson,60,90.0,20,18
19,T17,T17,Greg Kraft,63,90.0,30,27
20,21,21,Bill Haas,99,89.8,49,44
21,22,22,Jesper Parnevik,88,89.58,48,43
22,T23,T23,Shigeki Maruyama,50,89.47,19,17
23,T23,T23,Mark Wilson,107,89.47,57,51
24,25,25,Marco Dawson,64,89.29,28,25
25,T26,T26,Steve Allan,58,88.46,26,23
26,T26,T26,Omar Uresti,74,88.46,26,23
27,T28,T28,Dudley Hart,74,88.37,43,38
28,T28,T28,Anthony Kim,81,88.37,43,38
29,30,30,Kevin Sutherland,98,88.24,51,45
30,31,31,Brenden Pappas,66,88.0,25,22
31,T32,T32,Martin Laird,98,87.76,49,43
32,T32,T32,Jay Williamson,96,87.76,49,43
33,T34,T34,Stuart Appleby,87,87.5,40,35
34,T34,T34,Ken Duke,116,87.5,64,56
35,36,36,Brandt Jobe,52,87.1,31,27
36,37,37,Tommy Armour III,77,86.96,46,40
37,38,38,Bob Estes,90,86.84,38,33
38,T39,T39,Matt Jones,95,86.67,45,39
39,T39,T39,Kevin Stadler,90,86.67,45,39
40,T41,T41,Ryan Armour,87,86.36,44,38
41,T41,T41,Robert Garrigus,90,86.36,44,38
42,T41,T41,Travis Perkins,53,86.36,22,19
43,44,44,Ernie Els,51,86.21,29,25
44,T45,T45,Jason Day,81,86.11,36,31
45,T45,T45,Jin Park,85,86.11,36,31
46,47,47,Vaughn Taylor,103,85.96,57,49
47,T48,T48,K.J. Choi,74,85.71,35,30
48,T48,T48,Daniel Chopra,84,85.71,35,30
49,T48,T48,Tom Pernice Jr.,104,85.71,63,54
50,T48,T48,Ron Whittaker,54,85.71,14,12
51,T48,T48,Charlie Wi,97,85.71,49,42
52,53,53,Stewart Cink,87,85.37,41,35
53,54,54,Bart Bryant,81,85.29,34,29
54,55,55,Tom Scherrer,56,85.19,27,23
55,56,56,Freddie Jacobson,78,84.85,33,28
56,57,57,Ben Curtis,80,84.78,46,39
57,T58,T58,Charley Hoffman,94,84.75,59,50
58,T58,T58,Charles Howell III,101,84.75,59,50
59,60,60,Justin Bolli,87,84.62,39,33
60,61,61,Ryan Moore,72,84.38,32,27
61,62,62,Craig Kanada,65,84.21,19,16
62,63,63,Kevin Na,97,84.0,50,42
63,T64,T64,Sean O'Hair,81,83.87,31,26
64,T64,T64,Corey Pavin,69,83.87,31,26
65,66,66,Phil Mickelson,80,83.78,37,31
66,67,67,John Merrick,98,83.72,43,36
67,T68,T68,Cameron Beckman,87,83.67,49,41
68,T68,T68,John Mallinger,95,83.67,49,41
69,T70,T70,Ángel Cabrera,55,83.33,24,20
70,T70,T70,Chad Collins,72,83.33,42,35
71,T70,T70,Ben Crane,86,83.33,36,30
72,T70,T70,Glen Day,64,83.33,30,25
73,T70,T70,Steve Flesch,95,83.33,54,45
74,T70,T70,Stephen Leaney,53,83.33,12,10
75,T70,T70,Pat Perez,93,83.33,48,40
76,T70,T70,D.J. Trahan,94,83.33,48,40
77,78,78,Jason Gore,94,83.02,53,44
78,T79,T79,Stephen Ames,83,82.93,41,34
79,T79,T79,David Toms,70,82.93,41,34
80,T81,T81,Tommy Gainey,60,82.76,29,24
81,T81,T81,Geoff Ogilvy,65,82.76,29,24
82,83,83,Brad Adamonis,87,82.69,52,43
83,T84,T84,Davis Love III,78,82.61,46,38
84,T84,T84,Bob Sowards,61,82.61,23,19
85,T86,T86,Paul Goydos,78,82.5,40,33
86,T86,T86,Hunter Mahan,87,82.5,40,33
87,T88,T88,Zach Johnson,85,82.35,34,28
88,T88,T88,Nick O'Hern,82,82.35,34,28
89,T88,T88,Kevin Streelman,114,82.35,68,56
90,T91,T91,Lucas Glover,91,82.22,45,37
91,T91,T91,Jeff Maggert,86,82.22,45,37
92,T91,T91,Ryan Palmer,69,82.22,45,37
93,94,94,Johnson Wagner,83,82.14,28,23
94,T95,T95,Olin Browne,77,81.82,33,27
95,T95,T95,David Lutterus,59,81.82,22,18
96,T95,T95,Steve Marino,119,81.82,55,45
97,T95,T95,Tag Ridings,88,81.82,55,45
98,T95,T95,Jimmy Walker,73,81.82,33,27
99,100,100,Bob Tway,70,81.58,38,31
100,T101,T101,Gavin Coles,54,81.48,27,22
101,T101,T101,Padraig Harrington,52,81.48,27,22
102,103,103,Steve Elkington,84,81.25,48,39
103,104,104,Chris Stroud,81,81.08,37,30
104,105,105,Michael Allen,91,80.95,42,34
105,T106,T106,Chad Campbell,94,80.85,47,38
106,T106,T106,Nick Watney,96,80.85,47,38
107,108,108,James Driscoll,85,80.77,52,42
108,109,109,John Huston,56,80.65,31,25
109,110,110,Scott Sterling,89,80.56,36,29
110,T111,T111,Harrison Frazar,73,80.49,41,33
111,T111,T111,Jeff Overton,103,80.49,41,33
112,T111,T111,Y.E. Yang,89,80.49,41,33
113,114,114,Rod Pampling,83,80.43,46,37
114,115,115,Dustin Johnson,92,80.36,56,45
115,T116,T116,J.P. Hayes,67,80.0,35,28
116,T116,T116,George McNeill,97,80.0,50,40
117,T116,T116,Nicholas Thompson,113,80.0,50,40
118,T119,T119,Michael Letzig,88,79.55,44,35
119,T119,T119,Billy Mayfair,103,79.55,44,35
120,121,121,J.B. Holmes,86,79.49,39,31
121,T122,T122,Sergio Garcia,72,79.41,34,27
122,T122,T122,Steve Lowery,74,79.41,34,27
123,124,124,Mark Calcavecchia,67,79.31,29,23
124,T125,T125,Mark Hensby,71,79.07,43,34
125,T125,T125,Troy Matteson,94,79.07,43,34
126,127,127,Shane Bertsch,96,79.03,62,49
127,T128,T128,David Duval,51,78.95,19,15
128,T128,T128,Chris Riley,51,78.95,19,15
129,130,130,Rich Beem,90,78.85,52,41
130,131,131,Boo Weekley,86,78.79,33,26
