,Total_1_Putts_-__25_RANK THIS WEEK,Total_1_Putts_-__25_RANK LAST WEEK,Total_1_Putts_-__25_PLAYER NAME,Total_1_Putts_-__25_ROUNDS,Total_1_Putts_-__25_TOTAL,Total_1_Putts_-__25_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-__25_PCT OF ALL 1-PUTTS
0,1,1,Steve Marino,119,35,706,5.0
1,2,2,Mark Wilson,107,31,730,4.2
2,3,3,Patrick Sheehan,124,29,758,3.8
3,4,4,Bill Haas,99,28,614,4.6
4,T5,T5,Woody Austin,109,27,610,4.4
5,T5,T5,Matt Jones,95,27,596,4.5
6,T5,T5,Jesper Parnevik,88,27,570,4.7
7,T5,T5,Jeff Quinney,87,27,563,4.8
8,T9,T9,Chad Campbell,94,26,582,4.5
9,T9,T9,Jeff Overton,103,26,639,4.1
10,T9,T9,Tim Petrovic,97,26,583,4.5
11,T9,T9,Carl Pettersson,110,26,713,3.6
12,T13,T13,Robert Allenby,108,25,539,4.6
13,T13,T13,Matt Kuchar,88,25,499,5.0
14,T15,T15,Ryan Armour,87,24,498,4.8
15,T15,T15,Ken Duke,116,24,770,3.1
16,T15,T15,Joe Durant,92,24,458,5.2
17,T15,T15,Steve Elkington,84,24,497,4.8
18,T15,T15,Mathias Grönberg,87,24,559,4.3
19,T15,T15,Hunter Mahan,87,24,462,5.2
20,T15,T15,Parker McLachlin,88,24,571,4.2
21,T15,T15,Corey Pavin,69,24,449,5.3
22,T15,T15,Bo Van Pelt,101,24,615,3.9
23,T24,T24,Martin Laird,98,23,586,3.9
24,T24,T24,Peter Lonard,92,23,551,4.2
25,T24,T24,John Mallinger,95,23,648,3.5
26,T24,T24,Billy Mayfair,103,23,614,3.7
27,T24,T24,Kevin Na,97,23,682,3.4
28,T24,T24,Pat Perez,93,23,555,4.1
29,T24,T24,Marc Turnesa,87,23,571,4.0
30,T31,T31,Eric Axley,113,22,736,3.0
31,T31,T31,Rich Beem,90,22,528,4.2
32,T31,T31,Stewart Cink,87,22,454,4.8
33,T31,T31,Brian Davis,108,22,736,3.0
34,T31,T31,James Driscoll,85,22,518,4.2
35,T31,T31,Nick Flanagan,89,22,541,4.1
36,T31,T31,Robert Garrigus,90,22,565,3.9
37,T31,T31,Todd Hamilton,92,22,503,4.4
38,T31,T31,J.P. Hayes,67,22,438,5.0
39,T31,T31,Ryuji Imada,80,22,501,4.4
40,T31,T31,Steve Lowery,74,22,482,4.6
41,T31,T31,Rory Sabbatini,77,22,428,5.1
42,T31,T31,Kevin Sutherland,98,22,599,3.7
43,T31,T31,Camilo Villegas,79,22,452,4.9
44,T45,T45,Briny Baird,113,21,622,3.4
45,T45,T45,Shane Bertsch,96,21,642,3.3
46,T45,T45,Ben Crane,86,21,547,3.8
47,T45,T45,Mark Hensby,71,21,443,4.7
48,T45,T45,Jeff Maggert,86,21,522,4.0
49,T45,T45,Kevin Streelman,114,21,646,3.3
50,T45,T45,Nicholas Thompson,113,21,675,3.1
51,T45,T45,Charlie Wi,97,21,611,3.4
52,T45,T45,Jay Williamson,96,21,487,4.3
53,T54,T54,Nathan Green,95,20,711,2.8
54,T54,T54,Troy Matteson,94,20,573,3.5
55,T54,T54,Scott McCarron,63,20,391,5.1
56,T54,T54,John Merrick,98,20,494,4.0
57,T54,T54,Chez Reavie,102,20,614,3.3
58,T54,T54,Steve Stricker,75,20,430,4.7
59,T54,T54,Tim Wilkinson,95,20,572,3.5
60,T61,T61,Michael Allen,91,19,522,3.6
61,T61,T61,K.J. Choi,74,19,399,4.8
62,T61,T61,Steve Flesch,95,19,571,3.3
63,T61,T61,Tim Herron,97,19,641,3.0
64,T61,T61,Charley Hoffman,94,19,593,3.2
65,T61,T61,Nick O'Hern,82,19,519,3.7
66,T61,T61,Tom Pernice Jr.,104,19,719,2.6
67,T61,T61,Kenny Perry,97,19,623,3.0
68,T61,T61,Vaughn Taylor,103,19,686,2.8
69,T61,T61,Dean Wilson,109,19,669,2.8
70,T71,T71,Bart Bryant,81,18,470,3.8
71,T71,T71,Jonathan Byrd,88,18,558,3.2
72,T71,T71,Carlos Franco,73,18,417,4.3
73,T71,T71,J.J. Henry,108,18,603,3.0
74,T71,T71,Charles Howell III,101,18,572,3.1
75,T71,T71,Jon Mills,95,18,510,3.5
76,T71,T71,Bob Tway,70,18,446,4.0
77,T78,T78,Daniel Chopra,84,17,538,3.2
78,T78,T78,Lucas Glover,91,17,557,3.1
79,T78,T78,Jason Gore,94,17,578,2.9
80,T78,T78,Dudley Hart,74,17,496,3.4
81,T78,T78,Freddie Jacobson,78,17,473,3.6
82,T78,T78,Jerry Kelly,89,17,509,3.3
83,T78,T78,George McNeill,97,17,594,2.9
84,T78,T78,Vijay Singh,82,17,429,4.0
85,T78,T78,Scott Sterling,89,17,470,3.6
86,T78,T78,Johnson Wagner,83,17,482,3.5
87,T78,T78,Nick Watney,96,17,571,3.0
88,T89,T89,Billy Andrade,71,16,383,4.2
89,T89,T89,Chad Collins,72,16,479,3.3
90,T89,T89,Glen Day,64,16,389,4.1
91,T89,T89,Chris DiMarco,87,16,532,3.0
92,T89,T89,Mathew Goggin,91,16,534,3.0
93,T89,T89,Paul Goydos,78,16,480,3.3
94,T89,T89,J.B. Holmes,86,16,497,3.2
95,T89,T89,Lee Janzen,89,16,522,3.1
