,Putts_per_Round_-_Round_5_RANK THIS WEEK,Putts_per_Round_-_Round_5_RANK LAST WEEK,Putts_per_Round_-_Round_5_PLAYER NAME,Putts_per_Round_-_Round_5_AVG,Putts_per_Round_-_Round_5_TOTAL PUTTS,Putts_per_Round_-_Round_5_TOTAL ROUNDS
0,1,1,Charlie Wi,22.0,22,1
1,2,2,D.J. Trahan,23.0,23,1
2,3,3,Charley Hoffman,24.0,24,1
3,T4,T4,Olin Browne,25.0,25,1
4,T4,T4,Joe Ogilvie,25.0,25,1
5,T4,T4,Kenny Perry,25.0,25,1
6,T4,T4,Chez Reavie,25.0,25,1
7,T8,T8,Ryan Moore,26.0,26,1
8,T8,T8,Bubba Watson,26.0,26,1
9,T10,T10,Michael Allen,27.0,27,1
10,T10,T10,Rich Beem,27.0,27,1
11,T10,T10,Brian Davis,27.0,27,1
12,T10,T10,Jeff Quinney,27.0,27,1
13,T10,T10,Nicholas Thompson,27.0,27,1
14,T15,T15,Tommy Armour III,28.0,28,1
15,T15,T15,Bart Bryant,28.0,28,1
16,T15,T15,Bill Haas,28.0,28,1
17,T15,T15,Scott McCarron,28.0,28,1
18,T15,T15,Jin Park,28.0,28,1
19,T15,T15,Kevin Sutherland,28.0,28,1
20,T21,T21,Ryan Armour,29.0,29,1
21,T21,T21,Woody Austin,29.0,29,1
22,T21,T21,Fred Couples,29.0,29,1
23,T21,T21,Lucas Glover,29.0,29,1
24,T21,T21,Paul Goydos,29.0,29,1
25,T21,T21,Michael Letzig,29.0,29,1
26,T21,T21,Frank Lickliter II,29.0,29,1
27,T21,T21,John Merrick,29.0,29,1
28,T21,T21,Scott Verplank,29.0,29,1
29,T21,T21,Mike Weir,29.0,29,1
30,T31,T31,Robert Allenby,30.0,30,1
31,T31,T31,Chad Campbell,30.0,30,1
32,T31,T31,Stewart Cink,30.0,30,1
33,T31,T31,Paul Claxton,30.0,30,1
34,T31,T31,Ken Duke,30.0,30,1
35,T31,T31,Joe Durant,30.0,30,1
36,T31,T31,Steve Flesch,30.0,30,1
37,T31,T31,Jason Gore,30.0,30,1
38,T31,T31,Ryuji Imada,30.0,30,1
39,T31,T31,Matt Jones,30.0,30,1
40,T31,T31,Anthony Kim,30.0,30,1
41,T31,T31,Jeff Maggert,30.0,30,1
42,T31,T31,Steve Marino,30.0,30,1
43,T31,T31,Rod Pampling,30.0,30,1
44,T31,T31,Tom Scherrer,30.0,30,1
45,T31,T31,Chris Stroud,30.0,30,1
46,T31,T31,Vaughn Taylor,30.0,30,1
47,T31,T31,Kyle Thompson,30.0,30,1
48,T31,T31,Johnson Wagner,30.0,30,1
49,T50,T50,Shane Bertsch,31.0,31,1
50,T50,T50,Ben Crane,31.0,31,1
51,T50,T50,Steve Elkington,31.0,31,1
52,T50,T50,Robert Gamez,31.0,31,1
53,T50,T50,Brian Gay,31.0,31,1
54,T50,T50,Mathew Goggin,31.0,31,1
55,T50,T50,Dustin Johnson,31.0,31,1
56,T50,T50,Justin Leonard,31.0,31,1
57,T50,T50,Kevin Na,31.0,31,1
58,T50,T50,Tim Petrovic,31.0,31,1
59,T50,T50,Brett Rumford,31.0,31,1
60,T50,T50,John Senden,31.0,31,1
61,T50,T50,Heath Slocum,31.0,31,1
62,T50,T50,Kevin Stadler,31.0,31,1
63,T50,T50,Charles Warren,31.0,31,1
64,T65,T65,Brad Adamonis,32.0,32,1
65,T65,T65,J.J. Henry,32.0,32,1
66,T65,T65,Martin Laird,32.0,32,1
67,T65,T65,Jesper Parnevik,32.0,32,1
68,T65,T65,Patrick Sheehan,32.0,32,1
69,T70,T70,Justin Bolli,33.0,33,1
70,T70,T70,Boo Weekley,33.0,33,1
71,T70,T70,Y.E. Yang,33.0,33,1
