,Total_1_Putts_-_5-10_RANK THIS WEEK,Total_1_Putts_-_5-10_RANK LAST WEEK,Total_1_Putts_-_5-10_PLAYER NAME,Total_1_Putts_-_5-10_ROUNDS,Total_1_Putts_-_5-10_TOTAL,Total_1_Putts_-_5-10_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_5-10_PCT OF ALL 1-PUTTS
0,1,1,Carl Pettersson,110,224,713,31.4
1,2,2,Mark Wilson,107,215,730,29.5
2,3,3,Vaughn Taylor,103,212,686,30.9
3,4,4,Dean Wilson,109,207,669,30.9
4,T5,T5,Brian Davis,108,202,736,27.4
5,T5,T5,Ken Duke,116,202,770,26.2
6,7,7,Patrick Sheehan,124,199,758,26.3
7,8,8,Frank Lickliter II,107,197,705,27.9
8,9,9,Eric Axley,113,193,736,26.2
9,10,10,Nicholas Thompson,113,190,675,28.1
10,T11,T11,Nathan Green,95,187,711,26.3
11,T11,T11,Joe Ogilvie,100,187,651,28.7
12,13,13,Tom Pernice Jr.,104,184,719,25.6
13,14,14,Steve Marino,119,181,706,25.6
14,T15,T15,J.J. Henry,108,180,603,29.9
15,T15,T15,Bo Van Pelt,101,180,615,29.3
16,17,17,Kevin Na,97,179,682,26.2
17,T18,T18,Charley Hoffman,94,174,593,29.3
18,T18,T18,Kevin Streelman,114,174,646,26.9
19,20,20,Kenny Perry,97,173,623,27.8
20,21,21,John Rollins,94,171,561,30.5
21,22,22,Jeff Overton,103,170,639,26.6
22,23,23,Tim Herron,97,168,641,26.2
23,T24,T24,Shane Bertsch,96,167,642,26.0
24,T24,T24,Tag Ridings,88,167,558,29.9
25,T26,T26,Briny Baird,113,166,622,26.7
26,T26,T26,John Mallinger,95,166,648,25.6
27,28,28,Robert Garrigus,90,164,565,29.0
28,T29,T29,Jeff Quinney,87,163,563,29.0
29,T29,T29,Tim Wilkinson,95,163,572,28.5
30,T31,T31,Chez Reavie,102,162,614,26.4
31,T31,T31,Y.E. Yang,89,162,538,30.1
32,33,33,Chad Campbell,94,161,582,27.7
33,34,34,George McNeill,97,160,594,26.9
34,T35,T35,Woody Austin,109,158,610,25.9
35,T35,T35,Jason Gore,94,158,578,27.3
36,37,37,Troy Matteson,94,157,573,27.4
37,38,38,Marc Turnesa,87,156,571,27.3
38,T39,T39,Chris DiMarco,87,155,532,29.1
39,T39,T39,Jesper Parnevik,88,155,570,27.2
40,T39,T39,Heath Slocum,104,155,546,28.4
41,T42,T42,Steve Elkington,84,154,497,31.0
42,T42,T42,Kevin Sutherland,98,154,599,25.7
43,T44,T44,Bob Estes,90,153,569,26.9
44,T44,T44,Martin Laird,98,153,586,26.1
45,T46,T46,Ryan Armour,87,151,498,30.3
46,T46,T46,Jeff Maggert,86,151,522,28.9
47,T46,T46,Billy Mayfair,103,151,614,24.6
48,49,49,Rich Beem,90,149,528,28.2
49,T50,T50,Justin Leonard,101,148,524,28.2
50,T50,T50,Nick Watney,96,148,571,25.9
51,T52,T52,Stuart Appleby,87,147,499,29.5
52,T52,T52,Mathias Grönberg,87,147,559,26.3
53,T52,T52,Richard Johnson,77,147,529,27.8
54,T52,T52,Charlie Wi,97,147,611,24.1
55,T56,T56,Tim Clark,90,146,543,26.9
56,T56,T56,Lucas Glover,91,146,557,26.2
57,T58,T58,Daniel Chopra,84,145,538,27.0
58,T58,T58,Brian Gay,102,145,666,21.8
59,T58,T58,Anthony Kim,81,145,486,29.8
60,T58,T58,Charles Warren,79,145,448,32.4
61,T62,T62,Jason Day,81,144,536,26.9
62,T62,T62,Parker McLachlin,88,144,571,25.2
63,T62,T62,Scott Sterling,89,144,470,30.6
64,T65,T65,Jonathan Byrd,88,143,558,25.6
65,T65,T65,Bill Haas,99,143,614,23.3
66,T67,T67,Lee Janzen,89,142,522,27.2
67,T67,T67,Tim Petrovic,97,142,583,24.4
68,T67,T67,Mike Weir,88,142,495,28.7
69,T67,T67,Jay Williamson,96,142,487,29.2
70,T71,T71,Robert Allenby,108,141,539,26.2
71,T71,T71,Ben Crane,86,141,547,25.8
72,T71,T71,Charles Howell III,101,141,572,24.7
73,T71,T71,Corey Pavin,69,141,449,31.4
74,T71,T71,Bubba Watson,97,141,532,26.5
75,T76,T76,Zach Johnson,85,140,471,29.7
76,T76,T76,Bob Tway,70,140,446,31.4
77,T78,T78,Mathew Goggin,91,139,534,26.0
78,T78,T78,Kevin Stadler,90,139,484,28.7
79,T80,T80,Michael Allen,91,138,522,26.4
80,T80,T80,Pat Perez,93,138,555,24.9
81,82,82,Jerry Kelly,89,137,509,26.9
82,T83,T83,Aaron Baddeley,76,136,472,28.8
83,T83,T83,Cameron Beckman,87,136,507,26.8
84,T83,T83,Brett Quigley,80,136,486,28.0
85,T86,T86,James Driscoll,85,135,518,26.1
86,T86,T86,Todd Hamilton,92,135,503,26.8
87,T86,T86,Matt Kuchar,88,135,499,27.1
88,T86,T86,Hunter Mahan,87,135,462,29.2
89,T86,T86,Brandt Snedeker,85,135,488,27.7
90,T91,T91,Joe Durant,92,134,458,29.3
91,T91,T91,Nick Flanagan,89,134,541,24.8
92,T91,T91,Freddie Jacobson,78,134,473,28.3
93,T91,T91,Sean O'Hair,81,134,452,29.6
94,T95,T95,Jim Furyk,95,133,515,25.8
95,T95,T95,D.J. Trahan,94,133,525,25.3
96,T97,T97,Todd Demsey,80,132,494,26.7
97,T97,T97,Michael Letzig,88,132,531,24.9
98,T97,T97,Jon Mills,95,132,510,25.9
99,T100,T100,Peter Lonard,92,131,551,23.8
100,T100,T100,Ryan Moore,72,131,466,28.1
101,T100,T100,Ryan Palmer,69,131,442,29.6
102,T103,T103,Ben Curtis,80,130,452,28.8
103,T103,T103,John Merrick,98,130,494,26.3
104,T105,T105,Steve Flesch,95,129,571,22.6
105,T105,T105,Dudley Hart,74,129,496,26.0
106,T105,T105,Matt Jones,95,129,596,21.6
107,T105,T105,Nick O'Hern,82,129,519,24.9
108,T105,T105,Boo Weekley,86,129,389,33.2
109,110,110,Cliff Kresge,84,128,478,26.8
110,T111,T111,Robert Gamez,79,127,458,27.7
111,T111,T111,Steve Lowery,74,127,482,26.3
112,T111,T111,Jin Park,85,127,477,26.6
113,T114,T114,Justin Bolli,87,126,462,27.3
114,T114,T114,Scott Verplank,82,126,457,27.6
115,116,116,Ryuji Imada,80,125,501,25.0
116,T117,T117,Paul Goydos,78,124,480,25.8
117,T117,T117,J.B. Holmes,86,124,497,24.9
118,T117,T117,Dustin Johnson,92,124,533,23.3
119,T117,T117,Phil Mickelson,80,124,446,27.8
120,T117,T117,Johnson Wagner,83,124,482,25.7
121,T122,T122,Rocco Mediate,87,123,468,26.3
122,T122,T122,Brenden Pappas,66,123,411,29.9
123,124,124,Stephen Ames,83,122,451,27.1
124,T125,T125,Stewart Cink,87,119,454,26.2
125,T125,T125,Chad Collins,72,119,479,24.8
126,T127,T127,Brad Adamonis,87,118,486,24.3
127,T127,T127,Bart Bryant,81,118,470,25.1
128,T127,T127,Rod Pampling,83,118,466,25.3
129,T130,T130,Davis Love III,78,117,455,25.7
130,T130,T130,Jim McGovern,75,117,399,29.3
131,T132,T132,Tommy Armour III,77,116,450,25.8
132,T132,T132,John Senden,93,116,496,23.4
133,134,134,Vijay Singh,82,115,429,26.8
134,T135,T135,Alex Cejka,75,114,405,28.1
135,T135,T135,Marco Dawson,64,114,387,29.5
136,T135,T135,Carlos Franco,73,114,417,27.3
137,T135,T135,Rory Sabbatini,77,114,428,26.6
138,139,139,Will MacKenzie,62,113,385,29.4
139,140,140,J.P. Hayes,67,112,438,25.6
140,T141,T141,Kenneth Ferrie,72,111,399,27.8
141,T141,T141,Omar Uresti,74,111,429,25.9
142,T141,T141,Camilo Villegas,79,111,452,24.6
143,T144,T144,Olin Browne,77,110,428,25.7
144,T144,T144,Brad Elder,67,110,371,29.6
145,T144,T144,Mark Hensby,71,110,443,24.8
146,T147,T147,Brett Rumford,72,109,431,25.3
147,T147,T147,Steve Stricker,75,109,430,25.3
148,149,149,Jimmy Walker,73,107,430,24.9
149,T150,T150,John Huston,56,106,331,32.0
150,T150,T150,John Riegger,73,106,419,25.3
151,T150,T150,David Toms,70,106,388,27.3
152,153,153,Doug LaBelle II,65,105,353,29.7
153,T154,T154,Jason Allred,63,104,351,29.6
154,T154,T154,Mark Calcavecchia,67,104,368,28.3
155,T156,T156,K.J. Choi,74,103,399,25.8
156,T156,T156,Andres Romero,69,103,360,28.6
157,T156,T156,Chris Stroud,81,103,403,25.6
158,T159,T159,Billy Andrade,71,102,383,26.6
159,T159,T159,David Duval,51,102,287,35.5
160,161,161,Scott McCarron,63,101,391,25.8
161,T162,T162,Fred Couples,60,100,353,28.3
162,T162,T162,Cody Freeman,66,100,372,26.9
163,T162,T162,Sergio Garcia,72,100,384,26.0
164,T165,T165,Kent Jones,68,99,362,27.3
165,T165,T165,Craig Kanada,65,99,404,24.5
166,T165,T165,Greg Kraft,63,99,386,25.6
167,T168,T168,Steve Allan,58,95,313,30.4
168,T168,T168,Shigeki Maruyama,50,95,307,30.9
169,T168,T168,Ted Purdy,68,95,367,25.9
170,171,171,Paul Claxton,63,92,321,28.7
171,T172,T172,Glen Day,64,91,389,23.4
