,Average_Putting_Distance_-_All_1_putts_RANK THIS WEEK,Average_Putting_Distance_-_All_1_putts_RANK LAST WEEK,Average_Putting_Distance_-_All_1_putts_PLAYER NAME,Average_Putting_Distance_-_All_1_putts_ROUNDS,Average_Putting_Distance_-_All_1_putts_AVG,Average_Putting_Distance_-_All_1_putts_DISTANCE (FEET),Average_Putting_Distance_-_All_1_putts_TOTAL PUTTS
0,1,1,Hunter Mahan,87,"8' 6""",3924.833,462
1,T2,T2,Chad Campbell,94,"8' 3""",4810.833,582
2,T2,T2,Steve Elkington,84,"8' 3""",4090.083,497
3,4,4,Richard Johnson,60,"8' 2""",2581.167,317
4,5,5,K.J. Choi,74,"8' 1""",3213.0,399
5,T6,T6,Ben Crane,86,"8' 0""",4385.417,547
6,T6,T6,Mark Hensby,71,"8' 0""",3542.417,443
7,T6,T6,Rory Sabbatini,77,"8' 0""",3436.083,428
8,T9,T9,Ryan Armour,87,"7' 11""",3939.417,498
9,T9,T9,Joe Durant,92,"7' 11""",3640.25,458
10,T9,T9,Carlos Franco,73,"7' 11""",3284.083,417
11,T9,T9,Scott McCarron,63,"7' 11""",3079.167,391
12,T9,T9,Mark Wilson,107,"7' 11""",5760.5830000000005,730
13,T14,T14,Steve Allan,58,"7' 10""",2452.417,313
14,T14,T14,Billy Andrade,71,"7' 10""",3015.5,383
15,T14,T14,Woody Austin,109,"7' 10""",4760.167,610
16,T14,T14,Steve Marino,119,"7' 10""",5554.1669999999995,706
17,T14,T14,Ron Whittaker,54,"7' 10""",1997.75,255
18,T19,T19,Stewart Cink,87,"7' 9""",3504.667,454
19,T19,T19,Todd Hamilton,92,"7' 9""",3896.667,503
20,T19,T19,Craig Kanada,65,"7' 9""",3119.0,404
21,T19,T19,Doug LaBelle II,65,"7' 9""",2726.25,353
22,T19,T19,Corey Pavin,69,"7' 9""",3488.667,449
23,T19,T19,Kevin Sutherland,98,"7' 9""",4641.5,599
24,T25,T25,Robert Allenby,108,"7' 8""",4149.917,539
25,T25,T25,Mathias Grönberg,87,"7' 8""",4279.25,559
26,T25,T25,Kent Jones,68,"7' 8""",2768.417,362
27,T25,T25,Justin Leonard,101,"7' 8""",4002.417,524
28,T25,T25,Ryan Palmer,69,"7' 8""",3395.583,442
29,T25,T25,Pat Perez,93,"7' 8""",4259.833,555
30,T25,T25,Tim Petrovic,97,"7' 8""",4470.667,583
31,T25,T25,Jeff Quinney,87,"7' 8""",4319.5,563
32,T25,T25,Marc Turnesa,87,"7' 8""",4393.417,571
33,T25,T25,Bob Tway,70,"7' 8""",3416.5,446
34,T25,T25,Camilo Villegas,79,"7' 8""",3478.083,452
35,T36,T36,Nick Flanagan,89,"7' 7""",4090.0,541
36,T36,T36,Steve Flesch,95,"7' 7""",4316.0,571
37,T36,T36,Tommy Gainey,60,"7' 7""",2203.0,289
38,T36,T36,Robert Garrigus,90,"7' 7""",4288.083,565
39,T36,T36,Dudley Hart,74,"7' 7""",3756.167,496
40,T36,T36,J.P. Hayes,67,"7' 7""",3308.833,438
41,T36,T36,Jesper Parnevik,88,"7' 7""",4301.75,570
42,T36,T36,Johnson Wagner,83,"7' 7""",3640.917,482
43,T44,T44,Paul Casey,55,"7' 6""",1744.75,233
44,T44,T44,Chris DiMarco,87,"7' 6""",3972.5,532
45,T44,T44,Ken Duke,116,"7' 6""",5789.75,770
46,T44,T44,Jeff Maggert,86,"7' 6""",3908.0,522
47,T44,T44,Parker McLachlin,88,"7' 6""",4265.333,571
48,T44,T44,Patrick Sheehan,124,"7' 6""",5680.75,758
49,T44,T44,Bob Sowards,61,"7' 6""",2599.75,347
50,T44,T44,Boo Weekley,86,"7' 6""",2905.25,389
51,T44,T44,Dean Wilson,109,"7' 6""",5022.5,669
52,T53,T53,Rich Beem,90,"7' 5""",3894.25,528
53,T53,T53,Brad Elder,67,"7' 5""",2761.333,371
54,T53,T53,Kenneth Ferrie,72,"7' 5""",2970.5,399
55,T53,T53,Bill Haas,99,"7' 5""",4555.0,614
56,T53,T53,J.J. Henry,108,"7' 5""",4455.667,603
57,T53,T53,John Huston,56,"7' 5""",2450.833,331
58,T53,T53,Brandt Jobe,52,"7' 5""",2192.583,296
59,T53,T53,Matt Kuchar,88,"7' 5""",3684.333,499
60,T53,T53,Steve Lowery,74,"7' 5""",3591.917,482
61,T53,T53,Jim McGovern,75,"7' 5""",2971.333,399
62,T53,T53,Kenny Perry,97,"7' 5""",4608.75,623
63,T53,T53,Carl Pettersson,110,"7' 5""",5273.1669999999995,713
64,T53,T53,John Senden,93,"7' 5""",3660.75,496
65,T53,T53,Steve Stricker,75,"7' 5""",3194.667,430
66,T53,T53,Chris Stroud,81,"7' 5""",3000.083,403
67,T68,T68,Michael Allen,91,"7' 4""",3843.167,522
68,T68,T68,Shane Bertsch,96,"7' 4""",4712.5,642
69,T68,T68,Olin Browne,77,"7' 4""",3141.417,428
70,T68,T68,Daniel Chopra,84,"7' 4""",3959.333,538
71,T68,T68,Chad Collins,72,"7' 4""",3524.917,479
72,T68,T68,Glen Day,64,"7' 4""",2849.583,389
73,T68,T68,James Driscoll,85,"7' 4""",3786.667,518
74,T68,T68,Cody Freeman,66,"7' 4""",2736.417,372
75,T68,T68,Jeff Gove,50,"7' 4""",1990.0829999999999,271
76,T68,T68,Ryuji Imada,80,"7' 4""",3687.583,501
77,T68,T68,Matt Jones,95,"7' 4""",4376.25,596
78,T68,T68,Greg Kraft,63,"7' 4""",2825.833,386
79,T68,T68,Cliff Kresge,84,"7' 4""",3514.5,478
80,T68,T68,Stephen Leaney,53,"7' 4""",2244.25,307
81,T68,T68,Davis Love III,78,"7' 4""",3322.5,455
82,T68,T68,Troy Matteson,94,"7' 4""",4194.083,573
83,T68,T68,Billy Mayfair,103,"7' 4""",4511.333,614
84,T68,T68,George McNeill,97,"7' 4""",4359.25,594
85,T68,T68,Jeff Overton,103,"7' 4""",4684.667,639
