,Total_3_Putts_-_Inside_5_RANK THIS WEEK,Total_3_Putts_-_Inside_5_RANK LAST WEEK,Total_3_Putts_-_Inside_5_PLAYER NAME,Total_3_Putts_-_Inside_5_ROUNDS,Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS INSIDE 5',Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS
0,T1,T1,Kevin Na,97,3,51
1,T1,T1,Carl Pettersson,110,3,47
2,T1,T1,Brett Quigley,80,3,30
3,T4,T4,Mark Calcavecchia,67,2,42
4,T4,T4,Chad Campbell,94,2,50
5,T4,T4,Joe Durant,92,2,78
6,T4,T4,Nick Flanagan,89,2,62
7,T4,T4,Charley Hoffman,94,2,56
8,T4,T4,Jerry Kelly,89,2,30
9,T4,T4,Will MacKenzie,62,2,36
10,T4,T4,George McNeill,97,2,60
11,T4,T4,Geoff Ogilvy,65,2,20
12,T4,T4,Brenden Pappas,66,2,32
13,T4,T4,Vaughn Taylor,103,2,50
14,T4,T4,D.J. Trahan,94,2,52
15,T4,T4,Scott Verplank,82,2,33
16,T4,T4,Boo Weekley,86,2,54
17,T18,T18,Michael Allen,91,1,37
18,T18,T18,Rich Beem,90,1,42
19,T18,T18,Justin Bolli,87,1,52
20,T18,T18,Bart Bryant,81,1,37
21,T18,T18,Jonathan Byrd,88,1,44
22,T18,T18,Alejandro Cañizares,52,1,19
23,T18,T18,Alex Cejka,75,1,36
24,T18,T18,Paul Claxton,63,1,20
25,T18,T18,Fred Couples,60,1,30
26,T18,T18,Todd Demsey,80,1,47
27,T18,T18,Chris DiMarco,87,1,42
28,T18,T18,David Duval,51,1,32
29,T18,T18,Steve Elkington,84,1,33
30,T18,T18,Tommy Gainey,60,1,47
31,T18,T18,Robert Gamez,79,1,66
32,T18,T18,Robert Garrigus,90,1,63
33,T18,T18,Mathew Goggin,91,1,40
34,T18,T18,Nathan Green,95,1,53
35,T18,T18,Bill Haas,99,1,45
36,T18,T18,Charles Howell III,101,1,42
37,T18,T18,Matt Jones,95,1,50
38,T18,T18,Cliff Kresge,84,1,43
39,T18,T18,Matt Kuchar,88,1,32
40,T18,T18,David Lutterus,59,1,48
41,T18,T18,Jeff Maggert,86,1,57
42,T18,T18,Billy Mayfair,103,1,59
43,T18,T18,Phil Mickelson,80,1,26
44,T18,T18,Ryan Moore,72,1,39
45,T18,T18,Rod Pampling,83,1,39
46,T18,T18,Jesper Parnevik,88,1,49
47,T18,T18,Tim Petrovic,97,1,55
48,T18,T18,Ted Purdy,68,1,40
49,T18,T18,Jeff Quinney,87,1,34
50,T18,T18,Andres Romero,69,1,29
51,T18,T18,Rory Sabbatini,77,1,46
52,T18,T18,John Senden,93,1,51
53,T18,T18,Scott Sterling,89,1,41
54,T18,T18,Chris Stroud,81,1,45
55,T18,T18,Bo Van Pelt,101,1,61
56,T18,T18,Camilo Villegas,79,1,27
57,T18,T18,Mike Weir,88,1,24
58,T18,T18,Tim Wilkinson,95,1,32
59,T18,T18,Y.E. Yang,89,1,48
