,Putting_from_5-10_RANK THIS WEEK,Putting_from_5-10_RANK LAST WEEK,Putting_from_5-10_PLAYER NAME,Putting_from_5-10_ROUNDS,Putting_from_5-10_%,Putting_from_5-10_ATTEMPTS,Putting_from_5-10_PUTTS MADE
0,1,1,Shigeki Maruyama,50,64.37,174,112
1,2,2,Richard Johnson,77,63.64,308,196
2,3,3,Anthony Kim,81,63.16,285,180
3,4,4,Aaron Baddeley,76,63.14,255,161
4,5,5,Corey Pavin,69,62.79,258,162
5,6,6,Stewart Cink,87,62.18,238,148
6,7,7,John Rollins,94,61.89,349,216
7,8,8,Ben Curtis,80,61.81,254,157
8,9,9,Mike Weir,88,61.73,277,171
9,10,10,Jeff Quinney,87,61.54,338,208
10,11,11,Freddie Jacobson,78,61.43,280,172
11,12,12,Bob Tway,70,61.36,264,162
12,13,13,Dudley Hart,74,61.01,277,169
13,14,14,Ian Poulter,51,60.93,151,92
14,T15,T15,Doug LaBelle II,65,60.71,224,136
15,T15,T15,Brenden Pappas,66,60.71,252,153
16,T15,T15,Dean Wilson,109,60.71,420,255
17,18,18,Marc Turnesa,87,60.69,318,193
18,19,19,Vaughn Taylor,103,60.52,423,256
19,20,20,Jesper Parnevik,88,60.38,313,189
20,21,21,Stuart Appleby,87,60.32,310,187
21,22,22,David Duval,51,60.29,204,123
22,23,23,Ben Crane,86,60.27,297,179
23,24,24,Tim Herron,97,60.12,341,205
24,25,25,Joe Ogilvie,100,59.89,379,227
25,26,26,Robert Garrigus,90,59.79,373,223
26,T27,T27,Nathan Green,95,59.7,397,237
27,T27,T27,Kevin Sutherland,98,59.7,335,200
28,29,29,Chad Collins,72,59.62,260,155
29,30,30,Padraig Harrington,52,59.52,126,75
30,31,31,Brandt Snedeker,85,59.5,279,166
31,32,32,Carl Pettersson,110,59.41,441,262
32,33,33,Steve Stricker,75,59.39,229,136
33,34,34,Justin Leonard,101,59.31,317,188
34,35,35,J.J. Henry,108,59.18,392,232
35,36,36,Ryan Palmer,69,59.09,286,169
36,T37,T37,Brad Elder,67,59.03,227,134
37,T37,T37,Ryan Moore,72,59.03,288,170
38,39,39,Stephen Leaney,53,58.97,195,115
39,40,40,Stephen Ames,83,58.95,285,168
40,41,41,Daniel Chopra,84,58.9,292,172
41,42,42,Jim Furyk,95,58.87,282,166
42,43,43,Eric Axley,113,58.82,408,240
43,44,44,Scott Sterling,89,58.72,298,175
44,45,45,Zach Johnson,85,58.61,302,177
45,46,46,Marco Dawson,64,58.3,247,144
46,47,47,Tag Ridings,88,58.29,374,218
47,48,48,Jason Day,81,58.26,333,194
48,49,49,Mark Wilson,107,58.21,469,273
49,50,50,Y.E. Yang,89,58.17,361,210
50,51,51,Alejandro Cañizares,52,58.15,184,107
51,52,52,Paul Claxton,63,58.13,203,118
52,T53,T53,Steve Elkington,84,57.98,326,189
53,T53,T53,Jerry Kelly,89,57.98,307,178
54,T55,T55,Tom Pernice Jr.,104,57.79,398,230
55,T55,T55,Tim Wilkinson,95,57.79,353,204
56,57,57,James Driscoll,85,57.77,341,197
57,58,58,Todd Demsey,80,57.69,286,165
58,59,59,Ron Whittaker,54,57.67,189,109
59,60,60,Richard Johnson,60,57.58,198,114
60,61,61,Nick O'Hern,82,57.56,271,156
61,62,62,Craig Kanada,65,57.53,219,126
62,63,63,Brett Quigley,80,57.51,313,180
63,T64,T64,Frank Lickliter II,107,57.48,421,242
64,T64,T64,Patrick Sheehan,124,57.48,421,242
65,66,66,John Mallinger,95,57.43,350,201
66,67,67,Peter Lonard,92,57.41,324,186
67,68,68,Chris DiMarco,87,57.27,330,189
68,69,69,Phil Mickelson,80,57.14,266,152
69,70,70,Greg Kraft,63,57.0,207,118
70,71,71,Retief Goosen,59,56.98,179,102
71,72,72,John Huston,56,56.77,229,130
72,T73,T73,Ryan Armour,87,56.76,340,193
73,T73,T73,Charles Warren,79,56.76,340,193
74,T75,T75,Tim Clark,90,56.69,314,178
75,T75,T75,Jason Gore,94,56.69,381,216
76,77,77,Brian Davis,108,56.66,443,251
77,78,78,Kenneth Ferrie,72,56.57,274,155
78,T79,T79,Jonathan Byrd,88,56.55,313,177
79,T79,T79,Gavin Coles,54,56.55,168,95
80,81,81,Steve Allan,58,56.46,209,118
81,82,82,Carlos Franco,73,56.43,241,136
82,83,83,Billy Andrade,71,56.4,250,141
83,84,84,Kenny Perry,97,56.27,391,220
84,T85,T85,Jason Allred,63,56.15,244,137
85,T85,T85,Boo Weekley,86,56.15,317,178
86,87,87,Chez Reavie,102,56.08,362,203
87,88,88,K.J. Choi,74,56.03,232,130
88,89,89,Nicholas Thompson,113,55.88,442,247
89,90,90,Charley Hoffman,94,55.84,385,215
90,91,91,Jon Mills,95,55.79,337,188
91,92,92,Jimmy Walker,73,55.73,253,141
92,93,93,Fred Couples,60,55.71,219,122
93,94,94,Mathew Goggin,91,55.69,325,181
94,95,95,Chad Campbell,94,55.65,354,197
95,96,96,Matt Kuchar,88,55.63,302,168
96,97,97,Jeff Overton,103,55.53,434,241
97,98,98,Ryuji Imada,80,55.48,283,157
98,99,99,Sean O'Hair,81,55.38,325,180
99,100,100,Andres Romero,69,55.36,233,129
100,101,101,Tom Scherrer,56,55.34,206,114
101,102,102,Steve Lowery,74,55.26,304,168
102,103,103,Jeff Maggert,86,55.25,362,200
103,104,104,Woody Austin,109,55.15,388,214
104,105,105,Kevin Streelman,114,54.96,413,227
105,106,106,Chris Riley,51,54.94,162,89
106,107,107,Tom Lehman,51,54.67,150,82
107,108,108,Parker McLachlin,88,54.65,355,194
108,109,109,Travis Perkins,53,54.64,194,106
109,T110,T110,Tommy Armour III,77,54.55,275,150
110,T110,T110,Rory Sabbatini,77,54.55,286,156
111,112,112,Cliff Kresge,84,54.43,305,166
112,113,113,Bob Estes,90,54.37,366,199
113,114,114,Rocco Mediate,87,54.3,302,164
114,115,115,Steve Marino,119,54.27,422,229
115,116,116,Robert Allenby,108,54.26,352,191
116,117,117,Bo Van Pelt,101,54.25,435,236
117,118,118,Lee Janzen,89,54.24,330,179
118,119,119,Martin Laird,98,54.2,369,200
119,120,120,John Merrick,98,54.1,329,178
120,121,121,Kent Jones,68,54.09,220,119
