,Putts_Per_Round_RANK THIS WEEK,Putts_Per_Round_RANK LAST WEEK,Putts_Per_Round_PLAYER NAME,Putts_Per_Round_ROUNDS,Putts_Per_Round_AVG,Putts_Per_Round_TOTAL PUTTS,Putts_Per_Round_TOTAL ROUNDS,Putts_Per_Round_LOW TOTAL PUTTS
0,1,1,Corey Pavin,69,27.92,1815,65,21
1,2,2,Padraig Harrington,52,28.04,1402,50,23
2,3,3,Daniel Chopra,84,28.06,2329,83,22
3,4,4,John Mallinger,95,28.14,2673,95,22
4,5,5,Bob Tway,70,28.23,1807,64,23
5,6,6,Nathan Green,95,28.24,2683,95,22
6,7,7,Brian Gay,102,28.34,2664,94,21
7,8,8,Aaron Baddeley,76,28.38,2072,73,21
8,9,9,Jeff Quinney,87,28.39,2470,87,23
9,10,10,Ryuji Imada,80,28.43,2274,80,24
10,11,11,Chad Collins,72,28.44,1877,66,23
11,12,12,Jesper Parnevik,88,28.45,2390,84,21
12,T13,T13,Richard Johnson,77,28.47,2135,75,22
13,T13,T13,Chris Riley,51,28.47,1224,43,23
14,T15,T15,Eric Axley,113,28.49,3105,109,21
15,T15,T15,Andres Romero,69,28.49,1909,67,24
16,17,17,Stuart Appleby,87,28.55,2398,84,22
17,18,18,Kevin Na,97,28.62,2776,97,22
18,19,19,Mike Weir,88,28.63,2491,87,21
19,20,20,Greg Kraft,63,28.64,1575,55,24
20,21,21,Marc Turnesa,87,28.66,2379,83,22
21,T22,T22,Marco Dawson,64,28.7,1607,56,23
22,T22,T22,Tim Herron,97,28.7,2669,93,21
23,24,24,Shane Bertsch,96,28.71,2756,96,21
24,25,25,Tom Pernice Jr.,104,28.72,2987,104,23
25,26,26,Joe Ogilvie,100,28.73,2758,96,22
26,T27,T27,Phil Mickelson,80,28.74,2242,78,23
27,T27,T27,Ryan Moore,72,28.74,2069,72,23
28,29,29,Craig Kanada,65,28.75,1696,59,24
29,30,30,Steve Stricker,75,28.76,2071,72,23
30,31,31,Alejandro Cañizares,52,28.77,1266,44,22
31,T32,T32,Ken Duke,116,28.79,3340,116,22
32,T32,T32,Freddie Jacobson,78,28.79,2246,78,24
33,T34,T34,Parker McLachlin,88,28.8,2419,84,23
34,T34,T34,Carl Pettersson,110,28.8,3168,110,20
35,T34,T34,Ian Poulter,51,28.8,1411,49,23
36,T34,T34,Patrick Sheehan,124,28.8,3341,116,23
37,38,38,Shigeki Maruyama,50,28.82,1297,45,24
38,39,39,Dudley Hart,74,28.83,2018,70,20
39,40,40,Tim Petrovic,97,28.84,2567,89,24
40,T41,T41,Jonathan Byrd,88,28.85,2452,85,23
41,T41,T41,Ben Crane,86,28.85,2481,86,21
42,T41,T41,Anthony Kim,81,28.85,2337,81,23
43,T41,T41,Justin Leonard,101,28.85,2741,95,24
44,T45,T45,Steve Lowery,74,28.86,2136,74,23
45,T45,T45,Geoff Ogilvy,65,28.86,1847,64,23
46,47,47,Glen Day,64,28.88,1675,58,21
47,48,48,Retief Goosen,59,28.9,1676,58,22
48,T49,T49,Nick O'Hern,82,28.91,2313,80,23
49,T49,T49,Brett Rumford,72,28.91,1966,68,22
50,T51,T51,Ben Curtis,80,28.92,2198,76,22
51,T51,T51,Ryan Palmer,69,28.92,1822,63,24
52,T51,T51,Vaughn Taylor,103,28.92,2979,103,24
53,54,54,Matt Kuchar,88,28.96,2375,82,23
54,T55,T55,Tim Clark,90,28.97,2578,89,21
55,T55,T55,Frank Lickliter II,107,28.97,3100,107,23
56,T55,T55,Camilo Villegas,79,28.97,2260,78,22
57,58,58,Gavin Coles,54,28.98,1333,46,22
58,59,59,Stephen Ames,83,28.99,2377,82,23
59,T60,T60,Jason Day,81,29.02,2351,81,22
60,T60,T60,Brenden Pappas,66,29.02,1741,60,23
61,T62,T62,Brian Davis,108,29.04,3136,108,22
62,T62,T62,Matt Jones,95,29.04,2643,91,23
63,64,64,Steve Flesch,95,29.05,2760,95,21
64,65,65,Johnson Wagner,83,29.06,2325,80,24
65,66,66,Mark Wilson,107,29.08,3112,107,20
66,T67,T67,Brandt Snedeker,85,29.11,2445,84,23
67,T67,T67,Scott Verplank,82,29.11,2358,81,23
68,T69,T69,Lee Janzen,89,29.14,2419,83,23
69,T69,T69,Tim Wilkinson,95,29.14,2535,87,22
70,T71,T71,Stewart Cink,87,29.16,2362,81,23
71,T71,T71,J.P. Hayes,67,29.16,1954,67,24
72,T71,T71,Dean Wilson,109,29.16,3062,105,24
73,74,74,Michael Letzig,88,29.17,2450,84,21
74,T75,T75,Brad Elder,67,29.21,1782,61,22
75,T75,T75,Todd Hamilton,92,29.21,2687,92,23
76,77,77,Scott McCarron,63,29.22,1841,63,21
77,T78,T78,Jimmy Walker,73,29.23,1900,65,25
78,T78,T78,Charlie Wi,97,29.23,2835,97,22
79,T80,T80,Paul Goydos,78,29.24,2281,78,25
80,T80,T80,Jeff Overton,103,29.24,2895,99,23
81,T80,T80,Brett Quigley,80,29.24,2281,78,23
82,T80,T80,John Rollins,94,29.24,2749,94,23
