,Putts_made_Distance_RANK THIS WEEK,Putts_made_Distance_RANK LAST WEEK,Putts_made_Distance_PLAYER NAME,Putts_made_Distance_EVENTS,Putts_made_Distance_DISTANCE IN INCHES
0,1,1,Ben Crane,25,56
1,T2,T2,Corey Pavin,20,55
2,T2,T2,Jeff Quinney,28,55
3,T4,T4,Richard Johnson,29,54
4,T4,T4,Ryan Palmer,22,54
5,T4,T4,Jesper Parnevik,29,54
6,T4,T4,Pat Perez,27,54
7,T4,T4,Rory Sabbatini,23,54
8,T4,T4,Marc Turnesa,29,54
9,T10,T10,Woody Austin,30,53
10,T10,T10,Chad Campbell,28,53
11,T10,T10,K.J. Choi,21,53
12,T10,T10,Daniel Chopra,27,53
13,T10,T10,Stewart Cink,23,53
14,T10,T10,Nathan Green,30,53
15,T10,T10,Mathias Grönberg,30,53
16,T10,T10,Dudley Hart,22,53
17,T10,T10,Mark Hensby,26,53
18,T10,T10,Richard Johnson,21,53
19,T10,T10,Craig Kanada,23,53
20,T10,T10,Steve Lowery,25,53
21,T10,T10,Hunter Mahan,27,53
22,T10,T10,Steve Marino,32,53
23,T10,T10,Scott McCarron,22,53
24,T10,T10,Tim Petrovic,32,53
25,T10,T10,Andres Romero,20,53
26,T10,T10,Bob Tway,20,53
27,T10,T10,Mark Wilson,29,53
28,T29,T29,Eric Axley,35,52
29,T29,T29,Chad Collins,24,52
30,T29,T29,Steve Elkington,25,52
31,T29,T29,Kenneth Ferrie,25,52
32,T29,T29,Nick Flanagan,29,52
33,T29,T29,Ryuji Imada,25,52
34,T29,T29,Greg Kraft,21,52
35,T29,T29,Justin Leonard,25,52
36,T29,T29,Jeff Overton,32,52
37,T29,T29,Brenden Pappas,24,52
38,T29,T29,Camilo Villegas,22,52
39,T29,T29,Johnson Wagner,26,52
40,T29,T29,Dean Wilson,32,52
41,T42,T42,Steve Allan,21,51
42,T42,T42,Ryan Armour,32,51
43,T42,T42,Aaron Baddeley,22,51
44,T42,T42,Jonathan Byrd,27,51
45,T42,T42,Tim Clark,27,51
46,T42,T42,James Driscoll,28,51
47,T42,T42,Ken Duke,33,51
48,T42,T42,Steve Flesch,29,51
49,T42,T42,Tommy Gainey,24,51
50,T42,T42,Jason Gore,33,51
51,T42,T42,Todd Hamilton,28,51
52,T42,T42,J.P. Hayes,26,51
53,T42,T42,Tim Herron,28,51
54,T42,T42,Freddie Jacobson,24,51
55,T42,T42,Anthony Kim,22,51
56,T42,T42,Matt Kuchar,27,51
57,T42,T42,Doug LaBelle II,22,51
58,T42,T42,John Mallinger,29,51
59,T42,T42,Parker McLachlin,27,51
60,T42,T42,Ryan Moore,24,51
61,T42,T42,Kevin Na,29,51
62,T42,T42,Joe Ogilvie,29,51
63,T42,T42,Carl Pettersson,29,51
64,T42,T42,Patrick Sheehan,35,51
65,T42,T42,Steve Stricker,22,51
66,T42,T42,Kevin Sutherland,26,51
67,T68,T68,Stephen Ames,24,50
68,T68,T68,Stuart Appleby,23,50
69,T68,T68,Shane Bertsch,29,50
70,T68,T68,Mark Calcavecchia,25,50
71,T68,T68,Paul Casey,16,50
72,T68,T68,Brian Davis,34,50
73,T68,T68,Brad Elder,23,50
74,T68,T68,Carlos Franco,25,50
75,T68,T68,Cody Freeman,26,50
76,T68,T68,Robert Garrigus,29,50
77,T68,T68,Brian Gay,31,50
78,T68,T68,Paul Goydos,25,50
79,T68,T68,J.B. Holmes,26,50
80,T68,T68,John Huston,18,50
81,T68,T68,Kent Jones,23,50
82,T68,T68,Matt Jones,31,50
83,T68,T68,Jerry Kelly,31,50
84,T68,T68,Cliff Kresge,28,50
85,T68,T68,Martin Laird,29,50
86,T68,T68,Stephen Leaney,17,50
87,T68,T68,Peter Lonard,30,50
88,T68,T68,Jeff Maggert,28,50
89,T68,T68,Phil Mickelson,21,50
90,T68,T68,Geoff Ogilvy,20,50
91,T68,T68,Tom Pernice Jr.,30,50
92,T68,T68,Kenny Perry,26,50
93,T68,T68,Bob Sowards,22,50
94,T68,T68,Bo Van Pelt,32,50
95,T68,T68,Jimmy Walker,24,50
96,T68,T68,Nick Watney,27,50
97,T68,T68,Ron Whittaker,22,50
98,T68,T68,Charlie Wi,27,50
99,T100,T100,Robert Allenby,28,49
100,T100,T100,Billy Andrade,24,49
101,T100,T100,Tommy Armour III,25,49
102,T100,T100,Cameron Beckman,29,49
103,T100,T100,Alejandro Cañizares,16,49
104,T100,T100,Gavin Coles,16,49
105,T100,T100,Glen Day,19,49
106,T100,T100,Jason Day,28,49
107,T100,T100,Chris DiMarco,29,49
108,T100,T100,Bill Haas,31,49
109,T100,T100,Michael Letzig,29,49
110,T100,T100,Frank Lickliter II,32,49
111,T100,T100,George McNeill,29,49
112,T100,T100,Sean O'Hair,25,49
113,T100,T100,Nick O'Hern,26,49
114,T100,T100,Ian Poulter,15,49
115,T100,T100,Brett Quigley,25,49
116,T100,T100,Chez Reavie,30,49
117,T100,T100,Adam Scott,15,49
118,T100,T100,Brandt Snedeker,26,49
119,T100,T100,Kevin Streelman,32,49
120,T100,T100,Vaughn Taylor,32,49
121,T100,T100,Kyle Thompson,26,49
122,T100,T100,Nicholas Thompson,36,49
123,T100,T100,David Toms,20,49
124,T100,T100,Boo Weekley,24,49
125,T100,T100,Tim Wilkinson,29,49
126,T127,T127,Michael Allen,28,48
127,T127,T127,Rich Beem,29,48
128,T127,T127,Bart Bryant,23,48
129,T127,T127,Alex Cejka,25,48
130,T127,T127,Ben Curtis,22,48
131,T127,T127,Marco Dawson,21,48
132,T127,T127,David Duval,20,48
133,T127,T127,Bob Estes,28,48
134,T127,T127,Jim Furyk,26,48
135,T127,T127,Robert Gamez,26,48
