,GIR_Putting_-__25_RANK THIS WEEK,GIR_Putting_-__25_RANK LAST WEEK,GIR_Putting_-__25_PLAYER NAME,GIR_Putting_-__25_ROUNDS,GIR_Putting_-__25_%,GIR_Putting_-__25_ATTEMPTS,GIR_Putting_-__25_PUTTS MADE
0,1,1,Corey Pavin,69,10.8,213,23
1,2,2,Jeff Quinney,87,8.66,277,24
2,3,3,Bob Tway,70,8.65,208,18
3,4,4,Rory Sabbatini,77,8.33,252,21
4,5,5,Steve Stricker,75,8.26,230,19
5,6,6,Matt Kuchar,88,8.24,279,23
6,7,7,Scott McCarron,63,8.18,220,18
7,8,8,Jesper Parnevik,88,7.95,327,26
8,9,9,Ryuji Imada,80,7.87,267,21
9,10,10,Stewart Cink,87,7.78,270,21
10,11,11,J.P. Hayes,67,7.69,247,19
11,12,12,Tim Petrovic,97,7.67,326,25
12,13,13,Marco Dawson,64,7.65,183,14
13,14,14,John Mallinger,95,7.64,288,22
14,15,15,Mark Hensby,71,7.6,250,19
15,16,16,Craig Kanada,65,7.45,188,14
16,17,17,Steve Lowery,74,7.38,271,20
17,18,18,Steve Elkington,84,7.37,285,21
18,T19,T19,Chad Campbell,94,7.25,345,25
19,T19,T19,Camilo Villegas,79,7.25,262,19
20,21,21,Vijay Singh,82,7.17,237,17
21,22,22,Steve Marino,119,7.13,463,33
22,23,23,Todd Hamilton,92,7.12,295,21
23,T24,T24,Retief Goosen,59,7.01,157,11
24,T24,T24,Doug LaBelle II,65,7.01,214,15
25,T26,T26,Woody Austin,109,6.99,329,23
26,T26,T26,Parker McLachlin,88,6.99,329,23
27,28,28,Paul Goydos,78,6.96,230,16
28,29,29,Mathias Grönberg,87,6.94,317,22
29,30,30,K.J. Choi,74,6.92,260,18
30,31,31,Hunter Mahan,87,6.91,333,23
31,32,32,Pat Perez,93,6.82,337,23
32,33,33,Bill Haas,99,6.68,404,27
33,T34,T34,Glen Day,64,6.67,225,15
34,T34,T34,Adam Scott,51,6.67,135,9
35,T34,T34,Mark Wilson,107,6.67,450,30
36,37,37,Kevin Na,97,6.65,331,22
37,T38,T38,Ryan Armour,87,6.62,302,20
38,T38,T38,Rich Beem,90,6.62,287,19
39,T40,T40,Daniel Chopra,84,6.61,242,16
40,T40,T40,Peter Lonard,92,6.61,333,22
41,42,42,Ben Crane,86,6.6,288,19
42,43,43,Patrick Sheehan,124,6.58,395,26
43,44,44,Bob Sowards,61,6.54,214,14
44,45,45,Matt Jones,95,6.5,354,23
45,46,46,Ron Whittaker,54,6.49,154,10
46,47,47,Marc Turnesa,87,6.47,309,20
47,48,48,Nick O'Hern,82,6.45,279,18
48,49,49,Nick Flanagan,89,6.39,313,20
49,50,50,Ryan Moore,72,6.36,236,15
50,51,51,Andres Romero,69,6.32,174,11
51,T52,T52,Mark Calcavecchia,67,6.25,176,11
52,T52,T52,Paul Casey,55,6.25,144,9
53,54,54,Jeff Maggert,86,6.23,305,19
54,55,55,David Toms,70,6.22,193,12
55,T56,T56,Joe Durant,92,6.13,359,22
56,T56,T56,Jay Williamson,96,6.13,326,20
57,58,58,Shane Bertsch,96,6.07,313,19
58,59,59,Brenden Pappas,66,6.05,215,13
59,60,60,Tim Wilkinson,95,6.01,316,19
60,61,61,Phil Mickelson,80,5.99,217,13
61,62,62,Carlos Franco,73,5.96,285,17
62,T63,T63,Tommy Gainey,60,5.95,168,10
63,T63,T63,Jeff Overton,103,5.95,370,22
64,65,65,Robert Allenby,108,5.94,404,24
65,T66,T66,Davis Love III,78,5.91,254,15
66,T66,T66,Jimmy Walker,73,5.91,254,15
67,68,68,Padraig Harrington,52,5.88,102,6
68,69,69,Jim McGovern,75,5.86,239,14
69,70,70,Greg Kraft,63,5.82,189,11
70,71,71,James Driscoll,85,5.81,327,19
71,T72,T72,Robert Garrigus,90,5.79,363,21
72,T72,T72,Jeff Gove,50,5.79,190,11
73,74,74,Geoff Ogilvy,65,5.75,174,10
