,Average_Distance_of_Birdie_putts_made_RANK THIS WEEK,Average_Distance_of_Birdie_putts_made_RANK LAST WEEK,Average_Distance_of_Birdie_putts_made_PLAYER NAME,Average_Distance_of_Birdie_putts_made_ROUNDS,Average_Distance_of_Birdie_putts_made_AVG,Average_Distance_of_Birdie_putts_made_TOT DIST. (FT),Average_Distance_of_Birdie_putts_made_TOT BIRDIE PUTTS MADE,Average_Distance_of_Birdie_putts_made_LONGEST MADE (FT),Average_Distance_of_Birdie_putts_made_SHORTEST MADE (FT)
92,T88,T88,Mathias Grönberg,87,"9' 10""",2491.0,254,74,"1"""
93,T88,T88,Freddie Jacobson,78,"9' 10""",2089.083,212,42,"3"""
94,T88,T88,Richard Johnson,77,"9' 10""",1944.9170000000001,197,47,"4"""
95,T88,T88,Jon Mills,95,"9' 10""",2289.667,233,55,"1"""
96,T88,T88,John Senden,93,"9' 10""",2465.917,250,68,"1"""
97,T88,T88,Heath Slocum,104,"9' 10""",2519.833,256,44,"2"""
98,T88,T88,Bo Van Pelt,101,"9' 10""",2998.0,304,66,"2"""
99,T100,T100,Stephen Ames,83,"9' 9""",2169.833,223,58,"1"""
100,T100,T100,Lucas Glover,91,"9' 9""",2711.583,277,50,"2"""
101,T100,T100,Lee Janzen,89,"9' 9""",2315.583,238,40,"2"""
102,T100,T100,Ryan Palmer,69,"9' 9""",2427.833,250,51,"4"""
103,T100,T100,John Riegger,73,"9' 9""",1996.6670000000001,204,51,"2"""
104,T100,T100,Chris Riley,51,"9' 9""",1147.417,118,42,"4"""
105,T106,T106,Robert Allenby,108,"9' 8""",2947.583,306,56,"1"""
106,T106,T106,Tommy Armour III,77,"9' 8""",2100.583,218,57,"2"""
107,T106,T106,Alex Cejka,75,"9' 8""",1740.0829999999999,180,46,"3"""
108,T106,T106,Gavin Coles,54,"9' 8""",1345.75,139,46,"7"""
109,T106,T106,Ben Curtis,80,"9' 8""",1878.5,194,34,"3"""
110,T106,T106,Robert Garrigus,90,"9' 8""",3064.0,317,67,"4"""
111,T106,T106,Brian Gay,102,"9' 8""",2859.167,295,62,"5"""
112,T106,T106,Bill Haas,99,"9' 8""",3053.083,315,61,"4"""
113,T106,T106,Trevor Immelman,70,"9' 8""",1491.1670000000001,154,42,"2"""
114,T106,T106,Jeff Maggert,86,"9' 8""",2480.25,256,50,"3"""
115,T106,T106,Troy Matteson,94,"9' 8""",2819.833,292,50,"2"""
116,T117,T117,Cameron Beckman,87,"9' 7""",2390.833,249,75,"2"""
117,T117,T117,Rich Beem,90,"9' 7""",2499.667,260,47,"5"""
118,T117,T117,Jonathan Byrd,88,"9' 7""",2472.25,259,54,"1"""
119,T117,T117,Brandt Jobe,52,"9' 7""",1402.5,146,51,"4"""
120,T117,T117,Jerry Kelly,89,"9' 7""",2153.583,225,56,"4"""
121,T117,T117,Frank Lickliter II,107,"9' 7""",3143.75,327,45,"4"""
122,T117,T117,Davis Love III,78,"9' 7""",2159.667,226,52,"2"""
123,T117,T117,Rocco Mediate,87,"9' 7""",1899.25,198,50,"3"""
124,T117,T117,Ryan Moore,72,"9' 7""",2009.8329999999999,209,40,"3"""
125,T117,T117,Geoff Ogilvy,65,"9' 7""",1491.4170000000001,155,45,"7"""
126,T117,T117,Nicholas Thompson,113,"9' 7""",2998.333,312,59,"2"""
127,T128,T128,Jim Furyk,95,"9' 6""",2423.917,256,48,"1"""
128,T128,T128,Tom Pernice Jr.,104,"9' 6""",3087.417,326,54,"5"""
129,T128,T128,Kenny Perry,97,"9' 6""",3060.25,323,56,"6"""
130,T128,T128,Adam Scott,51,"9' 6""",1224.75,129,55,"1"""
131,T132,T132,Steve Allan,58,"9' 5""",1542.4170000000001,164,71,"2"""
132,T132,T132,Michael Allen,91,"9' 5""",2474.0,262,60,"2"""
133,T132,T132,Todd Demsey,80,"9' 5""",2073.5,221,46,"5"""
134,T132,T132,Tommy Gainey,60,"9' 5""",1454.0,155,46,"4"""
135,T132,T132,Sergio Garcia,72,"9' 5""",1916.8329999999999,204,48,"1"""
136,T132,T132,Jason Gore,94,"9' 5""",2869.833,306,42,"5"""
137,T132,T132,Anthony Kim,81,"9' 5""",2264.667,241,40,"3"""
138,T132,T132,Tom Lehman,51,"9' 5""",1060.5,113,37,"2"""
139,T132,T132,Will MacKenzie,62,"9' 5""",1529.3329999999999,163,38,"2"""
140,T132,T132,Joe Ogilvie,100,"9' 5""",2875.417,306,61,"4"""
141,T132,T132,Brenden Pappas,66,"9' 5""",1754.4170000000001,186,45,"4"""
142,T132,T132,Vaughn Taylor,103,"9' 5""",3078.5,327,52,"4"""
143,T132,T132,David Toms,70,"9' 5""",1824.1670000000001,193,53,"3"""
144,T132,T132,Camilo Villegas,79,"9' 5""",2230.333,237,59,"2"""
145,T146,T146,Mark Calcavecchia,67,"9' 4""",1652.0829999999999,177,50,"2"""
146,T146,T146,Jason Day,81,"9' 4""",2360.25,252,46,"2"""
147,T146,T146,Brett Quigley,80,"9' 4""",2054.417,220,45,"2"""
148,T146,T146,Scott Sterling,89,"9' 4""",2033.5,217,77,"3"""
149,T146,T146,Kevin Streelman,114,"9' 4""",3030.833,324,84,"2"""
150,T151,T151,Paul Casey,55,"9' 3""",1179.917,127,50,"5"""
151,T151,T151,Zach Johnson,85,"9' 3""",2244.167,242,36,"3"""
152,T151,T151,David Lutterus,59,"9' 3""",1300.333,140,46,"6"""
153,T151,T151,Rod Pampling,83,"9' 3""",2027.1670000000001,219,48,"3"""
154,T151,T151,Ian Poulter,51,"9' 3""",987.4169999999999,107,43,"6"""
155,T151,T151,Ted Purdy,68,"9' 3""",1488.25,161,50,"4"""
156,T151,T151,Scott Verplank,82,"9' 3""",2042.75,220,48,"5"""
157,T158,T158,Aaron Baddeley,76,"9' 2""",1974.3329999999999,216,40,"1"""
158,T158,T158,Ernie Els,51,"9' 2""",1096.083,120,45,"2"""
159,T158,T158,Charles Howell III,101,"9' 2""",2641.75,289,48,"2"""
160,T158,T158,John Huston,56,"9' 2""",1697.6670000000001,186,46,"3"""
161,T158,T158,Michael Letzig,88,"9' 2""",2443.917,267,49,"1"""
162,T158,T158,Brandt Snedeker,85,"9' 2""",1903.25,207,49,"5"""
163,T164,T164,Harrison Frazar,73,"9' 1""",1866.0,206,48,"4"""
164,T164,T164,Shigeki Maruyama,50,"9' 1""",1011.0830000000001,111,38,"5"""
165,T164,T164,George McNeill,97,"9' 1""",2883.583,317,38,"1"""
166,T164,T164,John Rollins,94,"9' 1""",2174.75,239,52,"3"""
167,T164,T164,Vijay Singh,82,"9' 1""",2137.833,235,60,"3"""
168,T164,T164,Kevin Stadler,90,"9' 1""",2199.417,243,42,"2"""
169,T164,T164,Boo Weekley,86,"9' 1""",1956.0,216,63,"3"""
170,T164,T164,Mike Weir,88,"9' 1""",2086.75,230,48,"2"""
171,T172,T172,Stuart Appleby,87,"9' 0""",2022.6670000000001,225,36,"4"""
172,T172,T172,Mathew Goggin,91,"9' 0""",2468.25,273,43,"1"""
173,T172,T172,Padraig Harrington,52,"9' 0""",1015.8330000000001,113,54,"3"""
174,T172,T172,D.J. Trahan,94,"9' 0""",2346.5,261,52,"2"""
175,T176,T176,Martin Laird,98,"8' 11""",2741.833,307,54,"3"""
176,T176,T176,John Merrick,98,"8' 11""",2151.833,242,46,"1"""
177,T176,T176,Omar Uresti,74,"8' 11""",1671.75,188,40,"6"""
178,T179,T179,Sean O'Hair,81,"8' 10""",1796.75,203,50,"1"""
179,T179,T179,Tag Ridings,88,"8' 10""",2435.333,276,57,"1"""
180,T181,T181,J.B. Holmes,86,"8' 9""",2250.417,256,48,"2"""
181,T181,T181,Y.E. Yang,89,"8' 9""",2163.917,248,34,"3"""
182,T183,T183,Brad Adamonis,87,"8' 8""",2072.917,239,48,"7"""
183,T183,T183,Jason Allred,63,"8' 8""",1418.5829999999999,164,48,"8"""
184,T183,T183,Justin Bolli,87,"8' 8""",1901.25,219,41,"3"""
185,T183,T183,Nick Watney,96,"8' 8""",2533.083,292,49,"1"""
186,T187,T187,Ángel Cabrera,55,"8' 7""",1140.25,133,42,"3"""
187,T187,T187,Charley Hoffman,94,"8' 7""",2474.5,288,60,"1"""
188,T189,T189,Phil Mickelson,80,"8' 6""",1967.1670000000001,232,53,"2"""
189,T189,T189,Tom Scherrer,56,"8' 6""",1190.083,140,36,"9"""
190,T191,T191,Travis Perkins,53,"8' 5""",923.0,110,40,"9"""
191,T191,T191,Brett Rumford,72,"8' 5""",1639.0829999999999,194,41,"2"""
192,193,193,Dustin Johnson,92,"8' 3""",2099.083,255,43,"1"""
193,T194,T194,Charles Warren,79,"8' 2""",1841.0829999999999,226,42,"2"""
194,T194,T194,Bubba Watson,97,"8' 2""",2381.5,293,52,"2"""
195,196,196,Fred Couples,60,"8' 1""",1468.5,182,34,"7"""
196,197,197,David Duval,51,"7' 8""",833.6669999999999,109,33,"7"""
