,Putting_from_Inside_5_RANK THIS WEEK,Putting_from_Inside_5_RANK LAST WEEK,Putting_from_Inside_5_PLAYER NAME,Putting_from_Inside_5_ROUNDS,Putting_from_Inside_5_%,Putting_from_Inside_5_ATTEMPTS,Putting_from_Inside_5_PUTTS MADE
0,1,1,Dean Wilson,109,97.96,1274,1248
1,2,2,Geoff Ogilvy,65,97.83,691,676
2,3,3,Brian Gay,102,97.63,1223,1194
3,4,4,Jin Park,85,97.59,997,973
4,5,5,Parker McLachlin,88,97.52,1090,1063
5,6,6,Aaron Baddeley,76,97.48,834,813
6,T7,T7,Ian Poulter,51,97.41,501,488
7,T7,T7,Bob Tway,70,97.41,772,752
8,9,9,Daniel Chopra,84,97.36,948,923
9,10,10,Jeff Overton,103,97.3,1258,1224
10,T11,T11,Ben Crane,86,97.28,1030,1002
11,T11,T11,Ken Duke,116,97.28,1471,1431
12,13,13,Bob Estes,90,97.24,1230,1196
13,14,14,Kenny Perry,97,97.22,1294,1258
14,15,15,Ernie Els,51,97.18,532,517
15,16,16,James Driscoll,85,97.14,1083,1052
16,17,17,Eric Axley,113,97.12,1354,1315
17,18,18,Jason Day,81,97.06,1090,1058
18,19,19,John Huston,56,97.05,679,659
19,20,20,Stephen Leaney,53,97.02,637,618
20,T21,T21,Ryuji Imada,80,96.98,960,931
21,T21,T21,Phil Mickelson,80,96.98,829,804
22,T23,T23,Bart Bryant,81,96.97,990,960
23,T23,T23,Jeff Quinney,87,96.97,990,960
24,25,25,Corey Pavin,69,96.95,755,732
25,26,26,Stephen Ames,83,96.94,916,888
26,27,27,J.J. Henry,108,96.93,1434,1390
27,T28,T28,Chad Collins,72,96.91,874,847
28,T28,T28,Ben Curtis,80,96.91,906,878
29,30,30,Alejandro Cañizares,52,96.88,577,559
30,31,31,Tommy Armour III,77,96.87,958,928
31,32,32,Marc Turnesa,87,96.86,1050,1017
32,33,33,Lee Janzen,89,96.83,1071,1037
33,34,34,Justin Leonard,101,96.82,1007,975
34,T35,T35,Martin Laird,98,96.81,1221,1182
35,T35,T35,Troy Matteson,94,96.81,1287,1246
36,37,37,Carl Pettersson,110,96.8,1344,1301
37,38,38,Nick O'Hern,82,96.77,1022,989
