,Average_Putting_Distance_-_GIR_2_Putts_RANK THIS WEEK,Average_Putting_Distance_-_GIR_2_Putts_RANK LAST WEEK,Average_Putting_Distance_-_GIR_2_Putts_PLAYER NAME,Average_Putting_Distance_-_GIR_2_Putts_ROUNDS,Average_Putting_Distance_-_GIR_2_Putts_AVG,Average_Putting_Distance_-_GIR_2_Putts_DISTANCE (FEET),Average_Putting_Distance_-_GIR_2_Putts_TOTAL PUTTS
0,1,1,Jesper Parnevik,88,"27' 0""",14827.667,550
1,2,2,Stephen Leaney,53,"26' 11""",9944.75,370
2,3,3,James Driscoll,85,"26' 7""",16838.0,633
3,4,4,K.J. Choi,74,"26' 6""",12742.5,481
4,T5,T5,Steve Allan,58,"26' 4""",10447.667,397
5,T5,T5,Dudley Hart,74,"26' 4""",14096.833,535
6,T5,T5,Ian Poulter,51,"26' 4""",7296.25,277
7,8,8,Todd Demsey,80,"26' 3""",15287.417,582
8,T9,T9,Carlos Franco,73,"26' 2""",13827.0,528
9,T9,T9,Nathan Green,95,"26' 2""",17094.167,653
10,T9,T9,Mark Wilson,107,"26' 2""",22570.5,862
11,12,12,Jason Allred,63,"26' 1""",9636.083,369
12,T13,T13,Richard Johnson,60,"26' 0""",11062.333,426
13,T13,T13,Martin Laird,98,"26' 0""",18138.25,698
14,T15,T15,J.J. Henry,108,"25' 11""",23837.833,920
15,T15,T15,Matt Jones,95,"25' 11""",17025.583,656
16,T17,T17,Bart Bryant,81,"25' 10""",14417.75,558
17,T17,T17,Kenneth Ferrie,72,"25' 10""",12563.167,487
18,T17,T17,Jim Furyk,95,"25' 10""",16847.333,652
19,T17,T17,Mathew Goggin,91,"25' 10""",18652.583,723
20,T17,T17,Marc Turnesa,87,"25' 10""",15237.917,589
21,T22,T22,Stuart Appleby,87,"25' 9""",13679.5,531
22,T22,T22,Eric Axley,113,"25' 9""",19278.583,748
23,T22,T22,Carl Pettersson,110,"25' 9""",19586.5,761
24,T22,T22,Dean Wilson,109,"25' 9""",19663.75,764
25,T26,T26,Doug LaBelle II,65,"25' 8""",11166.0,435
26,T26,T26,Parker McLachlin,88,"25' 8""",15684.917,611
27,T26,T26,Corey Pavin,69,"25' 8""",10254.417,400
28,T29,T29,Chad Collins,72,"25' 7""",12113.5,473
29,T29,T29,Todd Hamilton,92,"25' 7""",15792.667,618
30,T31,T31,Tim Herron,97,"25' 6""",17333.917,680
31,T31,T31,Tag Ridings,88,"25' 6""",16143.167,634
32,T31,T31,John Senden,93,"25' 6""",19075.833,749
33,34,34,Frank Lickliter II,107,"25' 5""",20060.833,790
34,T35,T35,Robert Allenby,108,"25' 4""",19781.5,782
35,T35,T35,Ben Curtis,80,"25' 4""",13199.5,521
36,T35,T35,Jason Day,81,"25' 4""",16049.25,634
37,T35,T35,Freddie Jacobson,78,"25' 4""",12603.25,497
38,T35,T35,Steve Marino,119,"25' 4""",22548.167,891
