,One-Putt_Percentage_-_Round_4_RANK THIS WEEK,One-Putt_Percentage_-_Round_4_RANK LAST WEEK,One-Putt_Percentage_-_Round_4_PLAYER NAME,One-Putt_Percentage_-_Round_4_%,One-Putt_Percentage_-_Round_4_# OF 1 PUTTS,One-Putt_Percentage_-_Round_4_# OF HOLES
0,1,1,Padraig Harrington,46.46,92,198
1,2,2,Ryuji Imada,45.19,122,270
2,3,3,Kevin Na,44.74,153,342
3,T4,T4,Retief Goosen,44.44,96,216
4,T4,T4,Ryan Moore,44.44,88,198
5,6,6,Ben Crane,44.14,143,324
6,T7,T7,Aaron Baddeley,44.07,119,270
7,T7,T7,Daniel Chopra,44.07,119,270
8,9,9,Jerry Kelly,44.05,111,252
9,10,10,Jason Day,43.98,95,216
10,11,11,Nathan Green,43.83,142,324
11,12,12,Scott McCarron,43.75,63,144
12,T13,T13,Andres Romero,43.65,110,252
13,T13,T13,Johnson Wagner,43.65,110,252
14,15,15,John Mallinger,43.33,156,360
15,16,16,Carl Pettersson,43.16,202,468
16,17,17,Richard Johnson,43.06,62,144
17,18,18,Justin Leonard,43.0,178,414
18,T19,T19,Jason Gore,42.96,116,270
19,T19,T19,Jesper Parnevik,42.96,116,270
20,21,21,Phil Mickelson,42.9,139,324
21,22,22,Jonathan Byrd,42.71,123,288
22,T23,T23,Stewart Cink,42.59,138,324
23,T23,T23,Bob Tway,42.59,115,270
24,T25,T25,Freddie Jacobson,42.22,114,270
25,T25,T25,Will MacKenzie,42.22,76,180
26,T25,T25,Steve Stricker,42.22,114,270
27,28,28,Eric Axley,41.94,151,360
28,29,29,K.J. Choi,41.85,113,270
29,30,30,Scott Verplank,41.83,128,306
30,31,31,Chad Campbell,41.81,143,342
31,T32,T32,Ben Curtis,41.67,135,324
32,T32,T32,Nicholas Thompson,41.67,150,360
33,34,34,Anthony Kim,41.36,134,324
34,T35,T35,Martin Laird,41.23,141,342
35,T35,T35,Joe Ogilvie,41.23,141,342
36,37,37,Mark Wilson,40.97,177,432
37,38,38,Brian Davis,40.83,147,360
38,39,39,Tom Pernice Jr.,40.66,161,396
39,40,40,D.J. Trahan,40.64,139,342
40,41,41,Nick O'Hern,40.63,117,288
41,42,42,Trevor Immelman,40.6,95,234
42,43,43,J.P. Hayes,40.48,51,126
43,44,44,Vaughn Taylor,40.43,131,324
44,T45,T45,Chad Collins,40.4,80,198
45,T45,T45,Steve Lowery,40.4,80,198
46,T45,T45,Ian Poulter,40.4,80,198
47,T45,T45,Dean Wilson,40.4,160,396
48,49,49,Rory Sabbatini,40.28,116,288
49,50,50,Michael Allen,40.12,130,324
50,51,51,Corey Pavin,40.08,101,252
51,52,52,Shane Bertsch,40.06,137,342
52,53,53,Ernie Els,40.0,72,180
53,54,54,Brandt Snedeker,39.87,122,306
54,T55,T55,Paul Goydos,39.74,93,234
55,T55,T55,Geoff Ogilvy,39.74,93,234
56,57,57,Jeff Quinney,39.58,114,288
57,58,58,Steve Flesch,39.54,121,306
58,59,59,Camilo Villegas,39.51,128,324
59,60,60,Mike Weir,39.47,135,342
60,61,61,Brian Gay,39.44,142,360
61,62,62,Ken Duke,39.35,170,432
62,63,63,Davis Love III,39.24,113,288
63,64,64,Vijay Singh,39.22,120,306
64,T65,T65,Ryan Armour,38.89,84,216
65,T65,T65,Tim Clark,38.89,126,324
66,T65,T65,Dudley Hart,38.89,105,270
67,T65,T65,J.B. Holmes,38.89,119,306
68,T65,T65,Zach Johnson,38.89,126,324
69,T65,T65,Kent Jones,38.89,84,216
70,T65,T65,Ryan Palmer,38.89,84,216
71,T65,T65,John Rollins,38.89,133,342
72,73,73,Kevin Sutherland,38.64,153,396
73,74,74,Charley Hoffman,38.54,111,288
74,75,75,Fred Couples,38.43,83,216
75,76,76,Frank Lickliter II,38.36,145,378
76,77,77,Brett Rumford,38.27,62,162
77,78,78,Todd Demsey,38.1,96,252
78,T79,T79,Cody Freeman,37.96,41,108
79,T79,T79,Bill Haas,37.96,123,324
80,T79,T79,John Senden,37.96,123,324
81,82,82,Parker McLachlin,37.91,116,306
82,83,83,Peter Lonard,37.85,109,288
83,84,84,Nick Watney,37.83,143,378
84,T85,T85,Stuart Appleby,37.78,136,360
85,T85,T85,Pat Perez,37.78,136,360
86,T87,T87,Stephen Leaney,37.65,61,162
87,T87,T87,Steve Marino,37.65,183,486
88,89,89,Steve Elkington,37.58,115,306
89,T90,T90,Tim Herron,37.5,135,360
90,T90,T90,Omar Uresti,37.5,81,216
91,92,92,Jeff Maggert,37.41,101,270
92,93,93,Billy Mayfair,37.12,147,396
93,T94,T94,Nick Flanagan,37.04,100,270
94,T94,T94,Robert Gamez,37.04,80,216
95,T94,T94,Kevin Streelman,37.04,160,432
96,T94,T94,Boo Weekley,37.04,120,324
97,98,98,Sergio Garcia,36.93,113,306
98,99,99,Brenden Pappas,36.81,53,144
99,100,100,Charlie Wi,36.77,139,378
100,101,101,Stephen Ames,36.73,119,324
101,T102,T102,Lee Janzen,36.67,99,270
102,T102,T102,Tag Ridings,36.67,99,270
103,104,104,Carlos Franco,36.57,79,216
104,T105,T105,Rich Beem,36.46,105,288
105,T105,T105,Dustin Johnson,36.46,105,288
106,107,107,Todd Hamilton,36.42,118,324
107,108,108,Lucas Glover,36.26,124,342
108,T109,T109,Chris DiMarco,36.11,91,252
109,T109,T109,Mark Hensby,36.11,65,180
110,T109,T109,Craig Kanada,36.11,65,180
111,T109,T109,Cliff Kresge,36.11,91,252
112,T109,T109,Michael Letzig,36.11,91,252
113,114,114,Woody Austin,35.99,149,414
114,115,115,Hunter Mahan,35.95,110,306
115,116,116,Y.E. Yang,35.93,97,270
