,3-Putt_Avoidance_RANK THIS WEEK,3-Putt_Avoidance_RANK LAST WEEK,3-Putt_Avoidance_PLAYER NAME,3-Putt_Avoidance_ROUNDS,3-Putt_Avoidance_%,3-Putt_Avoidance_TOTAL 3 PUTTS,3-Putt_Avoidance_TOTAL HOLES (OVERALL)
0,1,1,Craig Kanada,65,1.62,19,1170
1,T2,T2,Aaron Baddeley,76,1.75,23,1314
2,T2,T2,Bob Tway,70,1.75,22,1260
3,4,4,Daniel Chopra,84,1.81,27,1494
4,5,5,Glen Day,64,1.82,21,1152
5,6,6,Brian Gay,102,1.85,34,1836
6,7,7,Chad Collins,72,1.93,25,1296
7,8,8,Chris Riley,51,1.96,18,918
8,9,9,Marco Dawson,64,2.08,24,1152
9,10,10,Ben Curtis,80,2.15,31,1440
10,11,11,John Mallinger,95,2.16,37,1710
11,12,12,Shane Bertsch,96,2.2,38,1728
12,13,13,Tim Wilkinson,95,2.22,38,1710
13,14,14,Alejandro Cañizares,52,2.24,21,936
14,15,15,Ken Duke,116,2.25,47,2088
15,16,16,Gavin Coles,54,2.26,22,972
16,17,17,Patrick Sheehan,124,2.28,51,2232
17,T18,T18,James Driscoll,85,2.29,35,1530
18,T18,T18,Ryuji Imada,80,2.29,33,1440
19,20,20,Corey Pavin,69,2.33,29,1242
20,21,21,Parker McLachlin,88,2.34,37,1584
21,T22,T22,Brett Quigley,80,2.36,34,1440
22,T22,T22,Mike Weir,88,2.36,37,1566
23,24,24,Matt Kuchar,88,2.4,38,1584
24,25,25,Todd Hamilton,92,2.42,40,1656
25,T26,T26,Nick O'Hern,82,2.43,35,1440
26,T26,T26,Geoff Ogilvy,65,2.43,28,1152
27,28,28,Stewart Cink,87,2.47,36,1458
28,29,29,Doug LaBelle II,65,2.48,29,1170
29,T30,T30,Brad Elder,67,2.49,30,1206
30,T30,T30,Marc Turnesa,87,2.49,39,1566
31,32,32,Justin Leonard,101,2.51,43,1710
32,33,33,Jim Furyk,95,2.54,43,1692
33,34,34,Eric Axley,113,2.56,52,2034
34,35,35,Stephen Ames,83,2.57,38,1476
35,36,36,Steve Elkington,84,2.58,39,1512
36,37,37,Richard Johnson,60,2.59,28,1080
37,38,38,Jin Park,85,2.61,40,1530
38,39,39,Jeff Quinney,87,2.62,41,1566
39,T40,T40,Paul Claxton,63,2.65,30,1134
40,T40,T40,Jerry Kelly,89,2.65,42,1584
41,T42,T42,Jason Day,81,2.67,39,1458
42,T42,T42,Shigeki Maruyama,50,2.67,24,900
43,T44,T44,K.J. Choi,74,2.7,34,1260
44,T44,T44,Steve Stricker,75,2.7,35,1296
45,46,46,Zach Johnson,85,2.71,41,1512
46,T47,T47,Greg Kraft,63,2.73,31,1134
47,T47,T47,Bob Sowards,61,2.73,30,1098
48,49,49,Bill Haas,99,2.75,49,1782
49,T50,T50,Stuart Appleby,87,2.78,42,1512
50,T50,T50,Padraig Harrington,52,2.78,25,900
51,T50,T50,John Huston,56,2.78,28,1008
52,T50,T50,Dustin Johnson,92,2.78,46,1656
53,T50,T50,Phil Mickelson,80,2.78,39,1404
54,55,55,Jimmy Walker,73,2.82,37,1314
55,T56,T56,J.J. Henry,108,2.83,55,1944
56,T56,T56,Stephen Leaney,53,2.83,27,954
57,T56,T56,Ian Poulter,51,2.83,25,882
58,59,59,Ben Crane,86,2.84,44,1548
