,3-Putts_per_Round_RANK THIS WEEK,3-Putts_per_Round_RANK LAST WEEK,3-Putts_per_Round_PLAYER NAME,3-Putts_per_Round_ROUNDS,3-Putts_per_Round_AVG,3-Putts_per_Round_TOTAL 3 PUTTS,3-Putts_per_Round_TOTAL ROUNDS
0,1,1,Paul Casey,55,0.94,49,52
1,2,2,Jason Allred,63,0.89,56,63
2,T3,T3,Mark Calcavecchia,67,0.86,57,66
3,T3,T3,David Lutterus,59,0.86,51,59
4,T5,T5,Joe Durant,92,0.84,77,92
5,T5,T5,Robert Gamez,79,0.84,66,79
6,7,7,Tommy Gainey,60,0.83,50,60
7,T8,T8,Nicholas Thompson,113,0.82,93,113
8,T8,T8,Boo Weekley,86,0.82,68,83
9,10,10,Charles Warren,79,0.81,64,79
10,11,11,Adam Scott,51,0.8,39,49
11,12,12,Mathias Grönberg,87,0.79,69,87
12,T13,T13,Harrison Frazar,73,0.77,56,73
13,T13,T13,Troy Matteson,94,0.77,72,94
14,T15,T15,Tom Lehman,51,0.76,39,51
15,T15,T15,Tag Ridings,88,0.76,67,88
16,T15,T15,Rory Sabbatini,77,0.76,58,76
17,18,18,Davis Love III,78,0.74,58,78
18,T19,T19,J.B. Holmes,86,0.73,62,85
19,T19,T19,Scott McCarron,63,0.73,46,63
20,T21,T21,Travis Perkins,53,0.72,38,53
21,T21,T21,John Rollins,94,0.72,68,94
22,T21,T21,Bubba Watson,97,0.72,70,97
23,24,24,Nick Flanagan,89,0.71,63,89
24,T25,T25,Robert Garrigus,90,0.7,63,90
25,T25,T25,John Senden,93,0.7,64,92
26,27,27,Mark Hensby,71,0.69,49,71
27,T28,T28,Fred Couples,60,0.68,41,60
28,T28,T28,Ernie Els,51,0.68,34,50
29,T30,T30,Kenneth Ferrie,72,0.67,48,72
30,T30,T30,Ron Whittaker,54,0.67,36,54
31,T32,T32,Steve Allan,58,0.66,38,58
32,T32,T32,Billy Andrade,71,0.66,47,71
33,T32,T32,Tommy Armour III,77,0.66,51,77
34,T32,T32,Woody Austin,109,0.66,69,105
35,T32,T32,Jeff Gove,50,0.66,33,50
36,T32,T32,Jeff Maggert,86,0.66,57,86
37,T32,T32,George McNeill,97,0.66,64,97
38,T32,T32,Pat Perez,93,0.66,61,92
39,T40,T40,Robert Allenby,108,0.65,70,107
40,T40,T40,Ángel Cabrera,55,0.65,33,51
41,T40,T40,Todd Demsey,80,0.65,52,80
42,T40,T40,David Duval,51,0.65,33,51
43,T40,T40,Billy Mayfair,103,0.65,67,103
44,T40,T40,Jesper Parnevik,88,0.65,57,88
45,T40,T40,D.J. Trahan,94,0.65,61,94
46,T47,T47,Justin Bolli,87,0.64,56,87
47,T47,T47,Jonathan Byrd,88,0.64,54,85
48,T47,T47,Brian Davis,108,0.64,69,108
49,T47,T47,Jason Gore,94,0.64,60,94
50,T47,T47,Charley Hoffman,94,0.64,60,94
51,T47,T47,Steve Lowery,74,0.64,47,74
52,T47,T47,Chris Stroud,81,0.64,52,81
53,T47,T47,Johnson Wagner,83,0.64,53,83
54,T47,T47,Nick Watney,96,0.64,61,96
55,T56,T56,Rich Beem,90,0.63,57,90
56,T56,T56,Chad Campbell,94,0.63,59,94
57,T56,T56,Kent Jones,68,0.63,43,68
58,T56,T56,Martin Laird,98,0.63,62,98
59,T56,T56,Jon Mills,95,0.63,60,95
60,T56,T56,Bo Van Pelt,101,0.63,64,101
61,T62,T62,Peter Lonard,92,0.62,57,92
62,T62,T62,Steve Marino,119,0.62,74,119
63,T62,T62,Ted Purdy,68,0.62,42,68
64,T62,T62,Chez Reavie,102,0.62,63,102
65,T62,T62,Omar Uresti,74,0.62,46,74
66,T67,T67,Cody Freeman,66,0.61,40,66
67,T67,T67,Sergio Garcia,72,0.61,43,70
68,T67,T67,Will MacKenzie,62,0.61,38,62
69,T67,T67,Kenny Perry,97,0.61,59,97
70,T67,T67,Tim Petrovic,97,0.61,59,97
71,T67,T67,Kevin Streelman,114,0.61,70,114
72,T73,T73,Cameron Beckman,87,0.6,52,87
73,T73,T73,Tim Clark,90,0.6,53,89
74,T73,T73,Chris DiMarco,87,0.6,52,87
75,T73,T73,Paul Goydos,78,0.6,47,78
76,T73,T73,Matt Jones,95,0.6,57,95
77,T73,T73,Frank Lickliter II,107,0.6,64,107
78,T73,T73,Hunter Mahan,87,0.6,51,85
79,T73,T73,John Riegger,73,0.6,44,73
80,T73,T73,Andres Romero,69,0.6,40,67
81,T73,T73,Jay Williamson,96,0.6,58,96
82,T83,T83,Briny Baird,113,0.59,67,113
83,T83,T83,Steve Flesch,95,0.59,56,95
84,T83,T83,Nathan Green,95,0.59,56,95
85,T83,T83,Trevor Immelman,70,0.59,40,68
86,T87,T87,Olin Browne,77,0.58,45,77
87,T87,T87,Bart Bryant,81,0.58,47,81
88,T87,T87,Brandt Jobe,52,0.58,30,52
89,T87,T87,Anthony Kim,81,0.58,47,81
90,T87,T87,Jeff Overton,103,0.58,60,103
91,T87,T87,Rod Pampling,83,0.58,46,80
92,T87,T87,Kevin Sutherland,98,0.58,57,98
93,T94,T94,Retief Goosen,59,0.57,33,58
94,T94,T94,Michael Letzig,88,0.57,50,88
95,T94,T94,John Merrick,98,0.57,56,98
96,T94,T94,Ryan Moore,72,0.57,41,72
97,T94,T94,Brandt Snedeker,85,0.57,48,84
98,T94,T94,Charlie Wi,97,0.57,55,97
