,Putting_from_-_15-20_RANK THIS WEEK,Putting_from_-_15-20_RANK LAST WEEK,Putting_from_-_15-20_PLAYER NAME,Putting_from_-_15-20_ROUNDS,Putting_from_-_15-20_% MADE,Putting_from_-_15-20_ATTEMPTS,Putting_from_-_15-20_PUTTS MADE
0,1,1,Chad Collins,72,29.57,115,34
1,2,2,Ryan Palmer,69,26.77,127,34
2,3,3,Adam Scott,51,26.53,49,13
3,4,4,Chris Riley,51,26.47,68,18
4,5,5,Eric Axley,113,26.32,171,45
5,T6,T6,Steve Flesch,95,25.0,172,43
6,T6,T6,Brian Gay,102,25.0,168,42
7,8,8,Jeff Quinney,87,24.63,134,33
8,9,9,Richard Johnson,77,24.62,130,32
9,10,10,Corey Pavin,69,24.51,102,25
10,11,11,Rod Pampling,83,24.46,139,34
11,12,12,Justin Leonard,101,24.39,164,40
12,13,13,Gavin Coles,54,24.3,107,26
13,14,14,Greg Kraft,63,24.07,108,26
14,15,15,Carlos Franco,73,23.85,130,31
15,T16,T16,K.J. Choi,74,23.71,97,23
16,T16,T16,Tommy Gainey,60,23.71,97,23
17,18,18,Charlie Wi,97,23.42,158,37
18,19,19,Ken Duke,116,23.19,207,48
19,20,20,Camilo Villegas,79,23.08,117,27
20,T21,T21,Glen Day,64,22.94,109,25
21,T21,T21,Carl Pettersson,110,22.94,170,39
22,23,23,Stephen Leaney,53,22.89,83,19
23,24,24,Jesper Parnevik,88,22.4,125,28
24,25,25,Stephen Ames,83,22.38,143,32
25,26,26,Bob Tway,70,22.13,122,27
26,27,27,Dean Wilson,109,22.12,208,46
27,28,28,Marc Turnesa,87,21.99,141,31
28,29,29,Scott McCarron,63,21.9,105,23
29,30,30,J.P. Hayes,67,21.77,124,27
30,31,31,Chad Campbell,94,21.6,162,35
31,T32,T32,Tom Scherrer,56,21.59,88,19
32,T32,T32,D.J. Trahan,94,21.59,176,38
33,34,34,Kevin Na,97,21.38,159,34
34,35,35,Daniel Chopra,84,21.05,133,28
35,36,36,Tom Pernice Jr.,104,20.97,186,39
36,37,37,Pat Perez,93,20.95,148,31
37,38,38,Jason Gore,94,20.93,172,36
38,39,39,Craig Kanada,65,20.91,110,23
39,40,40,Paul Goydos,78,20.77,130,27
40,41,41,Mathias Grönberg,87,20.75,159,33
41,42,42,Kevin Sutherland,98,20.65,155,32
42,43,43,Frank Lickliter II,107,20.59,204,42
43,44,44,Lucas Glover,91,20.57,175,36
