,GIR_Putting_Avg_-__35_RANK THIS WEEK,GIR_Putting_Avg_-__35_RANK LAST WEEK,GIR_Putting_Avg_-__35_PLAYER NAME,GIR_Putting_Avg_-__35_ROUNDS,GIR_Putting_Avg_-__35_% MADE,GIR_Putting_Avg_-__35_ATTEMPTS,GIR_Putting_Avg_-__35_PUTTS MADE
0,1,1,Marco Dawson,64,0.83,96,8.0
1,2,2,Steve Stricker,75,0.79,127,10.0
2,T3,T3,Chad Campbell,94,0.71,155,11.0
3,T3,T3,Bob Tway,70,0.71,113,8.0
4,T5,T5,Retief Goosen,59,0.69,72,5.0
5,T5,T5,Vijay Singh,82,0.69,131,9.0
6,T7,T7,Billy Andrade,71,0.66,136,9.0
7,T7,T7,Scott McCarron,63,0.66,121,8.0
8,T7,T7,Jesper Parnevik,88,0.66,183,12.0
9,10,10,Mark Hensby,71,0.65,123,8.0
10,T11,T11,Stewart Cink,87,0.63,144,9.0
11,T11,T11,Jeff Quinney,87,0.63,159,10.0
12,13,13,Kevin Na,97,0.61,163,10.0
13,T14,T14,Rory Sabbatini,77,0.6,134,8.0
14,T14,T14,Camilo Villegas,79,0.6,134,8.0
15,16,16,Matt Jones,95,0.59,187,11.0
16,T17,T17,Jeff Gove,50,0.58,103,6.0
17,T17,T17,Davis Love III,78,0.58,139,8.0
18,19,19,James Driscoll,85,0.57,193,11.0
19,T20,T20,Rich Beem,90,0.56,144,8.0
20,T20,T20,K.J. Choi,74,0.56,143,8.0
21,T20,T20,Glen Day,64,0.56,107,6.0
22,T20,T20,Steve Lowery,74,0.56,142,8.0
23,T20,T20,Mark Wilson,107,0.56,250,14.0
24,T25,T25,Phil Mickelson,80,0.55,110,6.0
25,T25,T25,Corey Pavin,69,0.55,109,6.0
26,T25,T25,John Riegger,73,0.55,146,8.0
27,T28,T28,Brad Elder,67,0.54,112,6.0
28,T28,T28,Jerry Kelly,89,0.54,149,8.0
29,T28,T28,Greg Kraft,63,0.54,93,5.0
30,T28,T28,John Mallinger,95,0.54,149,8.0
31,T28,T28,Nick O'Hern,82,0.54,149,8.0
32,T33,T33,Michael Allen,91,0.53,152,8.0
33,T33,T33,Jonathan Byrd,88,0.53,170,9.0
34,T35,T35,John Merrick,98,0.52,172,9.0
35,T35,T35,Pat Perez,93,0.52,191,10.0
36,T35,T35,David Toms,70,0.52,97,5.0
37,T38,T38,Steve Elkington,84,0.51,136,7.0
38,T38,T38,J.P. Hayes,67,0.51,136,7.0
39,T38,T38,Ryuji Imada,80,0.51,158,8.0
40,T38,T38,Cliff Kresge,84,0.51,157,8.0
41,T38,T38,Doug LaBelle II,65,0.51,117,6.0
42,T38,T38,Jay Williamson,96,0.51,177,9.0
43,44,44,Bob Sowards,61,0.5,120,6.0
44,T45,T45,Aaron Baddeley,76,0.49,102,5.0
45,T45,T45,Chez Reavie,102,0.49,204,10.0
46,T47,T47,Ryan Armour,87,0.48,167,8.0
47,T47,T47,Steve Flesch,95,0.48,147,7.0
