,Total_1_Putts_-_Inside_5_RANK THIS WEEK,Total_1_Putts_-_Inside_5_RANK LAST WEEK,Total_1_Putts_-_Inside_5_PLAYER NAME,Total_1_Putts_-_Inside_5_ROUNDS,Total_1_Putts_-_Inside_5_TOTAL,Total_1_Putts_-_Inside_5_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_Inside_5_PCT OF ALL 1-PUTTS
0,1,1,Tom Pernice Jr.,104,383,719,53.3
1,T2,T2,Brian Davis,108,374,736,50.8
2,T2,T2,Ken Duke,116,374,770,48.6
3,T2,T2,Patrick Sheehan,124,374,758,49.3
4,5,5,Nathan Green,95,372,711,52.3
5,6,6,Eric Axley,113,363,736,49.3
6,7,7,Brian Gay,102,361,666,54.2
7,T8,T8,Frank Lickliter II,107,353,705,50.1
8,T8,T8,Kevin Na,97,353,682,51.8
9,10,10,Steve Marino,119,346,706,49.0
10,11,11,Mark Wilson,107,341,730,46.7
11,12,12,John Mallinger,95,339,648,52.3
12,13,13,Nicholas Thompson,113,337,675,49.9
13,14,14,Matt Jones,95,335,596,56.2
14,T15,T15,Bill Haas,99,331,614,53.9
15,T15,T15,Carl Pettersson,110,331,713,46.4
16,T17,T17,Joe Ogilvie,100,330,651,50.7
17,T17,T17,Kevin Streelman,114,330,646,51.1
18,T17,T17,Vaughn Taylor,103,330,686,48.1
19,20,20,Charlie Wi,97,327,611,53.5
20,21,21,Briny Baird,113,326,622,52.4
21,22,22,Tim Herron,97,325,641,50.7
22,23,23,Billy Mayfair,103,324,614,52.8
23,24,24,Shane Bertsch,96,322,642,50.2
24,25,25,Jeff Overton,103,320,639,50.1
25,26,26,Chez Reavie,102,313,614,51.0
26,27,27,Dean Wilson,109,312,669,46.6
27,28,28,Charles Howell III,101,310,572,54.2
28,29,29,Kenny Perry,97,303,623,48.6
29,30,30,Charley Hoffman,94,301,593,50.8
30,T31,T31,Martin Laird,98,299,586,51.0
31,T31,T31,Peter Lonard,92,299,551,54.3
32,T33,T33,Jonathan Byrd,88,298,558,53.4
33,T33,T33,Steve Flesch,95,298,571,52.2
34,T33,T33,Dustin Johnson,92,298,533,55.9
35,T33,T33,Bo Van Pelt,101,298,615,48.5
36,37,37,Nick Watney,96,297,571,52.0
37,38,38,Woody Austin,109,295,610,48.4
38,T39,T39,George McNeill,97,294,594,49.5
39,T39,T39,Tim Petrovic,97,294,583,50.4
40,T41,T41,Jesper Parnevik,88,291,570,51.1
41,T41,T41,Kevin Sutherland,98,291,599,48.6
42,T41,T41,Bubba Watson,97,291,532,54.7
43,44,44,Tim Wilkinson,95,288,572,50.3
44,45,45,Troy Matteson,94,287,573,50.1
45,46,46,Parker McLachlin,88,286,571,50.1
46,T47,T47,Bob Estes,90,284,569,49.9
47,T47,T47,Pat Perez,93,284,555,51.2
48,49,49,Lucas Glover,91,283,557,50.8
49,T50,T50,Tim Clark,90,282,543,51.9
50,T50,T50,J.J. Henry,108,282,603,46.8
51,T50,T50,Michael Letzig,88,282,531,53.1
52,T50,T50,John Rollins,94,282,561,50.3
53,T54,T54,Nick Flanagan,89,281,541,51.9
54,T54,T54,Jason Gore,94,281,578,48.6
55,56,56,Heath Slocum,104,279,546,51.1
56,T57,T57,Jason Day,81,278,536,51.9
57,T57,T57,James Driscoll,85,278,518,53.7
58,T57,T57,Tag Ridings,88,278,558,49.8
59,60,60,D.J. Trahan,94,277,525,52.8
60,T61,T61,Mathias Grönberg,87,276,559,49.4
61,T61,T61,Marc Turnesa,87,276,571,48.3
62,T63,T63,Nick O'Hern,82,273,519,52.6
63,T63,T63,Jeff Quinney,87,273,563,48.5
64,T65,T65,Robert Garrigus,90,271,565,48.0
65,T65,T65,Mathew Goggin,91,271,534,50.7
66,T67,T67,Todd Demsey,80,270,494,54.7
67,T67,T67,Jerry Kelly,89,270,509,53.0
68,T69,T69,Michael Allen,91,269,522,51.5
69,T69,T69,Y.E. Yang,89,269,538,50.0
70,71,71,John Merrick,98,268,494,54.3
71,72,72,Lee Janzen,89,267,522,51.1
72,73,73,Jon Mills,95,266,510,52.2
73,T74,T74,Daniel Chopra,84,265,538,49.3
74,T74,T74,Richard Johnson,77,265,529,50.1
75,T76,T76,Robert Allenby,108,264,539,49.0
76,T76,T76,Chad Campbell,94,264,582,45.4
77,T78,T78,Bart Bryant,81,263,470,56.0
78,T78,T78,Ryuji Imada,80,263,501,52.5
