,Putting_from_-_20-25_RANK THIS WEEK,Putting_from_-_20-25_RANK LAST WEEK,Putting_from_-_20-25_PLAYER NAME,Putting_from_-_20-25_ROUNDS,Putting_from_-_20-25_% MADE,Putting_from_-_20-25_ATTEMPTS,Putting_from_-_20-25_PUTTS MADE
0,1,1,Alejandro Cañizares,52,22.64,53,12
1,2,2,Tim Herron,97,20.74,135,28
2,3,3,Greg Kraft,63,20.0,55,11
3,4,4,Joe Ogilvie,100,18.94,132,25
4,5,5,Nathan Green,95,18.75,128,24
5,6,6,Johnson Wagner,83,18.48,92,17
6,7,7,Hunter Mahan,87,18.33,120,22
7,8,8,Stuart Appleby,87,18.18,88,16
8,9,9,Pat Perez,93,17.92,106,19
9,10,10,Tom Scherrer,56,17.81,73,13
10,11,11,Tim Petrovic,97,17.7,113,20
11,12,12,Jonathan Byrd,88,17.65,102,18
12,13,13,Bob Estes,90,17.39,138,24
13,14,14,Woody Austin,109,17.24,145,25
14,15,15,Tommy Armour III,77,17.02,94,16
15,16,16,Craig Kanada,65,16.84,95,16
16,17,17,Zach Johnson,85,16.81,113,19
17,T18,T18,Steve Allan,58,16.67,78,13
18,T18,T18,Paul Casey,55,16.67,48,8
19,T18,T18,Cody Freeman,66,16.67,78,13
20,21,21,Michael Letzig,88,16.49,97,16
21,22,22,Mark Hensby,71,16.48,91,15
22,23,23,Scott McCarron,63,16.47,85,14
23,24,24,Daniel Chopra,84,16.35,104,17
24,25,25,Ben Crane,86,16.26,123,20
25,26,26,Matt Jones,95,16.0,125,20
26,27,27,Tim Clark,90,15.93,113,18
27,28,28,Parker McLachlin,88,15.89,107,17
28,29,29,Patrick Sheehan,124,15.85,164,26
29,30,30,Jeff Overton,103,15.83,120,19
30,31,31,Lee Janzen,89,15.79,114,18
31,32,32,Bart Bryant,81,15.73,89,14
32,33,33,Brad Elder,67,15.71,70,11
33,34,34,Ben Curtis,80,15.63,96,15
34,35,35,Paul Claxton,63,15.58,77,12
35,36,36,Nick Flanagan,89,15.5,129,20
36,T37,T37,Chris DiMarco,87,15.38,117,18
37,T37,T37,Ken Duke,116,15.38,156,24
38,T37,T37,Andres Romero,69,15.38,65,10
39,40,40,Steve Lowery,74,15.31,98,15
40,41,41,Chad Campbell,94,15.28,144,22
41,42,42,Jesper Parnevik,88,15.22,92,14
42,43,43,Carlos Franco,73,14.56,103,15
43,44,44,Marc Turnesa,87,14.52,124,18
44,45,45,Jeff Gove,50,14.47,76,11
45,T46,T46,Jim Furyk,95,14.29,126,18
46,T46,T46,Padraig Harrington,52,14.29,42,6
47,T46,T46,Freddie Jacobson,78,14.29,91,13
48,T46,T46,Jeff Quinney,87,14.29,112,16
49,50,50,John Rollins,94,14.17,120,17
50,51,51,Jason Day,81,14.14,99,14
51,52,52,Will MacKenzie,62,14.12,85,12
52,53,53,Dustin Johnson,92,14.06,128,18
53,54,54,Nick O'Hern,82,13.83,94,13
54,55,55,Frank Lickliter II,107,13.77,138,19
55,56,56,Nick Watney,96,13.76,109,15
