,Putting_Average_RANK THIS WEEK,Putting_Average_RANK LAST WEEK,Putting_Average_PLAYER NAME,Putting_Average_ROUNDS,Putting_Average_AVG,Putting_Average_GIR PUTTS,Putting_Average_GREENS HIT,Putting_Average_BIRDIE CONVERSION,Putting_Average_GIR RANK
0,1,1,Bob Tway,70,1.7180000000000002,1333,776,32.56,33
1,2,2,Ryan Palmer,69,1.72,1302,757,34.39,51
2,3,3,Daniel Chopra,84,1.729,1544,893,31.19,189
3,4,4,Nathan Green,95,1.7409999999999999,1781,1023,32.13,188
4,T5,T5,Aaron Baddeley,76,1.742,1420,815,30.59,T166
5,T5,T5,Padraig Harrington,52,1.742,951,546,32.48,186
6,7,7,Brian Gay,102,1.743,1879,1078,29.71,T129
7,8,8,Justin Leonard,101,1.7469999999999999,1990,1139,29.17,T54
8,9,9,John Mallinger,95,1.7480000000000002,1818,1040,29.26,185
9,10,10,Corey Pavin,69,1.749,1186,678,29.25,196
10,T11,T11,Chad Collins,72,1.75,1265,723,29.09,183
11,T11,T11,Jeff Quinney,87,1.75,1694,968,29.4,172
12,T13,T13,Shane Bertsch,96,1.7519999999999998,1939,1107,29.11,122
13,T13,T13,Ken Duke,116,1.7519999999999998,2371,1353,30.47,T104
14,T15,T15,Joe Ogilvie,100,1.756,1946,1108,30.38,119
15,T15,T15,Camilo Villegas,79,1.756,1593,907,31.86,111
16,17,17,Kevin Na,97,1.757,1950,1110,29.8,133
17,T18,T18,Ben Crane,86,1.758,1790,1018,29.92,73
18,T18,T18,Ryuji Imada,80,1.758,1554,884,29.37,176
19,T18,T18,Parker McLachlin,88,1.758,1661,945,29.15,159
20,T18,T18,Marc Turnesa,87,1.758,1667,948,29.92,T137
21,T22,T22,Stuart Appleby,87,1.761,1648,936,29.55,168
22,T22,T22,Tim Clark,90,1.761,1794,1019,29.79,T131
23,T22,T22,Craig Kanada,65,1.761,1169,664,27.86,158
24,T22,T22,Phil Mickelson,80,1.761,1627,924,31.42,70
25,T26,T26,Marco Dawson,64,1.7619999999999998,1082,614,28.76,182
26,T26,T26,Anthony Kim,81,1.7619999999999998,1690,959,30.09,T71
27,T26,T26,Mike Weir,88,1.7619999999999998,1783,1012,28.44,T109
28,T29,T29,Eric Axley,113,1.7630000000000001,2116,1200,29.63,180
29,T29,T29,Nick O'Hern,82,1.7630000000000001,1634,927,27.83,116
30,T29,T29,Carl Pettersson,110,1.7630000000000001,2218,1258,29.0,134
31,T32,T32,Stewart Cink,87,1.765,1723,976,30.15,41
32,T32,T32,Mark Wilson,107,1.765,2275,1289,29.09,42
33,T34,T34,Jason Day,81,1.766,1687,955,28.66,80
34,T34,T34,Brenden Pappas,66,1.766,1245,705,29.34,88
35,T36,T36,Steve Elkington,84,1.767,1790,1013,28.92,40
36,T36,T36,Dudley Hart,74,1.767,1472,833,28.45,64
37,T36,T36,Freddie Jacobson,78,1.767,1534,868,28.64,171
38,T36,T36,Frank Lickliter II,107,1.767,2177,1232,29.43,124
39,T36,T36,Vaughn Taylor,103,1.767,2145,1214,29.54,T81
40,T36,T36,David Toms,70,1.767,1410,798,28.3,90
41,T42,T42,Chad Campbell,94,1.7690000000000001,2048,1158,29.58,T13
42,T42,T42,Alejandro Cañizares,52,1.7690000000000001,874,494,28.8,T161
43,44,44,Michael Letzig,88,1.77,1694,957,31.34,143
44,T45,T45,Bill Haas,99,1.771,2062,1164,29.11,20
45,T45,T45,Martin Laird,98,1.771,1966,1110,31.26,38
46,T47,T47,Ryan Moore,72,1.7730000000000001,1418,800,30.04,173
47,T47,T47,Tom Pernice Jr.,104,1.7730000000000001,2128,1200,28.99,120
48,T47,T47,Scott Verplank,82,1.7730000000000001,1683,949,28.69,94
49,50,50,Stephen Ames,83,1.774,1703,960,27.8,96
50,T51,T51,Cameron Beckman,87,1.775,1661,936,29.01,69
51,T51,T51,Brian Davis,108,1.775,2251,1268,29.17,89
52,T53,T53,Jonathan Byrd,88,1.776,1712,964,29.31,149
53,T53,T53,James Driscoll,85,1.776,1643,925,28.77,95
54,T53,T53,Jason Gore,94,1.776,2014,1134,30.14,39
55,T53,T53,Greg Kraft,63,1.776,1046,589,28.86,191
56,T53,T53,Jesper Parnevik,88,1.776,1634,920,31.2,184
57,T58,T58,Tim Herron,97,1.777,1852,1042,28.56,163
58,T58,T58,Chris Riley,51,1.777,851,479,26.62,T169
59,T58,T58,Andres Romero,69,1.777,1260,709,29.36,194
60,T58,T58,Patrick Sheehan,124,1.777,2404,1353,27.24,T104
61,T58,T58,Dean Wilson,109,1.777,2204,1240,28.21,77
62,T63,T63,Kenny Perry,97,1.778,2095,1178,29.81,30
63,T63,T63,Brett Rumford,72,1.778,1339,753,28.95,175
