,GIR_Percentage_from_Fairway_RANK THIS WEEK,GIR_Percentage_from_Fairway_RANK LAST WEEK,GIR_Percentage_from_Fairway_PLAYER NAME,GIR_Percentage_from_Fairway_ROUNDS,GIR_Percentage_from_Fairway_%,GIR_Percentage_from_Fairway_GREENS HIT,GIR_Percentage_from_Fairway_# OF HOLES
0,1,1,Fred Couples,71,84.14,467,555
1,2,2,Tiger Woods,82,82.08,591,720
2,3,3,Stewart Cink,98,80.67,651,807
3,4,4,David Toms,113,80.63,841,1043
4,5,5,Duffy Waldorf,80,80.24,540,673
5,6,6,Davis Love III,98,80.2,652,813
6,7,7,David Peoples,99,80.1,765,955
7,8,8,Bob Tway,91,80.03,633,791
8,9,9,Chris DiMarco,118,79.92,852,1066
9,10,10,Joe Durant,94,79.9,831,1040
10,11,11,Chris Perry,109,79.81,846,1060
11,12,12,Vijay Singh,97,79.74,669,839
12,13,13,Perry Moss,53,79.27,367,463
13,14,14,Bob May,95,79.13,656,829
14,15,15,Jeff Sluman,113,79.03,814,1030
15,16,16,Phil Mickelson,85,79.01,561,710
16,17,17,Grant Waite,85,78.96,638,808
17,18,18,Kenny Perry,76,78.93,573,726
18,19,19,Robert Gamez,76,78.68,598,760
19,20,20,Brandel Chamblee,72,78.54,538,685
20,21,21,J.L. Lewis,104,78.39,711,907
21,22,22,Kirk Triplett,101,78.34,738,942
22,23,23,Hal Sutton,93,78.32,701,895
23,24,24,Carlos Franco,85,78.3,534,682
24,25,25,Tom Lehman,71,78.27,508,649
25,26,26,Steve Stricker,63,78.25,367,469
26,27,27,Glen Hnatiuk,94,78.19,753,963
27,T28,T28,Steve Flesch,123,78.18,885,1132
28,T28,T28,Mathew Goggin,91,78.18,663,848
29,30,30,Greg Kraft,106,78.1,806,1032
30,31,31,Kelly Gibson,84,78.02,582,746
31,32,32,Steve Elkington,59,78.01,415,532
32,33,33,Joey Sindelar,88,77.96,605,776
33,34,34,Tom Scherrer,104,77.94,735,943
34,35,35,Andrew Magee,78,77.91,515,661
35,36,36,Mike Weir,102,77.84,699,898
36,37,37,Shaun Micheel,94,77.83,660,848
