,Greens_in_Regulation_Percentage_RANK THIS WEEK,Greens_in_Regulation_Percentage_RANK LAST WEEK,Greens_in_Regulation_Percentage_PLAYER NAME,Greens_in_Regulation_Percentage_ROUNDS,Greens_in_Regulation_Percentage_%,Greens_in_Regulation_Percentage_GREENS HIT,Greens_in_Regulation_Percentage_# HOLES,Greens_in_Regulation_Percentage_RELATIVE/PAR
0,1,1,Tiger Woods,82,75.15,974,1296,-0.37
1,2,2,Joe Durant,94,72.34,1224,1692,-0.23
2,3,3,Kenny Perry,76,71.86,983,1368,-0.27
3,4,4,Chris Perry,109,71.2,1320,1854,-0.28
4,5,5,Fred Couples,71,71.13,845,1188,-0.28
5,6,6,Vijay Singh,97,71.09,1126,1584,-0.27
6,7,7,Glen Hnatiuk,94,70.8,1147,1620,-0.23
7,8,8,Steve Flesch,123,70.75,1490,2106,-0.3
8,9,9,David Duval,73,70.46,799,1134,-0.3
9,10,10,Tom Lehman,71,70.26,822,1170,-0.23
10,11,11,David Toms,113,70.16,1326,1890,-0.27
11,12,12,John Cook,90,70.14,1111,1584,-0.22
12,13,13,Bob May,95,70.11,1098,1566,-0.25
13,14,14,David Peoples,99,69.81,1244,1782,-0.25
14,15,15,Hal Sutton,93,69.73,1092,1566,-0.27
15,16,16,Kirk Triplett,101,69.71,1167,1674,-0.28
16,17,17,Scott Verplank,106,69.6,1303,1872,-0.27
17,18,18,Duffy Waldorf,80,69.41,937,1350,-0.25
18,19,19,Scott Dunlap,106,69.34,1298,1872,-0.26
19,20,20,Kelly Gibson,84,69.31,1023,1476,-0.2
20,T21,T21,Brandel Chamblee,72,69.29,873,1260,-0.25
21,T21,T21,Mathew Goggin,91,69.29,1110,1602,-0.24
22,T23,T23,Chris DiMarco,118,69.25,1396,2016,-0.29
23,T23,T23,Dudley Hart,74,69.25,885,1278,-0.24
24,25,25,Blaine McCallister,104,69.18,1295,1872,-0.26
25,26,26,Joel Edwards,99,69.14,1232,1782,-0.24
26,27,27,Stewart Cink,98,69.11,1132,1638,-0.28
27,T28,T28,Fred Funk,110,69.0,1329,1926,-0.24
28,T28,T28,Davis Love III,98,69.0,1093,1584,-0.31
29,30,30,Bob Tway,91,68.97,1080,1566,-0.25
30,31,31,Mark Calcavecchia,99,68.94,1092,1584,-0.27
31,32,32,Grant Waite,85,68.89,1054,1530,-0.28
32,33,33,Scott Hoch,108,68.86,1289,1872,-0.27
33,T34,T34,Greg Chalmers,96,68.72,1138,1656,-0.29
34,T34,T34,Steve Elkington,59,68.72,668,972,-0.22
35,36,36,Bill Glasson,93,68.58,1148,1674,-0.28
36,37,37,Olin Browne,103,68.52,1221,1782,-0.23
37,38,38,Kevin Sutherland,98,68.5,1159,1692,-0.26
38,39,39,Mike Weir,102,68.48,1134,1656,-0.29
39,40,40,Jeff Maggert,86,68.45,961,1404,-0.23
40,41,41,J.L. Lewis,104,68.3,1254,1836,-0.26
41,42,42,Robert Gamez,76,68.27,934,1368,-0.25
42,T43,T43,Steve Lowery,107,68.06,1274,1872,-0.29
43,T43,T43,Phil Mickelson,85,68.06,931,1368,-0.35
44,45,45,Jim Furyk,98,68.01,1114,1638,-0.27
45,46,46,Nick Price,63,67.96,734,1080,-0.28
46,47,47,Greg Kraft,106,67.92,1296,1908,-0.25
47,48,48,Tom Scherrer,104,67.9,1210,1782,-0.25
48,49,49,Stephen Ames,99,67.89,1161,1710,-0.28
49,50,50,Tom Purtzer,58,67.86,684,1008,-0.21
50,51,51,Jeff Sluman,113,67.81,1306,1926,-0.28
51,T52,T52,Justin Leonard,98,67.79,1086,1602,-0.27
52,T52,T52,David Sutherland,109,67.79,1269,1872,-0.24
53,T54,T54,Rocco Mediate,79,67.75,878,1296,-0.24
54,T54,T54,Mike Reid,76,67.75,878,1296,-0.22
55,56,56,Billy Mayfair,93,67.74,1073,1584,-0.23
56,57,57,Perry Moss,53,67.71,646,954,-0.23
57,58,58,Joey Sindelar,88,67.66,1023,1512,-0.24
58,59,59,Carl Paulson,105,67.58,1253,1854,-0.26
59,60,60,Shaun Micheel,94,67.52,1106,1638,-0.24
60,T61,T61,Skip Kendall,114,67.46,1360,2016,-0.28
61,T61,T61,Franklin Langham,95,67.46,1105,1638,-0.29
62,63,63,Paul Stankowski,77,67.43,886,1314,-0.3
63,T64,T64,Doug Barron,85,67.41,995,1476,-0.24
64,T64,T64,Bradley Hughes,93,67.41,1092,1620,-0.23
65,66,66,Russ Cochran,71,67.37,861,1278,-0.26
66,67,67,Brandt Jobe,91,67.36,1067,1584,-0.25
67,68,68,Brent Geiberger,79,67.33,909,1350,-0.25
68,69,69,Robert Allenby,98,67.28,1090,1620,-0.27
69,70,70,Casey Martin,90,67.23,1065,1584,-0.25
70,71,71,Tom Byrum,91,67.17,1076,1602,-0.24
71,72,72,Lee Janzen,92,67.1,1075,1602,-0.26
72,73,73,K.J. Choi,92,67.04,1074,1602,-0.23
73,T74,T74,Dan Forsman,88,66.92,1060,1584,-0.23
74,T74,T74,Craig Parry,73,66.92,783,1170,-0.24
75,76,76,Cameron Beckman,81,66.87,975,1458,-0.23
76,77,77,Tim Herron,96,66.85,1107,1656,-0.27
77,78,78,Jerry Kelly,111,66.82,1335,1998,-0.27
78,79,79,Frank Nobilo,98,66.78,1142,1710,-0.23
79,80,80,Craig Barlow,98,66.67,1152,1728,-0.24
80,81,81,Scott Gump,108,66.61,1259,1890,-0.18
81,82,82,John Huston,81,66.6,935,1404,-0.28
82,83,83,Ernie Els,74,66.49,766,1152,-0.29
83,84,84,Woody Austin,104,66.39,1207,1818,-0.24
84,85,85,Peter Jacobsen,65,66.24,775,1170,-0.22
85,86,86,Brian Watts,89,66.22,1049,1584,-0.23
86,87,87,Brad Elder,110,66.21,1311,1980,-0.26
87,88,88,Loren Roberts,87,66.19,977,1476,-0.26
88,89,89,Glen Day,93,66.18,1096,1656,-0.28
89,90,90,Esteban Toledo,113,66.12,1321,1998,-0.23
90,91,91,Frank Lickliter II,107,66.08,1249,1890,-0.27
91,92,92,Jeff Gove,86,66.06,975,1476,-0.21
92,93,93,Tommy Armour III,91,66.04,1058,1602,-0.21
93,94,94,Jesper Parnevik,71,65.97,760,1152,-0.31
94,95,95,Harrison Frazar,72,65.95,831,1260,-0.28
95,96,96,Rich Beem,84,65.91,961,1458,-0.23
96,97,97,Brian Henninger,93,65.86,1055,1602,-0.28
97,98,98,Andrew Magee,78,65.83,865,1314,-0.25
98,T99,T99,Ronnie Black,82,65.82,936,1422,-0.23
99,T99,T99,Jonathan Kaye,115,65.82,1327,2016,-0.29
100,101,101,Pete Jordan,102,65.8,1208,1836,-0.22
