,Consecutive_GIR_RANK THIS WEEK,Consecutive_GIR_RANK LAST WEEK,Consecutive_GIR_PLAYER NAME,Consecutive_GIR_EVENTS,Consecutive_GIR_STREAK,Consecutive_GIR_CURRENT STREAK,Consecutive_GIR_ROUND,Consecutive_GIR_HOLE,Consecutive_GIR_YEAR/TOURN#
0,T1,T1,Glen Hnatiuk,31,33,4.0,3,18,2001420
1,T1,T1,Tom Lehman,23,33,,2,18,2001350
2,3,3,Robert Allenby,29,31,1.0,1,16,2001420
3,T4,T4,John Huston,20,30,1.0,3,12,2001030
4,T4,T4,Bob May,25,30,,1,17,2001460
5,T4,T4,Scott McCarron,25,30,3.0,2,18,2001470
6,T7,T7,Joe Durant,25,28,7.0,2,18,2001340
7,T7,T7,Jim McGovern,21,28,,4,14,2001290
8,T7,T7,Rory Sabbatini,23,28,,2,11,2001030
9,10,10,Woody Austin,34,27,,4,8,2001290
10,T11,T11,Bill Glasson,26,26,2.0,2,4,2001070
11,T11,T11,Charles Howell III,24,26,4.0,2,7,2001470
12,T11,T11,Frank Lickliter II,29,26,,3,15,2001290
13,T11,T11,Joey Sindelar,25,26,,4,11,2001380
14,T11,T11,Tiger Woods,19,26,,2,7,2001500
15,T16,T16,Mark Brooks,27,25,1.0,3,8,2001270
16,T16,T16,Stewart Cink,29,25,11.0,1,1,2001030
17,T16,T16,Chris DiMarco,29,25,10.0,3,12,2001030
18,T16,T16,Shigeki Maruyama,27,25,,1,12,2001460
19,T16,T16,Larry Mize,24,25,4.0,1,6,2001470
20,T21,T21,Steve Allan,31,24,,4,1,2001080
21,T21,T21,Stuart Appleby,29,24,,2,4,2001470
22,T21,T21,Geoff Ogilvy,23,24,2.0,3,9,2001110
23,T24,T24,Briny Baird,31,23,2.0,2,18,2001470
24,T24,T24,David Duval,20,23,6.0,4,17,2001480
25,T24,T24,Neal Lancaster,36,23,,3,12,2001340
26,T24,T24,Justin Leonard,30,23,1.0,3,3,2001030
27,T24,T24,Arron Oberholser,1,23,1.0,2,10,2001060
28,T24,T24,David Peoples,31,23,12.0,3,2,2001470
29,T24,T24,Esteban Toledo,36,23,,4,13,2001070
30,T24,T24,David Toms,28,23,1.0,2,14,2001030
31,T24,T24,Kirk Triplett,26,23,,3,3,2001030
32,T33,T33,Joel Edwards,30,22,3.0,5,3,2001460
33,T33,T33,Bob Estes,26,22,2.0,1,10,2001430
34,T33,T33,Brian Gay,32,22,1.0,2,2,2001460
