,Best_YTD_Streak_wo_a_3-Putt_RANK THIS WEEK,Best_YTD_Streak_wo_a_3-Putt_RANK LAST WEEK,Best_YTD_Streak_wo_a_3-Putt_PLAYER NAME,Best_YTD_Streak_wo_a_3-Putt_EVENTS,Best_YTD_Streak_wo_a_3-Putt_BEST STREAK,Best_YTD_Streak_wo_a_3-Putt_CURRENT STREAK
0,1,1,Brian Gay,32,419,6.0
1,2,2,Vijay Singh,26,367,24.0
2,3,3,Kirk Triplett,26,344,62.0
3,4,4,David Frost,27,341,4.0
4,5,5,Joe Ogilvie,34,284,2.0
5,6,6,Larry Mize,24,278,5.0
6,7,7,John Riegger,27,273,27.0
7,8,8,Steve Stricker,20,264,35.0
8,9,9,Dennis Paulson,25,261,3.0
9,10,10,Paul Azinger,20,251,31.0
10,11,11,Esteban Toledo,36,248,22.0
11,12,12,Jim Furyk,24,239,12.0
12,13,13,Craig Kanada,28,237,137.0
13,14,14,Corey Pavin,22,235,99.0
14,15,15,Glen Day,28,233,75.0
15,16,16,D.A. Weibring,10,232,4.0
16,T17,T17,Billy Andrade,27,215,36.0
17,T17,T17,Bob Estes,26,215,2.0
18,19,19,Tripp Isenhour,31,214,9.0
19,20,20,Jerry Kelly,31,213,43.0
20,21,21,Tiger Woods,19,212,1.0
21,22,22,Tom Pernice Jr.,33,211,34.0
22,23,23,Skip Kendall,33,208,4.0
23,24,24,Steve Pate,30,206,23.0
24,25,25,Kevin Sutherland,30,204,10.0
25,26,26,Nick Price,20,202,4.0
26,T27,T27,Michael Bradley,8,200,11.0
27,T27,T27,Justin Leonard,30,200,8.0
28,T27,T27,Bob Tway,29,200,9.0
29,30,30,Gabriel Hjertstedt,30,199,22.0
30,T31,T31,Jimmy Green,33,194,21.0
31,T31,T31,Jeff Sluman,30,194,14.0
32,33,33,Hal Sutton,26,193,10.0
33,T34,T34,Chris Perry,26,192,137.0
34,T34,T34,Mark Wiebe,24,192,13.0
35,T36,T36,Craig Parry,22,191,19.0
36,T36,T36,Kenny Perry,26,191,32.0
37,T36,T36,Joey Sindelar,25,191,16.0
38,39,39,Jonathan Kaye,33,190,2.0
39,40,40,Greg Kraft,33,189,55.0
40,T41,T41,Tommy Armour III,32,187,158.0
41,T41,T41,"David Berganio, Jr.",25,187,3.0
42,T41,T41,Mike Weir,23,187,50.0
43,44,44,Pete Jordan,36,184,12.0
44,45,45,Michael Muehr,32,183,32.0
45,46,46,Chris Riley,30,182,29.0
46,T47,T47,Matt Gogel,26,181,11.0
47,T47,T47,David Peoples,31,181,4.0
48,49,49,Len Mattiace,30,180,21.0
49,50,50,Phil Mickelson,23,179,5.0
50,51,51,Shigeki Maruyama,27,178,124.0
51,52,52,Lee Porter,30,177,22.0
52,T53,T53,Jay Don Blake,31,176,30.0
53,T53,T53,Gary Nicklaus,34,176,37.0
54,T55,T55,Mark Calcavecchia,23,173,75.0
55,T55,T55,Richie Coughlan,26,173,32.0
56,T55,T55,Rocco Mediate,21,173,13.0
57,58,58,Edward Fryatt,31,172,24.0
58,59,59,Brad Faxon,26,171,14.0
59,60,60,Craig Barlow,23,170,19.0
60,T61,T61,Robert Damron,27,169,23.0
61,T61,T61,Joe Durant,25,169,3.0
62,T61,T61,Glen Hnatiuk,31,169,9.0
63,T64,T64,Russ Cochran,24,166,166.0
64,T64,T64,John Cook,25,166,54.0
65,T64,T64,Brad Elder,35,166,68.0
66,T67,T67,Jim Carter,28,165,1.0
67,T67,T67,Greg Chalmers,27,165,139.0
68,T67,T67,Franklin Langham,22,165,1.0
69,70,70,Brent Geiberger,25,164,46.0
70,T71,T71,Charles Howell III,24,163,16.0
71,T71,T71,Davis Love III,20,163,8.0
72,T71,T71,Steve Lowery,28,163,23.0
73,74,74,José Coceres,19,162,7.0
74,75,75,Billy Mayfair,29,161,23.0
75,T76,T76,Chris DiMarco,29,160,41.0
76,T76,T76,Andrew McLardy,26,160,24.0
77,T78,T78,Tom Byrum,27,159,58.0
78,T78,T78,John Daly,25,159,3.0
79,T78,T78,Nick Faldo,13,159,7.0
80,T81,T81,Aaron Baddeley,9,158,158.0
81,T81,T81,Fred Couples,19,158,125.0
82,T81,T81,Joel Edwards,30,158,20.0
83,T84,T84,Barry Cheesman,16,157,1.0
84,T84,T84,David Toms,28,157,6.0
85,T86,T86,Jeremy Anderson,28,155,18.0
86,T86,T86,Tom Lehman,23,155,23.0
87,88,88,Jay Haas,21,154,28.0
88,T89,T89,J.L. Lewis,31,153,31.0
89,T89,T89,Willie Wood,16,153,60.0
90,T91,T91,Scott McCarron,25,152,6.0
91,T91,T91,David Morland IV,29,152,53.0
92,T91,T91,Loren Roberts,25,152,80.0
93,T94,T94,Dan Forsman,25,149,10.0
94,T94,T94,Spike McRoy,31,149,12.0
95,T96,T96,Cameron Beckman,29,148,46.0
96,T96,T96,Ben Crenshaw,11,148,103.0
97,T96,T96,Fred Funk,33,148,41.0
98,T96,T96,Jesper Parnevik,25,148,41.0
99,100,100,Woody Austin,34,147,4.0
100,T101,T101,Paul Goydos,29,145,31.0
101,T101,T101,Tim Herron,29,145,6.0
102,T101,T101,Blaine McCallister,28,145,12.0
103,104,104,Mark Hensby,29,144,1.0
104,T105,T105,Olin Browne,30,143,4.0
105,T105,T105,Doug Dunakey,32,143,50.0
106,T105,T105,Brett Quigley,21,143,18.0
107,108,108,Marco Dawson,19,142,11.0
108,T109,T109,Fulton Allem,21,141,25.0
109,T109,T109,Steve Elkington,20,141,76.0
110,T109,T109,Kelly Grunewald,27,141,32.0
111,112,112,Mark Brooks,27,140,12.0
112,113,113,Carl Paulson,31,138,14.0
113,T114,T114,Matt Kuchar,11,137,61.0
114,T114,T114,Brian Watts,16,137,22.0
115,T116,T116,J.P. Hayes,23,136,31.0
116,T116,T116,Lee Janzen,29,136,1.0
117,T118,T118,K.J. Choi,29,135,12.0
118,T118,T118,Ernie Els,19,135,5.0
119,T118,T118,Chris Smith,30,135,54.0
120,T121,T121,Jeff Brehaut,26,134,3.0
121,T121,T121,Neal Lancaster,36,134,46.0
122,T121,T121,Bernhard Langer,17,134,13.0
123,T121,T121,Ted Tryba,33,134,46.0
124,T125,T125,Steve Flesch,32,133,21.0
125,T125,T125,Pierre Fulke,8,133,133.0
126,T125,T125,Kevin Johnson,32,133,22.0
127,128,128,Harrison Frazar,25,131,30.0
128,T129,T129,Stephen Ames,26,129,73.0
129,T129,T129,Bob May,25,129,50.0
130,T129,T129,Geoff Ogilvy,23,129,50.0
131,T132,T132,Jay Delsing,5,128,128.0
132,T132,T132,Robin Freeman,34,128,5.0
133,T132,T132,Curtis Strange,11,128,
134,T132,T132,Jay Williamson,35,128,50.0
135,T136,T136,Bob Burns,29,127,72.0
136,T136,T136,Stewart Cink,29,127,35.0
137,138,138,Hunter Haas,30,126,126.0
138,T139,T139,Michael Clark II,30,125,7.0
139,T139,T139,Mike Sposa,29,125,95.0
140,T141,T141,Briny Baird,31,124,99.0
141,T141,T141,Ángel Cabrera,8,124,5.0
142,T141,T141,Cliff Kresge,31,124,10.0
143,T141,T141,Frank Lickliter II,29,124,6.0
144,T141,T141,Bryce Molder,7,124,6.0
145,T141,T141,Tim Thelen,7,124,23.0
146,147,147,Rich Beem,31,123,30.0
147,T148,T148,Stuart Appleby,29,122,11.0
148,T148,T148,Frank Nobilo,28,122,6.0
149,T148,T148,Craig Spence,19,122,55.0
150,T151,T151,Sergio Garcia,18,121,14.0
151,T151,T151,Bradley Hughes,33,121,22.0
152,T151,T151,Jerry Smith,31,121,115.0
153,T151,T151,Tommy Tolles,31,121,33.0
154,T155,T155,Brad Fabel,10,120,40.0
155,T155,T155,Dudley Hart,25,120,25.0
156,T155,T155,John Huston,20,120,36.0
157,T155,T155,Steve Jones,25,120,9.0
158,T159,T159,Shaun Micheel,34,119,119.0
159,T159,T159,Paul Stankowski,27,119,10.0
160,T161,T161,Brandel Chamblee,23,118,21.0
161,T161,T161,Bill Glasson,26,118,1.0
162,T161,T161,Scott Verplank,26,118,1.0
163,T164,T164,Danny Ellis,27,116,43.0
164,T164,T164,Mathew Goggin,33,116,53.0
165,T164,T164,Ian Leggatt,29,116,7.0
166,T164,T164,Hidemichi Tanaka,7,116,3.0
167,T168,T168,Brian Henninger,29,115,58.0
168,T168,T168,Andrew Magee,31,115,32.0
169,T168,T168,Scott Simpson,22,115,42.0
170,171,171,Scott Hoch,24,114,13.0
171,T172,T172,Mike Springer,10,113,23.0
172,T172,T172,Rocky Walcher,26,113,30.0
173,T174,T174,Gary Hallberg,9,112,109.0
174,T174,T174,Kaname Yokoo,27,112,45.0
175,T176,T176,Jim McGovern,21,111,
176,T176,T176,Sean Murphy,27,111,24.0
177,T178,T178,Emanuele Canonica,19,109,5.0
178,T178,T178,Joe Ozaki,17,109,62.0
179,180,180,Fuzzy Zoeller,15,108,19.0
180,T181,T181,Peter Jacobsen,17,107,3.0
181,T181,T181,Rory Sabbatini,23,107,19.0
182,T181,T181,Grant Waite,28,107,7.0
183,184,184,Carlos Franco,27,106,106.0
184,185,185,Dick Mast,3,105,7.0
185,T186,T186,Dicky Pride,27,104,72.0
186,T186,T186,Chris Tidland,29,104,66.0
187,T188,T188,Ronnie Black,17,103,12.0
188,T188,T188,Craig Bowden,4,103,16.0
189,T188,T188,Greg Norman,11,103,14.0
190,T188,T188,Toru Taniguchi,9,103,7.0
191,T192,T192,J.J. Henry,28,102,44.0
192,T192,T192,Brandt Jobe,30,102,5.0
193,T192,T192,Tom Purtzer,16,102,93.0
194,T195,T195,Notah Begay III,12,101,8.0
195,T195,T195,Billy Ray Brown,9,101,2.0
196,T195,T195,Jeff Julian,22,101,18.0
197,T195,T195,Brent Schwarzrock,20,101,53.0
198,199,199,Doug Barron,25,100,22.0
199,200,200,David Gossett,15,99,22.0
200,T201,T201,Keith Clearwater,23,98,62.0
201,T201,T201,Paul Gow,27,98,31.0
202,T201,T201,Kent Jones,28,98,61.0
203,T201,T201,Jeff Maggert,27,98,40.0
204,T201,T201,Craig Perks,30,98,33.0
205,T201,T201,Adam Scott,6,98,59.0
206,207,207,"Jim Gallagher, Jr.",15,96,96.0
207,T208,T208,David Duval,20,95,14.0
208,T208,T208,Paul Lawrie,6,95,1.0
209,T210,T210,Padraig Harrington,9,94,94.0
210,T210,T210,Jeff Hart,28,94,14.0
211,T210,T210,Miguel Angel Jiménez,15,94,11.0
212,T213,T213,Per-Ulrik Johansson,29,93,27.0
213,T213,T213,"Dave Stockton, Jr.",21,93,93.0
214,T215,T215,Retief Goosen,10,92,11.0
215,T215,T215,Donnie Hammond,14,92,12.0
216,T215,T215,José María Olazábal,15,92,20.0
217,T215,T215,Phil Tataurangi,12,92,16.0
218,219,219,Phillip Price,6,91,10.0
219,T220,T220,Steve Allan,31,90,19.0
220,T220,T220,Robert Allenby,29,90,7.0
221,T220,T220,Mike Hulbert,19,90,13.0
222,T220,T220,Heath Slocum,8,90,90.0
223,T224,T224,James Driscoll,4,89,23.0
224,T224,T224,Scott Dunlap,28,89,4.0
225,T224,T224,Lee Westwood,6,89,29.0
226,T227,T227,Larry Rinker,7,88,1.0
227,T227,T227,Tom Scherrer,28,88,4.0
228,T227,T227,Jean Van de Velde,17,88,3.0
229,T230,T230,Ben Bates,18,85,8.0
230,T230,T230,Brian Claar,8,85,
231,T230,T230,Trevor Dodds,2,85,58.0
232,T230,T230,Jason Gore,30,85,12.0
233,T234,T234,Robert Gamez,22,82,29.0
234,T234,T234,Joey Gullion,3,82,2.0
235,T236,T236,Thomas Bjørn,7,81,30.0
236,T236,T236,Gary Koch,2,81,26.0
237,T236,T236,Peter Lonard,7,81,2.0
