,Consecutive_Birdies_Streak_RANK THIS WEEK,Consecutive_Birdies_Streak_RANK LAST WEEK,Consecutive_Birdies_Streak_PLAYER NAME,Consecutive_Birdies_Streak_EVENTS,Consecutive_Birdies_Streak_NUMBER OF HOLES
151,T61,T61,Tom Pernice Jr.,33,4
152,T61,T61,Chris Perry,26,4
153,T61,T61,Lee Porter,30,4
154,T61,T61,Brett Quigley,21,4
155,T61,T61,John Riegger,27,4
156,T61,T61,Chris Riley,30,4
157,T61,T61,Larry Rinker,7,4
158,T61,T61,Rory Sabbatini,23,4
159,T61,T61,Scott Simpson,22,4
160,T61,T61,Chris Smith,30,4
161,T61,T61,Jerry Smith,31,4
162,T61,T61,Craig Spence,19,4
163,T61,T61,Mike Sposa,29,4
164,T61,T61,Craig Stadler,19,4
165,T61,T61,Paul Stankowski,27,4
166,T61,T61,"Dave Stockton, Jr.",21,4
167,T61,T61,Steve Stricker,20,4
168,T61,T61,Hal Sutton,26,4
169,T61,T61,Tim Thelen,7,4
170,T61,T61,Chris Tidland,29,4
171,T61,T61,Esteban Toledo,36,4
172,T61,T61,Tommy Tolles,31,4
173,T61,T61,David Toms,28,4
174,T61,T61,Kirk Triplett,26,4
175,T61,T61,Ted Tryba,33,4
176,T61,T61,Bob Tway,29,4
177,T61,T61,Omar Uresti,3,4
178,T61,T61,Grant Waite,28,4
179,T61,T61,Duffy Waldorf,27,4
180,T61,T61,Brian Watts,16,4
181,T61,T61,Mike Weir,23,4
182,T61,T61,Kevin Wentworth,14,4
183,T61,T61,Brian Wilson,31,4
184,T61,T61,Tiger Woods,19,4
185,T61,T61,Kaname Yokoo,27,4
186,T61,T61,Fuzzy Zoeller,15,4
187,T188,T188,Steven Alker,1,3
188,T188,T188,Michael Allen,1,3
189,T188,T188,Jeremy Anderson,28,3
190,T188,T188,Tommy Armour III,32,3
191,T188,T188,Perry Arthur,1,3
192,T188,T188,Aaron Baddeley,9,3
193,T188,T188,Ben Bates,18,3
194,T188,T188,Chip Beck,4,3
195,T188,T188,Rich Beem,31,3
196,T188,T188,Notah Begay III,12,3
197,T188,T188,Thomas Bjørn,7,3
198,T188,T188,Kyle Blackman,1,3
199,T188,T188,Michael Bradley,8,3
200,T188,T188,Rob Bradley,1,3
201,T188,T188,Danny Briggs,1,3
202,T188,T188,Chad Campbell,3,3
203,T188,T188,Michael Campbell,10,3
204,T188,T188,Tony Carolan,1,3
205,T188,T188,Brandel Chamblee,23,3
206,T188,T188,Michael Christensen,1,3
207,T188,T188,Darren Clarke,7,3
208,T188,T188,Bobby Cole,1,3
209,T188,T188,Andrew Coltart,3,3
210,T188,T188,Erik Compton,1,3
211,T188,T188,Tim Conley,1,3
212,T188,T188,Michael Connell,1,3
213,T188,T188,Ben Curtis,1,3
214,T188,T188,Jay Delsing,5,3
215,T188,T188,Paul Devenport,2,3
216,T188,T188,Doug Dunakey,32,3
217,T188,T188,Nick Faldo,13,3
218,T188,T188,Todd Fanning,2,3
219,T188,T188,Niclas Fasth,3,3
220,T188,T188,Ben Ferguson,30,3
221,T188,T188,Gene Fieger,2,3
222,T188,T188,"Jim Gallagher, Jr.",15,3
223,T188,T188,Sergio Garcia,18,3
224,T188,T188,Bill Glasson,26,3
225,T188,T188,Retief Goosen,10,3
226,T188,T188,David Gossett,15,3
227,T188,T188,Scott Gump,6,3
228,T188,T188,Morris Hatalsky,1,3
229,T188,T188,Mike Heinen,8,3
230,T188,T188,Nolan Henke,8,3
231,T188,T188,J.J. Henry,28,3
232,T188,T188,Mark Hensby,29,3
233,T188,T188,Kazuhiko Hosokawa,2,3
234,T188,T188,Bradley Hughes,33,3
235,T188,T188,Mike Hulbert,19,3
236,T188,T188,Mikko Ilonen,4,3
237,T188,T188,Per-Ulrik Johansson,29,3
238,T188,T188,Mark Johnson,1,3
239,T188,T188,Kent Jones,28,3
240,T188,T188,Jeff Julian,22,3
241,T188,T188,Bobby Kalinowski,2,3
242,T188,T188,Craig Kanada,28,3
243,T188,T188,Tom Kite,5,3
244,T188,T188,Cliff Kresge,31,3
245,T188,T188,Matt Kuchar,11,3
246,T188,T188,Franklin Langham,22,3
247,T188,T188,Peter Lonard,7,3
248,T188,T188,Sandy Lyle,5,3
249,T188,T188,Andrew Magee,31,3
250,T188,T188,Paul McGinley,4,3
251,T188,T188,James McLean,1,3
252,T188,T188,Rob McMillan,1,3
253,T188,T188,Tom Miler,1,3
254,T188,T188,Larry Mize,24,3
255,T188,T188,Bryce Molder,7,3
256,T188,T188,Greg Norman,11,3
257,T188,T188,Joe Ozaki,17,3
258,T188,T188,Arnold Palmer,4,3
259,T188,T188,Craig Parry,22,3
260,T188,T188,Steve Pate,30,3
261,T188,T188,Carl Paulson,31,3
262,T188,T188,Nick Price,20,3
263,T188,T188,Dicky Pride,27,3
264,T188,T188,Tom Purtzer,16,3
265,T188,T188,Sam Randolph,5,3
266,T188,T188,Charles Raulerson,2,3
267,T188,T188,Mike Reid,13,3
268,T188,T188,John Restino,11,3
269,T188,T188,Loren Roberts,25,3
270,T188,T188,Tom Scherrer,28,3
271,T188,T188,Brent Schwarzrock,20,3
272,T188,T188,Heath Slocum,8,3
273,T188,T188,Mike Springer,10,3
274,T188,T188,John Stone,1,3
275,T188,T188,Curtis Strange,11,3
276,T188,T188,Chip Sullivan,1,3
277,T188,T188,Hidemichi Tanaka,7,3
278,T188,T188,Toru Taniguchi,9,3
279,T188,T188,Phil Tataurangi,12,3
280,T188,T188,Ty Tryon,3,3
281,T188,T188,Billy Tuten,2,3
282,T188,T188,Bobby Wadkins,1,3
283,T188,T188,Rocky Walcher,26,3
284,T188,T188,D.A. Weibring,10,3
285,T188,T188,Lee Westwood,6,3
286,T188,T188,Brett Wetterich,1,3
287,T188,T188,Mark Wilson,2,3
288,T188,T188,Ian Woosnam,5,3
289,T188,T188,Richard Zokol,3,3
290,T291,T291,Emlyn Aubrey,1,2
291,T291,T291,Seve Ballesteros,2,2
292,T291,T291,Dave Barr,4,2
293,T291,T291,Todd Barranger,1,2
