,Best_Sub-Par_Rounds_Streak_RANK THIS WEEK,Best_Sub-Par_Rounds_Streak_RANK LAST WEEK,Best_Sub-Par_Rounds_Streak_PLAYER NAME,Best_Sub-Par_Rounds_Streak_CAREER BEST STREAK,Best_Sub-Par_Rounds_Streak_BEST YTD STREAK,Best_Sub-Par_Rounds_Streak_CURRENT STREAK
0,1,1,Jeff Sluman,23,20.0,
1,2,2,Fred Couples,22,4.0,
2,3,3,Bob Estes,21,21.0,
3,T4,T4,Jay Don Blake,20,5.0,
4,T4,T4,Joey Sindelar,20,7.0,
5,T6,T6,Joe Durant,19,19.0,
6,T6,T6,Jesper Parnevik,19,10.0,
7,T6,T6,Dan Pohl,19,1.0,
8,9,9,Glen Day,18,13.0,
9,T10,T10,Ronnie Black,17,11.0,
10,T10,T10,Ed Fiori,17,2.0,
11,T10,T10,Donnie Hammond,17,9.0,
12,T10,T10,Roger Maltbie,17,,
13,T10,T10,Mark O'Meara,17,3.0,
14,T10,T10,Kirk Triplett,17,9.0,
15,T16,T16,Ken Green,16,,
16,T16,T16,Lee Janzen,16,7.0,
17,T16,T16,Blaine McCallister,16,9.0,
18,T16,T16,Steve Pate,16,4.0,
19,T16,T16,Corey Pavin,16,5.0,
20,T16,T16,Tiger Woods,16,15.0,
21,T22,T22,Scott Hoch,15,14.0,
22,T22,T22,Tom Kite,15,1.0,
23,T22,T22,Davis Love III,15,15.0,
24,T22,T22,Andrew Magee,15,7.0,
25,T22,T22,Scott Simpson,15,7.0,
26,T22,T22,Craig Stadler,15,3.0,
27,T28,T28,Russ Cochran,14,5.0,
28,T28,T28,Marco Dawson,14,4.0,
29,T28,T28,Chris DiMarco,14,14.0,
30,T28,T28,Steve Flesch,14,5.0,
31,T28,T28,Brent Geiberger,14,10.0,
32,T28,T28,Jeff Maggert,14,6.0,
33,T28,T28,Joe Ogilvie,14,7.0,
34,T28,T28,Loren Roberts,14,11.0,
35,T28,T28,Payne Stewart,14,,
36,T28,T28,Grant Waite,14,6.0,
37,T38,T38,Robert Allenby,13,10.0,
38,T38,T38,Billy Andrade,13,8.0,
39,T38,T38,Woody Austin,13,10.0,
40,T38,T38,Paul Azinger,13,10.0,
41,T38,T38,Bart Bryant,13,8.0,
42,T38,T38,Brad Bryant,13,6.0,
43,T38,T38,Rex Caldwell,13,,
44,T38,T38,John Cook,13,11.0,
45,T38,T38,David Duval,13,7.0,
46,T38,T38,Steve Elkington,13,11.0,
47,T38,T38,Rick Fehr,13,1.0,
48,T38,T38,Fred Funk,13,13.0,
49,T38,T38,Buddy Gardner,13,,
