,Presidents_Cup_International_RANK THIS WEEK,Presidents_Cup_International_RANK LAST WEEK,Presidents_Cup_International_PLAYER NAME,Presidents_Cup_International_EVENTS,Presidents_Cup_International_AVG POINTS,Presidents_Cup_International_TOTAL POINTS,Presidents_Cup_International_POINTS LOST,Presidents_Cup_International_POINTS GAINED
0,1,1.0,Adam Scott,51,7.16,365.25,-234.23,365.29
1,2,4.0,Ernie Els,48,6.21,298.26,-351.69,272.52
2,3,2.0,Retief Goosen,60,5.93,355.57,-342.45,268.67
3,4,3.0,Vijay Singh,61,5.76,351.09,-543.63,278.79
4,5,5.0,Geoff Ogilvy,50,5.24,261.93,-168.36,302.56
5,6,6.0,Trevor Immelman,54,4.63,250.04,-122.78,263.67
6,7,7.0,Michael Campbell,52,3.54,183.99,-139.7,101.72
7,8,8.0,Nick O'Hern,50,3.39,169.71,-153.33,137.22
8,9,9.0,Stuart Appleby,55,3.38,185.86,-166.98,186.02
9,10,10.0,Tim Clark,56,3.35,187.69,-175.06,148.93
10,11,12.0,Shingo Katayama,53,3.21,170.07,-109.47,141.46
11,12,11.0,Ángel Cabrera,50,3.15,157.43,-149.89,120.68
12,13,14.0,K.J. Choi,61,3.06,186.84,-143.41,154.34
13,14,13.0,Rod Pampling,55,2.96,162.78,-142.52,170.47
14,15,15.0,Y.E. Yang,48,2.88,138.15,-60.42,124.74
15,16,16.0,Stephen Ames,45,2.76,124.03,-129.21,139.13
16,17,20.0,Jeev Milkha Singh,74,2.63,194.45,-35.7,207.14
17,18,17.0,Rory Sabbatini,50,2.6,129.9,-128.38,169.24
18,19,18.0,Mike Weir,48,2.54,121.78,-123.05,136.82
19,20,19.0,Robert Allenby,62,2.5,154.79,-145.52,117.38
20,21,21.0,Charl Schwartzel,60,2.22,132.98,-68.47,134.74
21,22,22.0,Richard Green,51,2.01,102.47,-100.36,108.12
22,23,23.0,John Senden,62,1.95,120.79,-67.12,107.3
23,24,34.0,Thongchai Jaidee,51,1.82,92.99,-63.08,85.52
24,25,24.0,Nathan Green,64,1.79,114.49,-38.99,129.84
25,26,26.0,Toru Taniguchi,57,1.7,96.9,-73.36,84.91
26,27,25.0,Jyoti Randhawa,47,1.65,77.68,-55.67,72.15
27,28,27.0,Aaron Baddeley,55,1.64,90.31,-52.82,92.58
28,29,28.0,Peter Lonard,58,1.64,94.88,-124.72,71.03
29,30,29.0,Taichi Teshima,54,1.59,85.84,-35.66,68.67
30,31,30.0,S.K. Ho,54,1.57,84.65,-63.0,72.88
31,32,31.0,Hidemasa Hoshino,50,1.49,74.43,-35.72,62.06
32,33,32.0,Paul Sheehan,61,1.47,89.67,-66.34,75.19
33,34,35.0,Hideto Tanihara,55,1.45,79.53,-41.97,82.74
34,35,33.0,Andrew Buckle,52,1.44,74.68,-31.5,84.46
35,36,36.0,Shigeki Maruyama,59,1.43,84.34,-109.67,53.99
36,37,37.0,David Smail,51,1.42,72.41,-58.5,50.32
37,38,38.0,Andres Romero,44,1.37,60.29,-16.87,64.07
38,39,41.0,Camilo Villegas,64,1.35,86.43,-46.14,110.59
39,40,39.0,Tetsuji Hiratsuka,57,1.33,75.72,-40.62,66.12
40,41,40.0,Ricardo Gonzalez,41,1.29,53.0,-36.02,56.19
41,42,44.0,Peter O'Malley,51,1.28,65.46,-43.24,57.77
42,43,42.0,Keiichiro Fukabori,55,1.28,70.26,-53.17,44.43
43,44,43.0,Mathew Goggin,58,1.26,73.25,-31.87,67.73
44,45,45.0,Mark Hensby,45,1.18,53.11,-113.2,14.79
45,46,47.0,WC Liang,55,1.16,63.75,-33.44,58.36
46,47,46.0,Steve Elkington,40,1.16,46.33,-55.54,13.41
47,48,50.0,Brett Rumford,56,1.09,60.85,-48.57,60.04
48,49,49.0,Prayad Marksaeng,64,1.08,68.92,-43.72,62.53
49,50,62.0,Darren Fichardt,52,1.07,55.88,-36.05,57.52
50,51,56.0,Thaworn Wiratchant,59,1.07,63.07,-44.91,44.32
