,Presidents_Cup_United_States_RANK THIS WEEK,Presidents_Cup_United_States_RANK LAST WEEK,Presidents_Cup_United_States_PLAYER NAME,Presidents_Cup_United_States_POINTS
0,1,1,Tiger Woods,13276913
1,2,2,Jim Furyk,7960249
2,3,3,Phil Mickelson,4387335
3,4,4,Chad Campbell,3721720
4,5,5,Lucas Glover,3619104
5,6,6,Davis Love III,3403589
6,7,7,David Toms,3351987
7,8,8,Tom Pernice Jr.,3310486
8,9,9,Brett Wetterich,3218880
9,10,10,Stewart Cink,3104957
10,11,11,Vaughn Taylor,2947290
11,12,12,Joe Durant,2896102
12,13,13,Bart Bryant,2876047
13,14,14,Dean Wilson,2843700
14,15,15,Zach Johnson,2698672
15,16,16,J.J. Henry,2672438
16,17,17,Chris DiMarco,2639761
17,18,18,Jason Bohn,2637004
18,19,19,Brett Quigley,2626489
19,20,20,Tim Herron,2613661
20,21,21,Ben Crane,2589740
21,22,22,Olin Browne,2470189
22,23,23,Arron Oberholser,2467772
23,24,24,Ben Curtis,2456654
24,25,25,Scott Verplank,2336919
25,26,26,Jerry Kelly,2307180
26,27,27,Charles Howell III,2228082
27,28,28,Mark Calcavecchia,1993617
28,29,29,Bo Van Pelt,1939342
29,30,30,Tom Lehman,1927129
30,31,31,Heath Slocum,1915386
31,32,32,Sean O'Hair,1886857
32,33,33,Fred Funk,1858359
33,34,34,Steve Stricker,1843311
34,35,35,Frank Lickliter II,1816008
35,36,36,Ryan Moore,1787388
36,37,37,Troy Matteson,1778597
37,38,38,Shaun Micheel,1766911
38,39,39,Ted Purdy,1726973
39,40,40,Ryan Palmer,1725960
40,41,41,John Rollins,1693426
41,42,42,Jonathan Byrd,1686870
42,43,43,Billy Mayfair,1682838
43,44,44,Steve Lowery,1682830
44,45,45,Woody Austin,1678924
45,46,46,Jeff Maggert,1619062
46,47,47,Brandt Jobe,1581330
47,48,48,Jason Gore,1567865
48,49,49,Harrison Frazar,1550174
49,50,50,Nick Watney,1520886
50,51,51,Steve Flesch,1510345
51,52,52,J.B. Holmes,1487604
52,53,53,Bob Estes,1476575
53,54,54,Corey Pavin,1471124
54,55,55,Brad Faxon,1387806
55,56,56,Jeff Sluman,1361344
56,57,57,Chris Couch,1356731
57,58,58,Joey Sindelar,1349252
58,59,59,Kenny Perry,1343248
59,60,60,Charles Warren,1317681
60,61,61,Eric Axley,1274580
61,62,62,"Wes Short, Jr.",1267194
62,63,63,Craig Barlow,1258238
63,64,64,Robert Gamez,1243533
64,65,65,D.J. Trahan,1220616
65,66,66,Joe Ogilvie,1219085
66,67,67,Billy Andrade,1207427
67,68,68,Justin Leonard,1201171
68,69,69,Kent Jones,1194435
69,70,70,Hunter Mahan,1180789
70,71,71,Brian Gay,1144123
