,Ryder_Cup_Points_RANK THIS WEEK,Ryder_Cup_Points_RANK LAST WEEK,Ryder_Cup_Points_PLAYER NAME,Ryder_Cup_Points_EVENTS,Ryder_Cup_Points_POINTS
0,1,1,Tiger Woods,3,897.5
1,2,2,Jim Furyk,5,606.25
2,3,3,Joe Durant,8,504.11300000000006
3,4,4,Troy Matteson,10,375.61300000000006
4,5,5,Davis Love III,4,326.95599999999996
5,6,6,Eric Axley,10,252.5
6,7,7,Frank Lickliter II,8,227.213
7,8,8,Ben Curtis,6,207.0
8,9,9,Stewart Cink,5,187.5
9,10,10,Brett Quigley,8,175.7
10,11,11,Brett Wetterich,6,170.767
11,12,12,Lucas Glover,7,153.125
12,13,13,Charles Howell III,8,152.95
13,14,14,Paul Goydos,8,146.6
14,T15,T15,Jason Bohn,7,135.0
15,T15,T15,Bart Bryant,7,135.0
16,T15,T15,Will MacKenzie,8,135.0
17,T15,T15,D.J. Trahan,8,135.0
18,19,19,Nick Watney,8,124.05
19,20,20,Steve Stricker,4,102.51299999999999
20,21,21,Jonathan Byrd,7,100.675
21,22,22,Tom Pernice Jr.,8,98.75
22,23,23,Brian Bateman,9,93.5
23,24,24,Lee Janzen,8,89.0
24,25,25,Ben Crane,6,88.0
25,26,26,Sean O'Hair,6,85.0
26,27,27,Bob Estes,7,81.0
27,28,28,J.J. Henry,6,79.5
28,29,29,Ted Purdy,9,77.975
29,30,30,Ryan Moore,6,76.33800000000001
30,31,31,Dean Wilson,8,74.667
31,32,32,Steve Flesch,7,72.5
32,33,33,Charley Hoffman,8,68.0
33,34,34,Joe Ogilvie,5,51.0
34,35,35,Robert Garrigus,8,50.6
35,36,36,Ryan Palmer,7,50.0
36,37,37,Steve Lowery,7,42.375
37,38,38,Marco Dawson,10,40.394
38,39,39,Shaun Micheel,6,40.013000000000005
39,T40,T40,Kent Jones,8,38.525
40,T40,T40,Charles Warren,5,38.525
41,42,42,David Toms,4,38.125
42,43,43,Chris Riley,8,38.0
43,44,44,Brian Gay,9,37.1
44,45,45,J.P. Hayes,7,36.0
45,46,46,Bubba Dickerson,9,32.25
46,47,47,Arron Oberholser,5,30.0
47,T48,T48,Briny Baird,6,28.75
48,T48,T48,Mark Calcavecchia,7,28.75
49,T48,T48,Jerry Kelly,8,28.75
50,T48,T48,Hunter Mahan,8,28.75
51,T48,T48,Jeff Overton,9,28.75
52,T48,T48,Heath Slocum,6,28.75
53,T54,T54,Joey Sindelar,7,28.0
54,T54,T54,Ron Whittaker,9,28.0
55,T56,T56,Glen Day,2,27.375
56,T56,T56,Bo Van Pelt,7,27.375
57,T58,T58,Jeff Brehaut,10,26.344
58,T58,T58,John Cook,6,26.344
59,60,60,Harrison Frazar,7,26.0
60,T61,T61,Olin Browne,9,19.5
61,T61,T61,Robert Damron,9,19.5
62,T61,T61,Fred Funk,6,19.5
63,T61,T61,Jason Gore,6,19.5
