,Official_World_Golf_Ranking_RANK THIS WEEK,Official_World_Golf_Ranking_RANK LAST WEEK,Official_World_Golf_Ranking_PLAYER NAME,Official_World_Golf_Ranking_EVENTS,Official_World_Golf_Ranking_AVG POINTS,Official_World_Golf_Ranking_TOTAL POINTS,Official_World_Golf_Ranking_POINTS LOST,Official_World_Golf_Ranking_POINTS GAINED,Official_World_Golf_Ranking_COUNTRY
0,1,1.0,Tiger Woods,42,20.83,874.89,-626.58,746.28,USA
1,2,2.0,Jim Furyk,54,9.06,489.37,-226.09,477.66,USA
2,3,3.0,Phil Mickelson,41,7.38,302.58,-355.5,291.82,USA
3,4,4.0,Adam Scott,51,7.16,365.25,-234.23,365.29,AUS
4,5,8.0,Ernie Els,48,6.21,298.26,-351.69,272.52,RSA
5,6,5.0,Retief Goosen,60,5.93,355.57,-342.45,268.67,RSA
6,7,6.0,Vijay Singh,61,5.76,351.09,-543.63,278.79,FIJ
7,8,7.0,Padraig Harrington,55,5.67,311.77,-190.32,294.03,IRL
8,9,9.0,Luke Donald,51,5.4,275.51,-219.07,260.65,ENG
9,10,10.0,Sergio Garcia,49,5.26,257.67,-262.37,187.63,ESP
10,11,11.0,Geoff Ogilvy,50,5.24,261.93,-168.36,302.56,AUS
11,12,12.0,Henrik Stenson,52,4.69,243.93,-148.65,245.54,SWE
12,13,13.0,Trevor Immelman,54,4.63,250.04,-122.78,263.67,RSA
13,14,14.0,Paul Casey,53,3.86,204.59,-113.53,202.89,ENG
14,15,15.0,David Howell,55,3.84,211.29,-195.17,172.93,ENG
15,16,16.0,Davis Love III,47,3.77,177.0,-159.59,150.07,USA
16,17,17.0,Colin Montgomerie,58,3.7,214.49,-187.42,134.47,SCO
17,18,18.0,José María Olazábal,52,3.68,191.57,-151.98,164.63,ESP
18,19,21.0,Michael Campbell,52,3.54,183.99,-139.7,101.72,NZL
19,20,20.0,Chris DiMarco,53,3.5,185.6,-207.14,158.93,USA
20,21,19.0,David Toms,47,3.5,164.51,-212.61,166.33,USA
