,Scoring_Rating_RANK THIS WEEK,Scoring_Rating_RANK LAST WEEK,Scoring_Rating_PLAYER NAME,Scoring_Rating_EVENTS,Scoring_Rating_RATING
0,1,1,Tiger Woods,9,9.2
1,2,2,Jim Furyk,17,8.9
2,3,3,Roland Thatcher,1,8.8
3,4,4,Anthony Kim,2,8.7
4,5,5,Jason Allred,1,8.6
5,5,5,Michael Campbell,3,8.6
6,5,5,Luke Donald,11,8.6
7,5,5,Trevor Immelman,17,8.6
8,5,5,Thongchai Jaidee,1,8.6
9,5,5,Adam Scott,12,8.6
10,5,5,Steve Stricker,13,8.6
11,12,12,Jonathan Byrd,11,8.5
12,12,12,David Hearn,1,8.5
13,14,14,Stephen Ames,9,8.4
14,14,14,Stewart Cink,17,8.4
15,14,14,Darren Clarke,3,8.4
16,14,14,José Coceres,6,8.4
17,14,14,Ken Duke,2,8.4
18,14,14,Stephen Gangluff,1,8.4
19,14,14,Lucas Glover,20,8.4
20,14,14,Jerry Kelly,16,8.4
21,14,14,Phil Mickelson,13,8.4
22,14,14,Ian Poulter,10,8.4
23,14,14,Brett Quigley,20,8.4
24,14,14,Vijay Singh,22,8.4
25,14,14,David Toms,14,8.4
26,27,27,Briny Baird,14,8.3
27,27,27,Cameron Beckman,7,8.3
28,27,27,Jason Caron,1,8.3
29,27,27,Padraig Harrington,9,8.3
30,27,27,Stephen Leaney,14,8.3
31,27,27,John Mallinger,1,8.3
32,27,27,Graeme McDowell,4,8.3
33,27,27,Yusaku Miyazato,1,8.3
34,27,27,José María Olazábal,9,8.3
35,27,27,Greg Owen,14,8.3
36,27,27,Tom Pernice Jr.,18,8.3
37,27,27,Loren Roberts,3,8.3
38,27,27,Vaughn Taylor,17,8.3
39,27,27,Grant Waite,2,8.3
40,41,41,Robert Allenby,13,8.2
41,41,41,Stuart Appleby,16,8.2
42,41,41,Tommy Armour III,8,8.2
43,41,41,Daniel Chopra,19,8.2
44,41,41,David Edwards,1,8.2
45,41,41,Ernie Els,12,8.2
46,41,41,Sergio Garcia,9,8.2
47,41,41,Mathew Goggin,9,8.2
48,41,41,Jeff Gove,15,8.2
49,41,41,Frank Lickliter II,18,8.2
50,41,41,Davis Love III,14,8.2
51,41,41,Spike McRoy,1,8.2
52,41,41,Ryan Moore,11,8.2
53,41,41,Arron Oberholser,16,8.2
54,41,41,Geoff Ogilvy,12,8.2
55,41,41,Rod Pampling,16,8.2
56,41,41,Jesper Parnevik,17,8.2
57,41,41,Carl Pettersson,17,8.2
58,41,41,Nick Price,5,8.2
59,41,41,Ted Purdy,15,8.2
60,41,41,Jyoti Randhawa,1,8.2
61,41,41,John Senden,18,8.2
62,41,41,Nick Watney,19,8.2
63,41,41,Bubba Watson,14,8.2
64,65,65,Paul Azinger,16,8.1
65,65,65,Rich Beem,13,8.1
66,65,65,Jason Bohn,21,8.1
67,65,65,Ángel Cabrera,5,8.1
68,65,65,K.J. Choi,20,8.1
69,65,65,Tim Clark,15,8.1
70,65,65,Michael Connell,3,8.1
71,65,65,Brian Gay,22,8.1
72,65,65,Retief Goosen,11,8.1
73,65,65,Paul Goydos,11,8.1
74,65,65,Scott Gutschewski,6,8.1
75,65,65,J.J. Henry,17,8.1
76,65,65,Charley Hoffman,20,8.1
77,65,65,Freddie Jacobson,10,8.1
78,65,65,Richard Johnson,17,8.1
79,65,65,Shigeki Maruyama,17,8.1
80,65,65,Billy Mayfair,16,8.1
81,65,65,Joe Ogilvie,16,8.1
82,65,65,Kenny Perry,13,8.1
83,65,65,Justin Rose,19,8.1
84,65,65,Heath Slocum,16,8.1
85,65,65,Kevin Sutherland,19,8.1
86,65,65,D.J. Trahan,12,8.1
87,65,65,Bo Van Pelt,22,8.1
88,65,65,Camilo Villegas,17,8.1
89,65,65,Charles Warren,18,8.1
90,65,65,Mike Weir,15,8.1
91,65,65,Brett Wetterich,16,8.1
92,65,65,Don Yrene,1,8.1
93,94,94,Eric Axley,15,8.0
94,94,94,Aaron Baddeley,13,8.0
95,94,94,Michael Bradley,1,8.0
96,94,94,Jeff Brehaut,14,8.0
97,94,94,Bart Bryant,16,8.0
98,94,94,Chad Campbell,16,8.0
99,94,94,Greg Chalmers,5,8.0
100,94,94,Ben Crane,15,8.0
101,94,94,Ben Curtis,14,8.0
102,94,94,Robert Damron,13,8.0
103,94,94,Brian Davis,18,8.0
104,94,94,Marco Dawson,15,8.0
105,94,94,Bob Estes,17,8.0
106,94,94,Harrison Frazar,15,8.0
107,94,94,Matt Gogel,2,8.0
108,94,94,Andres Gonzales,1,8.0
109,94,94,Nathan Green,22,8.0
110,94,94,Mathias Grönberg,14,8.0
111,94,94,Dudley Hart,14,8.0
112,94,94,J.P. Hayes,8,8.0
113,94,94,J.B. Holmes,13,8.0
114,94,94,David Howell,7,8.0
115,94,94,Charles Howell III,18,8.0
116,94,94,Billy Hurley III,2,8.0
117,94,94,Zach Johnson,18,8.0
118,94,94,Kent Jones,17,8.0
119,94,94,Justin Leonard,14,8.0
120,94,94,Steve Lowery,18,8.0
121,94,94,Hunter Mahan,20,8.0
122,94,94,Shaun Micheel,17,8.0
123,94,94,Nick O'Hern,7,8.0
124,94,94,Rob Oppenheim,1,8.0
125,94,94,David Peoples,1,8.0
126,94,94,Dicky Pride,6,8.0
127,94,94,Rory Sabbatini,16,8.0
128,94,94,B.J. Staten,5,8.0
129,94,94,Henrik Stenson,4,8.0
130,94,94,Omar Uresti,7,8.0
131,94,94,Lee Westwood,5,8.0
132,94,94,Dean Wilson,20,8.0
133,134,134,Michael Allen,16,7.9
134,134,134,Arjun Atwal,14,7.9
135,134,134,Craig Barlow,14,7.9
