,PGA_Championship_Points_RANK THIS WEEK,PGA_Championship_Points_RANK LAST WEEK,PGA_Championship_Points_PLAYER NAME,PGA_Championship_Points_EVENTS,PGA_Championship_Points_POINTS
0,1,1,Tiger Woods,4,4814000
1,2,2,Jim Furyk,6,2520400
2,3,3,Adam Scott,6,2266674
3,4,4,Joe Durant,8,2033279
4,5,5,Dean Wilson,10,1599256
5,6,6,Troy Matteson,10,1567634
6,7,7,K.J. Choi,8,1490864
7,8,8,Davis Love III,6,1471125
8,9,9,Stewart Cink,7,1410285
9,10,10,Vijay Singh,9,1167847
10,11,11,Eric Axley,11,1156867
11,12,12,Brett Quigley,10,1089183
12,13,13,Shaun Micheel,8,1083763
13,14,14,Ben Curtis,7,1060554
14,15,15,Frank Lickliter II,9,1055220
15,16,16,Justin Rose,9,1019053
16,17,17,Luke Donald,4,988767
17,18,18,Ernie Els,6,937850
18,19,19,Lucas Glover,9,898458
19,20,20,Brett Wetterich,7,874522
20,21,21,Ian Poulter,3,870000
21,22,22,Steve Flesch,9,813696
22,23,23,Trevor Immelman,7,813443
23,24,24,Charles Howell III,10,761700
24,25,25,Daniel Chopra,10,736813
25,26,26,Bart Bryant,8,714493
26,27,27,Steve Stricker,6,709980
27,28,28,Will MacKenzie,9,695480
28,29,29,Jason Bohn,8,682499
29,30,30,Paul Goydos,8,674750
30,31,31,J.J. Henry,8,652157
31,32,32,Tom Lehman,5,650873
32,33,33,Jonathan Byrd,8,649282
33,34,34,Tom Pernice Jr.,10,618640
34,35,35,Ryan Moore,8,618460
35,36,36,D.J. Trahan,9,611996
36,37,37,Stuart Appleby,7,567247
37,38,38,Sean O'Hair,7,566103
38,39,39,Rod Pampling,6,562450
39,40,40,Ben Crane,8,527344
40,41,41,Sergio Garcia,4,520000
41,42,42,David Toms,6,510643
42,43,43,Robert Allenby,7,509895
43,44,44,Arron Oberholser,7,509800
44,45,45,Nick Watney,9,507913
45,46,46,Retief Goosen,6,500075
46,47,47,Ted Purdy,11,469817
47,48,48,Kent Jones,9,457268
48,49,49,Harrison Frazar,9,451447
49,50,50,Rory Sabbatini,7,450166
50,51,51,Bubba Watson,8,443313
51,52,52,Jesper Parnevik,8,439293
52,53,53,Brian Bateman,10,439067
53,54,54,Joe Ogilvie,6,433505
54,55,55,Daisuke Maruyama,8,431638
55,56,56,Bob Estes,8,417418
56,57,57,Lee Janzen,8,397977
57,58,58,Chad Campbell,7,386560
58,59,59,Mike Weir,6,381202
59,60,60,Jeff Brehaut,11,376555
60,61,61,Charley Hoffman,9,371515
61,62,62,Zach Johnson,7,363159
62,63,63,Kevin Sutherland,10,358299
63,64,64,Nathan Green,9,356916
64,65,65,Steve Lowery,9,354575
65,66,66,Marco Dawson,10,353775
66,67,67,Geoff Ogilvy,3,341600
67,68,68,Anthony Kim,2,338067
68,69,69,Richard Johnson,9,325630
69,70,70,Olin Browne,11,324204
70,71,71,Aaron Baddeley,8,323715
71,72,72,Greg Owen,9,319933
72,73,73,Hunter Mahan,8,319448
73,74,74,Briny Baird,7,317692
74,75,75,Chris DiMarco,7,312799
75,76,76,Heath Slocum,8,311973
76,77,77,Bill Haas,9,304134
77,78,78,Ryan Palmer,9,295458
78,79,79,Fred Funk,7,292782
79,80,80,Ian Leggatt,10,288037
80,81,81,Charles Warren,7,286917
81,82,82,Robert Garrigus,9,281423
82,83,83,Carl Pettersson,8,275500
83,84,84,Mark Calcavecchia,8,270990
84,85,85,Bo Van Pelt,7,268705
85,86,86,Ryuji Imada,8,259965
86,87,87,Tim Clark,5,259443
87,88,88,Chris Riley,10,257478
88,89,89,Tim Petrovic,10,249017
89,90,90,Robert Damron,9,248232
90,91,91,Brian Gay,9,247132
91,92,92,J.B. Holmes,7,241258
92,93,93,José Coceres,5,235844
93,94,94,Shigeki Maruyama,9,235226
94,95,95,Jason Gore,8,222271
95,96,96,Jeff Gove,10,220537
96,97,97,Camilo Villegas,8,219997
97,98,98,Jeff Overton,10,215454
98,99,99,Vaughn Taylor,6,212390
99,100,100,Stephen Leaney,6,210198
100,101,101,Woody Austin,8,204255
101,102,102,David McKenzie,10,198219
102,103,103,Brent Geiberger,10,197637
103,104,104,D.A. Points,9,194866
104,105,105,Tim Herron,7,194500
105,106,106,J.P. Hayes,7,190433
106,107,107,Paul Azinger,10,185432
107,108,108,Chris Couch,7,181340
108,109,109,Bernhard Langer,8,177267
109,110,110,Ron Whittaker,10,171719
110,111,111,Robert Gamez,9,168491
111,112,112,José María Olazábal,4,167320
112,113,113,David Howell,5,163860
113,114,114,Jerry Kelly,9,161474
114,115,115,Duffy Waldorf,8,158481
115,116,116,Bubba Dickerson,10,157286
116,117,117,Michael Allen,9,152021
117,118,118,Alex Cejka,10,145744
118,119,119,Padraig Harrington,3,145500
119,120,120,John Rollins,9,144047
120,121,121,Brandt Jobe,9,143350
121,122,122,Justin Leonard,9,142437
122,123,123,Craig Barlow,6,140350
123,124,124,Greg Kraft,10,138924
124,125,125,Phil Mickelson,3,133500
125,126,126,Scott Verplank,7,133389
126,127,127,Nick O'Hern,4,132817
127,128,128,Rich Beem,9,129058
128,129,129,Joey Sindelar,8,127533
129,130,130,John Senden,8,124412
130,131,131,Nicholas Thompson,10,123765
131,132,132,Patrick Sheehan,11,123739
132,133,133,Brian Davis,11,120492
133,134,134,Arjun Atwal,11,117727
134,135,135,Billy Andrade,6,116855
135,136,136,Mark Wilson,9,116286
136,137,137,Danny Ellis,10,115416
137,138,138,Henrik Stenson,3,115000
138,139,139,Glen Day,2,109500
139,140,140,Kenny Perry,5,109446
140,141,141,Cameron Beckman,4,105467
141,142,142,John Cook,6,105375
142,143,143,Corey Pavin,5,102646
143,144,144,Lee Westwood,3,102100
144,145,145,Jeff Sluman,8,99906
145,146,146,Jonathan Kaye,11,99361
146,147,147,Brad Faxon,8,95400
147,148,148,Mathew Goggin,6,94552
148,149,149,Billy Mayfair,8,94250
149,150,150,Tag Ridings,11,94121
150,151,151,Bob Tway,8,92871
151,152,152,Stephen Ames,4,91320
152,153,153,Bill Glasson,8,89679
153,154,154,Matt Hansen,10,88428
154,155,155,Jason Day,4,86308
155,156,156,Peter Lonard,7,81915
156,157,157,Robert Karlsson,4,81800
157,158,158,Mark O'Meara,5,79853
158,159,159,Jeff Maggert,7,75624
159,160,160,Mathias Grönberg,10,75592
160,161,161,Tjaart van der Walt,8,74954
161,162,162,John Huston,10,73615
162,163,163,David Branshaw,9,73260
163,164,164,Dudley Hart,9,71711
164,165,165,Paul Stankowski,6,70400
165,166,166,Mike Sposa,9,70150
166,167,167,Henrik Bjornstad,9,69802
167,168,168,Steve Elkington,6,69663
168,169,169,Darren Clarke,2,66667
169,170,170,Rocco Mediate,6,66654
170,171,171,Scott Gutschewski,7,66000
171,172,172,Craig Parry,4,64477
172,173,173,Chris Smith,5,60600
173,174,174,Bob May,10,58705
174,175,175,Skip Kendall,8,58611
175,176,176,Graeme McDowell,2,57413
176,177,177,Greg Chalmers,10,57400
177,178,178,"Wes Short, Jr.",9,56590
178,179,179,Jerry Smith,9,55907
179,180,180,Kris Cox,9,53203
180,181,181,Anders Hansen,1,53100
181,182,182,Pat Perez,4,51000
182,183,183,Shane Bertsch,10,50768
183,184,184,David Hearn,1,50438
184,185,185,James Driscoll,8,50250
185,186,186,Vance Veazey,7,49665
186,187,187,Mark Hensby,4,47420
187,188,188,"John Engler, Jr.",9,46956
188,189,189,Omar Uresti,9,46865
189,190,190,Scott Piercy,3,46242
190,191,191,Todd Fischer,11,41038
191,192,192,Jason Schultz,10,39679
192,193,193,Thomas Levet,2,39500
193,194,194,Carlos Franco,9,38368
194,195,195,Gabriel Hjertstedt,6,38365
195,196,196,Dicky Pride,5,38034
196,197,197,Ryan Hietala,9,37960
197,198,198,Brian Henninger,4,36897
198,199,199,Alex Aragon,9,36057
199,200,200,Kevin Na,2,31657
200,201,201,Jay Delsing,5,30565
201,202,202,Larry Mize,6,30161
202,203,203,Richard Green,1,29250
203,204,204,Steve Jones,8,28591
204,205,205,Len Mattiace,5,28328
205,206,206,Yusaku Miyazato,1,28163
206,207,207,Darron Stiles,4,28020
207,208,208,David Frost,2,27300
208,209,209,Todd Hamilton,7,25911
209,210,210,WC Liang,1,25850
210,211,211,Stephen Gangluff,1,24125
211,212,212,Mark Brooks,11,22967
