,Total_Money_Official_and_Unofficial_RANK THIS WEEK,Total_Money_Official_and_Unofficial_RANK LAST WEEK,Total_Money_Official_and_Unofficial_PLAYER NAME,Total_Money_Official_and_Unofficial_EVENTS,Total_Money_Official_and_Unofficial_MONEY
0,1,1,Tiger Woods,18,"$8,703,439"
1,2,2,Henrik Stenson,19,"$6,488,230"
2,3,3,Matt Kuchar,24,"$5,616,808"
3,4,4,Phil Mickelson,22,"$5,495,793"
4,5,5,Brandt Snedeker,24,"$5,318,087"
5,6,6,Adam Scott,18,"$4,967,611"
6,7,7,Steve Stricker,15,"$4,590,532"
7,8,8,Justin Rose,18,"$4,296,148"
8,9,9,Zach Johnson,25,"$4,044,509"
9,10,10,Jordan Spieth,24,"$3,879,820"
10,11,11,Bill Haas,28,"$3,650,563"
11,12,12,Keegan Bradley,26,"$3,636,813"
12,13,13,Jason Day,22,"$3,625,030"
13,14,14,Billy Horschel,27,"$3,551,703"
14,15,15,Jim Furyk,22,"$3,204,779"
15,16,16,Webb Simpson,27,"$3,132,582"
16,17,17,Jason Dufner,23,"$3,132,268"
17,18,18,Kevin Streelman,25,"$3,088,284"
18,19,19,Hunter Mahan,26,"$3,036,164"
19,20,20,Dustin Johnson,22,"$2,963,214"
20,21,21,Graham DeLaet,27,"$2,834,900"
21,22,22,Boo Weekley,27,"$2,786,662"
22,23,23,D.A. Points,29,"$2,708,887"
23,24,24,Nick Watney,26,"$2,477,639"
24,25,25,Graeme McDowell,17,"$2,337,095"
25,26,26,Charl Schwartzel,20,"$2,256,723"
26,27,27,Sergio Garcia,17,"$2,251,139"
27,28,28,Harris English,26,"$2,201,167"
28,29,29,Roberto Castro,29,"$2,154,898"
29,30,30,Jimmy Walker,24,"$2,117,570"
30,31,31,Lee Westwood,19,"$2,081,731"
31,32,32,Russell Henley,25,"$2,070,526"
32,33,33,Jonas Blixt,24,"$2,027,517"
33,34,34,John Merrick,23,"$1,969,478"
34,35,35,Patrick Reed,26,"$1,961,519"
35,36,36,Rickie Fowler,24,"$1,941,742"
36,37,37,Luke Donald,17,"$1,930,646"
37,38,38,Charles Howell III,27,"$1,927,389"
38,39,39,Gary Woodland,26,"$1,915,732"
39,40,40,Bubba Watson,23,"$1,890,526"
40,41,41,Ian Poulter,17,"$1,879,713"
41,42,42,Scott Piercy,24,"$1,830,084"
42,43,43,Martin Laird,22,"$1,805,393"
43,44,44,Rory McIlroy,16,"$1,802,443"
44,45,45,Brendon de Jonge,31,"$1,795,244"
45,46,46,Ángel Cabrera,22,"$1,791,183"
46,47,47,Michael Thompson,23,"$1,763,887"
47,48,48,David Lingmerth,23,"$1,748,109"
48,49,49,Chris Kirk,24,"$1,728,616"
49,50,50,Matt Jones,24,"$1,724,707"
50,51,51,Ken Duke,28,"$1,722,583"
51,52,52,Sangmoon Bae,26,"$1,714,640"
52,53,53,David Lynn,22,"$1,633,253"
53,54,54,Scott Stallings,27,"$1,622,627"
54,55,55,Chris Stroud,26,"$1,602,122"
55,56,56,Kevin Chappell,24,"$1,589,839"
56,57,57,Charley Hoffman,23,"$1,582,423"
57,58,58,Tim Clark,21,"$1,530,952"
58,59,59,John Huh,28,"$1,529,482"
59,60,60,Ryan Palmer,22,"$1,521,592"
60,61,61,Marc Leishman,24,"$1,491,359"
61,62,62,Ryan Moore,22,"$1,490,265"
62,63,63,Kyle Stanley,24,"$1,462,943"
63,64,64,Brian Gay,24,"$1,426,017"
64,65,65,Josh Teater,24,"$1,332,652"
65,66,66,Derek Ernst,21,"$1,330,856"
66,67,67,Rory Sabbatini,27,"$1,327,822"
67,68,68,Kevin Stadler,25,"$1,281,177"
68,69,69,Daniel Summerhays,26,"$1,277,886"
69,70,70,Brian Davis,29,"$1,271,524"
70,71,71,Jason Kokrak,25,"$1,267,525"
71,72,72,Freddie Jacobson,19,"$1,236,722"
72,73,73,Matt Every,28,"$1,188,867"
73,74,74,Ernie Els,20,"$1,173,761"
74,75,75,David Hearn,26,"$1,171,515"
75,76,76,John Rollins,24,"$1,164,049"
76,77,77,Bo Van Pelt,24,"$1,156,629"
77,78,78,Robert Garrigus,22,"$1,132,355"
78,79,79,Stewart Cink,22,"$1,052,712"
79,80,80,Brian Stuard,25,"$1,032,028"
80,81,81,Jeff Maggert,21,"$1,022,331"
81,82,82,Scott Brown,21,"$1,012,142"
82,83,83,Brendan Steele,26,"$1,004,161"
83,84,84,Luke Guthrie,27,"$991,902"
84,85,85,Pat Perez,22,"$974,800"
85,86,86,K.J. Choi,24,"$973,751"
86,87,87,Cameron Tringale,24,"$971,209"
87,88,88,Nicholas Thompson,29,"$959,434"
