,Percentage_of_potential_money_won_RANK THIS WEEK,Percentage_of_potential_money_won_RANK LAST WEEK,Percentage_of_potential_money_won_PLAYER NAME,Percentage_of_potential_money_won_EVENTS,Percentage_of_potential_money_won_%,Percentage_of_potential_money_won_OFFICIAL MONEY WON,Percentage_of_potential_money_won_POTENTIAL MONEY
0,1,1,Tiger Woods,16,38.62,"$8,553,438","$22,147,826"
1,2,2,Henrik Stenson,18,27.01,"$6,388,229","$23,653,826"
2,3,3,Steve Stricker,13,24.75,"$4,440,531","$17,939,000"
3,4,4,Adam Scott,16,22.04,"$4,892,610","$22,201,826"
4,5,5,Phil Mickelson,21,20.05,"$5,495,793","$27,415,826"
5,6,6,Matt Kuchar,23,18.9,"$5,616,808","$29,713,826"
6,7,7,Brandt Snedeker,23,18.45,"$5,318,087","$28,819,826"
7,8,8,Justin Rose,17,17.77,"$4,146,148","$23,335,826"
8,9,9,Jordan Spieth,23,14.26,"$3,879,819","$27,205,826"
9,10,10,Zach Johnson,24,13.42,"$4,044,508","$30,145,826"
10,11,11,Jason Day,21,13.06,"$3,625,029","$27,763,826"
11,12,12,Keegan Bradley,25,11.35,"$3,636,812","$32,035,826"
12,13,13,Miguel Angel Jiménez,3,11.2,"$491,547","$4,387,826"
13,14,14,Jim Furyk,22,11.12,"$3,204,779","$28,807,826"
14,T15,T15,Shane Bertsch,1,11.11,"$112,000","$1,008,000"
15,T15,T15,Danny Lee,1,11.11,"$112,000","$1,008,000"
16,17,17,Billy Horschel,26,11.01,"$3,501,703","$31,801,826"
17,18,18,Jason Dufner,22,10.85,"$3,132,267","$28,867,826"
18,19,19,Bill Haas,25,10.81,"$3,475,562","$32,143,826"
19,20,20,Dustin Johnson,22,10.33,"$2,963,213","$28,687,826"
20,21,21,Kevin Streelman,25,10.13,"$3,088,284","$30,487,826"
21,22,22,Graeme McDowell,16,10.01,"$2,174,595","$21,733,826"
22,23,23,Jonathan Randolph,1,10.0,"$54,000","$540,000"
23,24,24,Franklin Corpening,1,9.72,"$112,000","$1,152,000"
24,25,25,Sergio Garcia,17,9.71,"$2,251,138","$23,191,826"
25,26,26,Hunter Mahan,25,9.5,"$3,036,163","$31,975,826"
26,27,27,Webb Simpson,25,9.27,"$2,957,581","$31,909,826"
27,28,28,Graham DeLaet,26,9.2,"$2,834,900","$30,823,826"
28,29,29,Charl Schwartzel,19,8.81,"$2,256,722","$25,603,826"
29,30,30,Hideki Matsuyama,7,8.77,"$771,640","$8,797,826"
30,31,31,Boo Weekley,27,8.65,"$2,786,661","$32,197,826"
31,32,32,Luke Donald,17,8.36,"$1,930,646","$23,083,826"
32,33,33,Rory McIlroy,16,8.22,"$1,802,442","$21,931,826"
33,34,34,Lee Westwood,19,8.2,"$2,081,731","$25,387,826"
